"State","Measure Name","Measure ID","Score","Footnote","Measure Start Date","Measure End Date"
"MP","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","Not Available","13 - Results cannot be calculated for this reporting period.","01/01/2015","12/31/2015"
"MS","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","1.223","","01/01/2015","12/31/2015"
"MT","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.933","","01/01/2015","12/31/2015"
"NC","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","1.047","","01/01/2015","12/31/2015"
"ND","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.855","","01/01/2015","12/31/2015"
"NE","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","1.172","","01/01/2015","12/31/2015"
"NH","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","1.107","","01/01/2015","12/31/2015"
"NJ","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","1.130","","01/01/2015","12/31/2015"
"NM","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","1.044","","01/01/2015","12/31/2015"
"NV","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.948","","01/01/2015","12/31/2015"
"NY","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","1.122","","01/01/2015","12/31/2015"
"OH","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.856","","01/01/2015","12/31/2015"
"OK","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.896","","01/01/2015","12/31/2015"
"OR","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.716","","01/01/2015","12/31/2015"
"PA","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.984","","01/01/2015","12/31/2015"
"PR","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.741","","01/01/2015","12/31/2015"
"RI","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","1.112","","01/01/2015","12/31/2015"
"SC","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","1.077","","01/01/2015","12/31/2015"
"SD","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.643","","01/01/2015","12/31/2015"
"TN","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.903","","01/01/2015","12/31/2015"
"TX","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.968","","01/01/2015","12/31/2015"
"UT","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.833","","01/01/2015","12/31/2015"
"VA","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.947","","01/01/2015","12/31/2015"
"VI","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","3.654","","01/01/2015","12/31/2015"
"VT","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.960","","01/01/2015","12/31/2015"
"WA","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.855","","01/01/2015","12/31/2015"
"WI","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.757","","01/01/2015","12/31/2015"
"WV","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.793","","01/01/2015","12/31/2015"
"WY","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.375","","01/01/2015","12/31/2015"
"AK","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","1.400","","01/01/2015","12/31/2015"
"AL","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","1.667","","01/01/2015","12/31/2015"
"AR","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","1.375","","01/01/2015","12/31/2015"
"AS","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","Not Available","13 - Results cannot be calculated for this reporting period.","01/01/2015","12/31/2015"
"AZ","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","1.023","","01/01/2015","12/31/2015"
"CA","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","1.019","","01/01/2015","12/31/2015"
"CO","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","1.076","","01/01/2015","12/31/2015"
"CT","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","1.381","","01/01/2015","12/31/2015"
"DC","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","1.484","","01/01/2015","12/31/2015"
"DE","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","1.252","","01/01/2015","12/31/2015"
"FL","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","1.150","","01/01/2015","12/31/2015"
"GA","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","1.261","","01/01/2015","12/31/2015"
"GU","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","Not Available","13 - Results cannot be calculated for this reporting period.","01/01/2015","12/31/2015"
"HI","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.452","","01/01/2015","12/31/2015"
"IA","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","1.108","","01/01/2015","12/31/2015"
"ID","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.935","","01/01/2015","12/31/2015"
"IL","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.944","","01/01/2015","12/31/2015"
"IN","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","1.250","","01/01/2015","12/31/2015"
"KS","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.955","","01/01/2015","12/31/2015"
"KY","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","1.277","","01/01/2015","12/31/2015"
"LA","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","1.672","","01/01/2015","12/31/2015"
"MA","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.849","","01/01/2015","12/31/2015"
"MD","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","1.297","","01/01/2015","12/31/2015"
"ME","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","1.063","","01/01/2015","12/31/2015"
"MI","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","1.062","","01/01/2015","12/31/2015"
"MN","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.920","","01/01/2015","12/31/2015"
"MO","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","1.163","","01/01/2015","12/31/2015"
"MP","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","Not Available","13 - Results cannot be calculated for this reporting period.","01/01/2015","12/31/2015"
"MS","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","1.386","","01/01/2015","12/31/2015"
"MT","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","1.315","","01/01/2015","12/31/2015"
"NC","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","1.132","","01/01/2015","12/31/2015"
"ND","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","1.125","","01/01/2015","12/31/2015"
"NE","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","1.372","","01/01/2015","12/31/2015"
"NH","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","1.409","","01/01/2015","12/31/2015"
"NJ","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","1.227","","01/01/2015","12/31/2015"
"NM","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","1.273","","01/01/2015","12/31/2015"
"NV","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","1.082","","01/01/2015","12/31/2015"
"NY","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","1.180","","01/01/2015","12/31/2015"
"OH","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.926","","01/01/2015","12/31/2015"
"OK","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","1.002","","01/01/2015","12/31/2015"
"OR","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.859","","01/01/2015","12/31/2015"
"PA","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","1.047","","01/01/2015","12/31/2015"
"PR","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","1.020","","01/01/2015","12/31/2015"
"RI","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","1.409","","01/01/2015","12/31/2015"
"SC","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","1.200","","01/01/2015","12/31/2015"
"SD","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.912","","01/01/2015","12/31/2015"
"TN","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.984","","01/01/2015","12/31/2015"
"TX","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","1.019","","01/01/2015","12/31/2015"
"UT","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","1.013","","01/01/2015","12/31/2015"
"VA","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","1.044","","01/01/2015","12/31/2015"
"VI","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","7.600","","01/01/2015","12/31/2015"
"VT","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","1.442","","01/01/2015","12/31/2015"
"WA","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.957","","01/01/2015","12/31/2015"
"WI","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.862","","01/01/2015","12/31/2015"
"WV","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.936","","01/01/2015","12/31/2015"
"WY","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","0.904","","01/01/2015","12/31/2015"
"AK","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.627","","01/01/2015","12/31/2015"
"AL","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","1.402","","01/01/2015","12/31/2015"
"AR","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","1.076","","01/01/2015","12/31/2015"
"AS","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","Not Available","13 - Results cannot be calculated for this reporting period.","01/01/2015","12/31/2015"
"AZ","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.819","","01/01/2015","12/31/2015"
"CA","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.929","","01/01/2015","12/31/2015"
"CO","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.808","","01/01/2015","12/31/2015"
"CT","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","1.075","","01/01/2015","12/31/2015"
"DC","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","1.086","","01/01/2015","12/31/2015"
"DE","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.697","","01/01/2015","12/31/2015"
"FL","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","1.041","","01/01/2015","12/31/2015"
"GA","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","1.090","","01/01/2015","12/31/2015"
"GU","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","Not Available","13 - Results cannot be calculated for this reporting period.","01/01/2015","12/31/2015"
"HI","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.187","","01/01/2015","12/31/2015"
"IA","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.793","","01/01/2015","12/31/2015"
"ID","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.513","","01/01/2015","12/31/2015"
"IL","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.806","","01/01/2015","12/31/2015"
"IN","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","1.045","","01/01/2015","12/31/2015"
"KS","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.668","","01/01/2015","12/31/2015"
"KY","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","1.029","","01/01/2015","12/31/2015"
"LA","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","1.402","","01/01/2015","12/31/2015"
"MA","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.682","","01/01/2015","12/31/2015"
"MD","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","1.056","","01/01/2015","12/31/2015"
"ME","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.591","","01/01/2015","12/31/2015"
"MI","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.905","","01/01/2015","12/31/2015"
"MN","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.696","","01/01/2015","12/31/2015"
"MO","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.966","","01/01/2015","12/31/2015"
"MP","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","Not Available","13 - Results cannot be calculated for this reporting period.","01/01/2015","12/31/2015"
"MS","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","1.076","","01/01/2015","12/31/2015"
"MT","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.641","","01/01/2015","12/31/2015"
"NC","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.967","","01/01/2015","12/31/2015"
"ND","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.638","","01/01/2015","12/31/2015"
"NE","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.995","","01/01/2015","12/31/2015"
"NH","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.856","","01/01/2015","12/31/2015"
"NJ","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","1.039","","01/01/2015","12/31/2015"
"NM","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.847","","01/01/2015","12/31/2015"
"NV","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.827","","01/01/2015","12/31/2015"
"NY","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","1.065","","01/01/2015","12/31/2015"
"OH","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.790","","01/01/2015","12/31/2015"
"OK","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.799","","01/01/2015","12/31/2015"
"OR","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.591","","01/01/2015","12/31/2015"
"PA","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.925","","01/01/2015","12/31/2015"
"PR","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.525","","01/01/2015","12/31/2015"
"RI","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.865","","01/01/2015","12/31/2015"
"SC","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.965","","01/01/2015","12/31/2015"
"SD","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.439","","01/01/2015","12/31/2015"
"TN","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.827","","01/01/2015","12/31/2015"
"TX","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.920","","01/01/2015","12/31/2015"
"UT","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.679","","01/01/2015","12/31/2015"
"VA","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.858","","01/01/2015","12/31/2015"
"VI","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","1.481","","01/01/2015","12/31/2015"
"VT","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.610","","01/01/2015","12/31/2015"
"WA","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.761","","01/01/2015","12/31/2015"
"WI","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.662","","01/01/2015","12/31/2015"
"WV","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.667","","01/01/2015","12/31/2015"
"WY","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","0.119","","01/01/2015","12/31/2015"
"AK","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","1.254","","01/01/2015","12/31/2015"
"AL","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.848","","01/01/2015","12/31/2015"
"AR","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","1.143","","01/01/2015","12/31/2015"
"AS","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","Not Available","13 - Results cannot be calculated for this reporting period.","01/01/2015","12/31/2015"
"AZ","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.906","","01/01/2015","12/31/2015"
"CA","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","1.123","","01/01/2015","12/31/2015"
"CO","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.932","","01/01/2015","12/31/2015"
"CT","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.999","","01/01/2015","12/31/2015"
"DC","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","1.193","","01/01/2015","12/31/2015"
"DE","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.915","","01/01/2015","12/31/2015"
"FL","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.906","","01/01/2015","12/31/2015"
"GA","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","1.108","","01/01/2015","12/31/2015"
"GU","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","Not Available","5 - Results are not available for this reporting period.","01/01/2015","12/31/2015"
"HI","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.721","","01/01/2015","12/31/2015"
"IA","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","1.043","","01/01/2015","12/31/2015"
"ID","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.851","","01/01/2015","12/31/2015"
"IL","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.890","","01/01/2015","12/31/2015"
"IN","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.982","","01/01/2015","12/31/2015"
"KS","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.897","","01/01/2015","12/31/2015"
"KY","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.911","","01/01/2015","12/31/2015"
"LA","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","1.018","","01/01/2015","12/31/2015"
"MA","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","1.090","","01/01/2015","12/31/2015"
"MD","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.996","","01/01/2015","12/31/2015"
"ME","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","1.071","","01/01/2015","12/31/2015"
"MI","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.998","","01/01/2015","12/31/2015"
"MN","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","1.015","","01/01/2015","12/31/2015"
"MO","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.929","","01/01/2015","12/31/2015"
"MP","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","Not Available","13 - Results cannot be calculated for this reporting period.","01/01/2015","12/31/2015"
"MS","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.845","","01/01/2015","12/31/2015"
"MT","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","1.091","","01/01/2015","12/31/2015"
"NC","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.936","","01/01/2015","12/31/2015"
"ND","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.878","","01/01/2015","12/31/2015"
"NE","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.955","","01/01/2015","12/31/2015"
"NH","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.837","","01/01/2015","12/31/2015"
"NJ","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","1.145","","01/01/2015","12/31/2015"
"NM","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","1.036","","01/01/2015","12/31/2015"
"NV","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.714","","01/01/2015","12/31/2015"
"NY","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","1.121","","01/01/2015","12/31/2015"
"OH","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.836","","01/01/2015","12/31/2015"
"OK","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.926","","01/01/2015","12/31/2015"
"OR","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.960","","01/01/2015","12/31/2015"
"PA","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","1.022","","01/01/2015","12/31/2015"
"PR","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.554","","01/01/2015","12/31/2015"
"RI","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","1.160","","01/01/2015","12/31/2015"
"SC","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","1.179","","01/01/2015","12/31/2015"
"SD","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","1.053","","01/01/2015","12/31/2015"
"TN","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.896","","01/01/2015","12/31/2015"
"TX","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.879","","01/01/2015","12/31/2015"
"UT","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","1.377","","01/01/2015","12/31/2015"
"VA","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","1.003","","01/01/2015","12/31/2015"
"VI","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","3.826","","01/01/2015","12/31/2015"
"VT","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.872","","01/01/2015","12/31/2015"
"WA","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","1.019","","01/01/2015","12/31/2015"
"WI","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.880","","01/01/2015","12/31/2015"
"WV","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.685","","01/01/2015","12/31/2015"
"WY","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","0.283","","01/01/2015","12/31/2015"
"AK","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","1.800","","01/01/2015","12/31/2015"
"AL","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","0.930","","01/01/2015","12/31/2015"
"AR","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","1.282","","01/01/2015","12/31/2015"
"AS","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","Not Available","13 - Results cannot be calculated for this reporting period.","01/01/2015","12/31/2015"
