Hospital_Name,Provider_ID,State,Fiscal_Year,Domain_1_Score,Domain_1_Score_Footnote,Domain_1_Start_Date,Domain_1_End_Date,AHRQ_PSI_90_Score,AHRQ_PSI_90_Score_Footnote,Domain_2_Score,Domain_2_Score_Footnote,CLABSI_Score,CLABSI_Score_Footnote,CAUTI_Score,CAUTI_Score_Footnote,SSI_Score,SSI_Score_Footnote,MRSA_Score,MRSA_Footnote,CDI_Score,CDI_Footnote,Domain_2_Start_Date,Domain_2_End_Date,Total_HAC_Score,Total_HAC_Score_Footnote,Payment_Reduction,Payment_Reduction_Footnote
"KAISER FOUNDATION HOSPITAL - LOS ANGELES","050138","CA","2017","9.0000","","01-JUL-13","30-JUN-15","9.0000","","6.0000","","4","","7","","6","","4","","9","","01-JAN-14","31-DEC-15","6.4500","","No",""
"KAISER FOUNDATION HOSPITAL - DOWNEY","050139","CA","2017","6.0000","","01-JUL-13","30-JUN-15","6.0000","","5.0000","","2","","5","","4","","5","","9","","01-JAN-14","31-DEC-15","5.1500","","No",""
"KAISER FOUNDATION HOSPITAL FONTANA","050140","CA","2017","8.0000","","01-JUL-13","30-JUN-15","8.0000","","5.6000","","5","","5","","4","","4","","10","","01-JAN-14","31-DEC-15","5.9600","","No",""
"COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA","050145","CA","2017","7.0000","","01-JUL-13","30-JUN-15","7.0000","","7.2000","","7","","9","","9","","8","","3","","01-JAN-14","31-DEC-15","7.1700","","Yes",""
"CALIFORNIA HOSPITAL MEDICAL CENTER LA","050149","CA","2017","5.0000","","01-JUL-13","30-JUN-15","5.0000","","6.0000","","6","","10","","4","","8","","2","","01-JAN-14","31-DEC-15","5.8500","","No",""
"SIERRA NEVADA MEMORIAL HOSPITAL","050150","CA","2017","2.0000","","01-JUL-13","30-JUN-15","2.0000","","5.4000","","1","","7","","4","","6","","9","","01-JAN-14","31-DEC-15","4.8900","","No",""
"SAINT FRANCIS MEMORIAL HOSPITAL","050152","CA","2017","1.0000","","01-JUL-13","30-JUN-15","1.0000","","7.2500","","5","","7","","N/A","5","8","","9","","01-JAN-14","31-DEC-15","6.3125","","No",""
"O'CONNOR HOSPITAL","050153","CA","2017","5.0000","","01-JUL-13","30-JUN-15","5.0000","","7.0000","","7","","9","","5","","8","","6","","01-JAN-14","31-DEC-15","6.7000","","Yes",""
"ENCINO HOSPITAL MEDICAL CENTER","050158","CA","2017","2.0000","","01-JUL-13","30-JUN-15","2.0000","","2.7500","","1","","5","","N/A","5","1","","4","","01-JAN-14","31-DEC-15","2.6375","","No",""
"VENTURA COUNTY MEDICAL CENTER","050159","CA","2017","8.0000","","01-JUL-13","30-JUN-15","8.0000","","7.4000","","10","","10","","10","","2","","5","","01-JAN-14","31-DEC-15","7.4900","","Yes",""
"SAN JOAQUIN GENERAL HOSPITAL","050167","CA","2017","7.0000","","01-JUL-13","30-JUN-15","7.0000","","7.2000","","8","","3","","9","","8","","8","","01-JAN-14","31-DEC-15","7.1700","","Yes",""
"ST JUDE MEDICAL CENTER","050168","CA","2017","7.0000","","01-JUL-13","30-JUN-15","7.0000","","7.0000","","8","","7","","7","","5","","8","","01-JAN-14","31-DEC-15","7.0000","","Yes",""
"PRESBYTERIAN INTERCOMMUNITY HOSPITAL","050169","CA","2017","10.0000","","01-JUL-13","30-JUN-15","10.0000","","5.8000","","1","","7","","8","","4","","9","","01-JAN-14","31-DEC-15","6.4300","","No",""
"SANTA ROSA MEMORIAL HOSPITAL","050174","CA","2017","2.0000","","01-JUL-13","30-JUN-15","2.0000","","7.8000","","6","","10","","9","","7","","7","","01-JAN-14","31-DEC-15","6.9300","","Yes",""
"EMANUEL MEDICAL CENTER","050179","CA","2017","6.0000","","01-JUL-13","30-JUN-15","6.0000","","6.4000","","5","","7","","7","","4","","9","","01-JAN-14","31-DEC-15","6.3400","","No",""
"JOHN MUIR MEDICAL CENTER - WALNUT CREEK CAMPUS","050180","CA","2017","4.0000","","01-JUL-13","30-JUN-15","4.0000","","7.8000","","10","","10","","8","","4","","7","","01-JAN-14","31-DEC-15","7.2300","","Yes",""
"GEORGE L MEE MEMORIAL HOSPITAL","050189","CA","2017","7.0000","","01-JUL-13","30-JUN-15","7.0000","","1.0000","","N/A","5","N/A","5","N/A","5","1","","1","","01-JAN-14","31-DEC-15","1.9000","","No",""
"ST MARY MEDICAL CENTER","050191","CA","2017","3.0000","","01-JUL-13","30-JUN-15","3.0000","","4.2000","","4","","3","","2","","6","","6","","01-JAN-14","31-DEC-15","4.0200","","No",""
"ADVENTIST MEDICAL CENTER - REEDLEY","050192","CA","2017","6.0000","","01-JUL-13","30-JUN-15","6.0000","","2.0000","","N/A","5","N/A","5","N/A","5","N/A","5","2","","01-JAN-14","31-DEC-15","2.6000","","No",""
"WATSONVILLE COMMUNITY HOSPITAL","050194","CA","2017","1.0000","","01-JUL-13","30-JUN-15","1.0000","","2.8000","","1","","1","","8","","1","","3","","01-JAN-14","31-DEC-15","2.5300","","No",""
"WASHINGTON HOSPITAL","050195","CA","2017","3.0000","","01-JUL-13","30-JUN-15","3.0000","","7.0000","","9","","9","","3","","4","","10","","01-JAN-14","31-DEC-15","6.4000","","No",""
"SEQUOIA HOSPITAL","050197","CA","2017","5.0000","","01-JUL-13","30-JUN-15","5.0000","","5.2000","","3","","5","","9","","1","","8","","01-JAN-14","31-DEC-15","5.1700","","No",""
"PALMDALE REGIONAL MEDICAL CENTER","050204","CA","2017","3.0000","","01-JUL-13","30-JUN-15","3.0000","","4.4000","","3","","1","","2","","9","","7","","01-JAN-14","31-DEC-15","4.1900","","No",""
"GLENDORA COMMUNITY HOSPITAL","050205","CA","2017","4.0000","","01-JUL-13","30-JUN-15","4.0000","","6.6667","","N/A","5","8","","N/A","5","6","","6","","01-JAN-14","31-DEC-15","6.2667","","No",""
"ALAMEDA HOSPITAL","050211","CA","2017","6.0000","","01-JUL-13","30-JUN-15","6.0000","","2.8000","","1","","1","","1","","1","","10","","01-JAN-14","31-DEC-15","3.2800","","No",""
"SHARP CHULA VISTA MEDICAL CENTER","050222","CA","2017","1.0000","","01-JUL-13","30-JUN-15","1.0000","","7.8000","","6","","9","","8","","6","","10","","01-JAN-14","31-DEC-15","6.7800","","Yes",""
"HOAG MEMORIAL HOSPITAL PRESBYTERIAN","050224","CA","2017","1.0000","","01-JUL-13","30-JUN-15","1.0000","","6.2000","","7","","6","","6","","2","","10","","01-JAN-14","31-DEC-15","5.4200","","No",""
"FEATHER RIVER HOSPITAL","050225","CA","2017","5.0000","","01-JUL-13","30-JUN-15","5.0000","","3.8000","","1","","5","","2","","1","","10","","01-JAN-14","31-DEC-15","3.9800","","No",""
"AHMC ANAHEIM REGIONAL MEDICAL CENTER","050226","CA","2017","10.0000","","01-JUL-13","30-JUN-15","10.0000","","5.8000","","8","","3","","3","","5","","10","","01-JAN-14","31-DEC-15","6.4300","","No",""
"SAN FRANCISCO GENERAL HOSPITAL","050228","CA","2017","10.0000","","01-JUL-13","30-JUN-15","10.0000","","5.4000","","3","","7","","10","","3","","4","","01-JAN-14","31-DEC-15","6.0900","","No",""
"GARDEN GROVE HOSPITAL & MEDICAL CENTER","050230","CA","2017","1.0000","","01-JUL-13","30-JUN-15","1.0000","","7.6000","","10","","9","","1","","10","","8","","01-JAN-14","31-DEC-15","6.6100","","Yes",""
"POMONA VALLEY HOSPITAL MEDICAL CENTER","050231","CA","2017","4.0000","","01-JUL-13","30-JUN-15","4.0000","","9.0000","","8","","10","","7","","10","","10","","01-JAN-14","31-DEC-15","8.2500","","Yes",""
"FRENCH HOSPITAL MEDICAL CENTER","050232","CA","2017","1.0000","","01-JUL-13","30-JUN-15","1.0000","","4.2000","","4","","8","","3","","1","","5","","01-JAN-14","31-DEC-15","3.7200","","No",""
"SHARP CORONADO HOSPITAL AND HLTHCR CTR","050234","CA","2017","3.0000","","01-JUL-13","30-JUN-15","3.0000","","6.6667","","10","","4","","N/A","5","N/A","5","6","","01-JAN-14","31-DEC-15","6.1167","","No",""
"PROVIDENCE SAINT JOSEPH MEDICAL CTR","050235","CA","2017","3.0000","","01-JUL-13","30-JUN-15","3.0000","","9.2000","","9","","10","","9","","8","","10","","01-JAN-14","31-DEC-15","8.2700","","Yes",""
"SIMI VALLEY HOSPITAL & HEALTH CARE SERVICES","050236","CA","2017","5.0000","","01-JUL-13","30-JUN-15","5.0000","","7.4000","","10","","4","","5","","8","","10","","01-JAN-14","31-DEC-15","7.0400","","Yes",""
"METHODIST HOSPITAL OF SOUTHERN CA","050238","CA","2017","2.0000","","01-JUL-13","30-JUN-15","2.0000","","6.2000","","6","","7","","4","","5","","9","","01-JAN-14","31-DEC-15","5.5700","","No",""
"GLENDALE ADVENTIST MEDICAL CENTER","050239","CA","2017","3.0000","","01-JUL-13","30-JUN-15","3.0000","","5.8000","","3","","9","","6","","5","","6","","01-JAN-14","31-DEC-15","5.3800","","No",""
"DOMINICAN HOSPITAL","050242","CA","2017","2.0000","","01-JUL-13","30-JUN-15","2.0000","","4.4000","","3","","1","","8","","3","","7","","01-JAN-14","31-DEC-15","4.0400","","No",""
"DESERT REGIONAL MEDICAL CENTER","050243","CA","2017","10.0000","","01-JUL-13","30-JUN-15","10.0000","","5.8000","","6","","5","","3","","8","","7","","01-JAN-14","31-DEC-15","6.4300","","No",""
"ARROWHEAD REGIONAL MEDICAL CENTER","050245","CA","2017","9.0000","","01-JUL-13","30-JUN-15","9.0000","","6.6000","","6","","7","","9","","7","","4","","01-JAN-14","31-DEC-15","6.9600","","Yes",""
"NATIVIDAD MEDICAL CENTER","050248","CA","2017","2.0000","","01-JUL-13","30-JUN-15","2.0000","","2.8000","","1","","1","","6","","3","","3","","01-JAN-14","31-DEC-15","2.6800","","No",""
"MARSHALL MEDICAL CENTER","050254","CA","2017","1.0000","","01-JUL-13","30-JUN-15","1.0000","","5.2000","","3","","3","","6","","7","","7","","01-JAN-14","31-DEC-15","4.5700","","No",""
"GOOD SAMARITAN HOSPITAL","050257","CA","2017","3.0000","","01-JUL-13","30-JUN-15","3.0000","","2.0000","","N/A","5","N/A","5","N/A","5","N/A","5","2","","01-JAN-14","31-DEC-15","2.1500","","No",""
"SIERRA VIEW MEDICAL CENTER","050261","CA","2017","1.0000","","01-JUL-13","30-JUN-15","1.0000","","7.6000","","10","","9","","6","","9","","4","","01-JAN-14","31-DEC-15","6.6100","","Yes",""
"RONALD REAGAN U C L A MEDICAL CENTER","050262","CA","2017","8.0000","","01-JUL-13","30-JUN-15","8.0000","","8.6000","","9","","7","","9","","9","","9","","01-JAN-14","31-DEC-15","8.5100","","Yes",""
"REDLANDS COMMUNITY HOSPITAL","050272","CA","2017","4.0000","","01-JUL-13","30-JUN-15","4.0000","","5.2000","","3","","5","","2","","6","","10","","01-JAN-14","31-DEC-15","5.0200","","No",""
"CONTRA COSTA REGIONAL MEDICAL CENTER","050276","CA","2017","7.0000","","01-JUL-13","30-JUN-15","7.0000","","7.6000","","8","","10","","8","","7","","5","","01-JAN-14","31-DEC-15","7.5100","","Yes",""
"PROVIDENCE HOLY CROSS MEDICAL CENTER","050278","CA","2017","1.0000","","01-JUL-13","30-JUN-15","1.0000","","6.2000","","7","","10","","3","","4","","7","","01-JAN-14","31-DEC-15","5.4200","","No",""
"HI-DESERT MEDICAL CENTER","050279","CA","2017","4.0000","","01-JUL-13","30-JUN-15","4.0000","","1.0000","","1","","1","","1","","N/A","5","1","","01-JAN-14","31-DEC-15","1.4500","","No",""
"MERCY MEDICAL CENTER REDDING","050280","CA","2017","3.0000","","01-JUL-13","30-JUN-15","3.0000","","6.6000","","7","","9","","5","","8","","4","","01-JAN-14","31-DEC-15","6.0600","","No",""
"ALHAMBRA HOSPITAL MEDICAL CENTER","050281","CA","2017","2.0000","","01-JUL-13","30-JUN-15","2.0000","","3.8000","","1","","1","","2","","6","","9","","01-JAN-14","31-DEC-15","3.5300","","No",""
"VALLEYCARE MEDICAL CENTER","050283","CA","2017","10.0000","","01-JUL-13","30-JUN-15","10.0000","","5.4000","","6","","1","","5","","5","","10","","01-JAN-14","31-DEC-15","6.0900","","No",""
"SETON MEDICAL CENTER","050289","CA","2017","10.0000","","01-JUL-13","30-JUN-15","10.0000","","4.6000","","1","","3","","2","","7","","10","","01-JAN-14","31-DEC-15","5.4100","","No",""
"PROVIDENCE SAINT JOHN'S HEALTH CENTER","050290","CA","2017","9.0000","","01-JUL-13","30-JUN-15","9.0000","","7.2000","","10","","6","","6","","6","","8","","01-JAN-14","31-DEC-15","7.4700","","Yes",""
"SUTTER SANTA ROSA REGIONAL HOSPITAL","050291","CA","2017","8.0000","","01-JUL-13","30-JUN-15","8.0000","","5.8000","","5","","4","","7","","4","","9","","01-JAN-14","31-DEC-15","6.1300","","No",""
"RIVERSIDE UNIVERSITY HEALTH SYSTEM-MEDICAL CENTER","050292","CA","2017","1.0000","","01-JUL-13","30-JUN-15","1.0000","","6.8000","","2","","10","","9","","8","","5","","01-JAN-14","31-DEC-15","5.9300","","No",""
"MERCY HOSPITAL","050295","CA","2017","8.0000","","01-JUL-13","30-JUN-15","8.0000","","4.0000","","1","","3","","10","","1","","5","","01-JAN-14","31-DEC-15","4.6000","","No",""
"HAZEL HAWKINS MEMORIAL HOSPITAL","050296","CA","2017","9.0000","","01-JUL-13","30-JUN-15","9.0000","","5.7500","","10","","4","","6","","N/A","5","3","","01-JAN-14","31-DEC-15","6.2375","","No",""
"BARSTOW COMMUNITY HOSPITAL","050298","CA","2017","3.0000","","01-JUL-13","30-JUN-15","3.0000","","1.7500","","1","","4","","1","","N/A","5","1","","01-JAN-14","31-DEC-15","1.9375","","No",""
"ST MARY MEDICAL CENTER","050300","CA","2017","7.0000","","01-JUL-13","30-JUN-15","7.0000","","5.6000","","7","","3","","8","","7","","3","","01-JAN-14","31-DEC-15","5.8100","","No",""
"UKIAH VALLEY MEDICAL CENTER","050301","CA","2017","9.0000","","01-JUL-13","30-JUN-15","9.0000","","3.0000","","1","","1","","3","","1","","9","","01-JAN-14","31-DEC-15","3.9000","","No",""
"ALTA BATES SUMMIT MEDICAL CENTER - ALTA BATES CAMP","050305","CA","2017","10.0000","","01-JUL-13","30-JUN-15","10.0000","","6.4000","","6","","8","","9","","3","","6","","01-JAN-14","31-DEC-15","6.9400","","Yes",""
"EL CAMINO HOSPITAL","050308","CA","2017","2.0000","","01-JUL-13","30-JUN-15","2.0000","","3.4000","","1","","3","","2","","3","","8","","01-JAN-14","31-DEC-15","3.1900","","No",""
"SUTTER ROSEVILLE MEDICAL CENTER","050309","CA","2017","7.0000","","01-JUL-13","30-JUN-15","7.0000","","4.8000","","2","","6","","2","","5","","9","","01-JAN-14","31-DEC-15","5.1300","","No",""
"KERN MEDICAL CENTER","050315","CA","2017","10.0000","","01-JUL-13","30-JUN-15","10.0000","","6.6000","","2","","10","","10","","9","","2","","01-JAN-14","31-DEC-15","7.1100","","Yes",""
"HIGHLAND HOSPITAL","050320","CA","2017","10.0000","","01-JUL-13","30-JUN-15","10.0000","","5.8000","","3","","10","","10","","2","","4","","01-JAN-14","31-DEC-15","6.4300","","No",""
"SCRIPPS MEMORIAL HOSPITAL LA JOLLA","050324","CA","2017","2.0000","","01-JUL-13","30-JUN-15","2.0000","","7.0000","","6","","8","","7","","6","","8","","01-JAN-14","31-DEC-15","6.2500","","No",""
"LOMA LINDA UNIVERSITY MEDICAL CENTER","050327","CA","2017","10.0000","","01-JUL-13","30-JUN-15","10.0000","","8.6000","","7","","8","","10","","10","","8","","01-JAN-14","31-DEC-15","8.8100","","Yes",""
"CORONA REGIONAL MEDICAL CENTER","050329","CA","2017","2.0000","","01-JUL-13","30-JUN-15","2.0000","","5.6000","","6","","3","","8","","1","","10","","01-JAN-14","31-DEC-15","5.0600","","No",""
"SALINAS VALLEY MEMORIAL HOSPITAL","050334","CA","2017","2.0000","","01-JUL-13","30-JUN-15","2.0000","","4.4000","","5","","6","","2","","2","","7","","01-JAN-14","31-DEC-15","4.0400","","No",""
"SONORA REGIONAL MEDICAL CENTER","050335","CA","2017","9.0000","","01-JUL-13","30-JUN-15","9.0000","","5.0000","","1","","8","","10","","1","","5","","01-JAN-14","31-DEC-15","5.6000","","No",""
"SOUTHEAST ALABAMA MEDICAL CENTER","010001","AL","2017","1.0000","","01-JUL-13","30-JUN-15","1.0000","","8.0000","","10","","10","","7","","6","","7","","01-JAN-14","31-DEC-15","6.9500","","Yes",""
"MARSHALL MEDICAL CENTER SOUTH","010005","AL","2017","5.0000","","01-JUL-13","30-JUN-15","5.0000","","5.4000","","10","","5","","2","","8","","2","","01-JAN-14","31-DEC-15","5.3400","","No",""
"ELIZA COFFEE MEMORIAL HOSPITAL","010006","AL","2017","7.0000","","01-JUL-13","30-JUN-15","7.0000","","6.0000","","5","","4","","8","","9","","4","","01-JAN-14","31-DEC-15","6.1500","","No",""
"MIZELL MEMORIAL HOSPITAL","010007","AL","2017","3.0000","","01-JUL-13","30-JUN-15","3.0000","","1.0000","","N/A","5","1","","N/A","5","N/A","5","1","","01-JAN-14","31-DEC-15","1.3000","","No",""
"CRENSHAW COMMUNITY HOSPITAL","010008","AL","2017","6.0000","","01-JUL-13","30-JUN-15","6.0000","","6.0000","","N/A","5","N/A","5","N/A","5","N/A","5","6","","01-JAN-14","31-DEC-15","6.0000","","No",""
"ST VINCENT'S EAST","010011","AL","2017","8.0000","","01-JUL-13","30-JUN-15","8.0000","","5.2000","","5","","3","","7","","6","","5","","01-JAN-14","31-DEC-15","5.6200","","No",""
"DEKALB REGIONAL MEDICAL CENTER","010012","AL","2017","6.0000","","01-JUL-13","30-JUN-15","6.0000","","2.2500","","N/A","5","1","","5","","1","","2","","01-JAN-14","31-DEC-15","2.8125","","No",""
"SHELBY BAPTIST MEDICAL CENTER","010016","AL","2017","3.0000","","01-JUL-13","30-JUN-15","3.0000","","4.8000","","5","","3","","4","","8","","4","","01-JAN-14","31-DEC-15","4.5300","","No",""
"CALLAHAN EYE HOSPITAL","010018","AL","2017","6.0000","","01-JUL-13","30-JUN-15","6.0000","","10.0000","5","N/A","5","N/A","5","10","18","N/A","5","N/A","5","01-JAN-14","31-DEC-15","9.4000","","Yes",""
"HELEN KELLER MEMORIAL HOSPITAL","010019","AL","2017","8.0000","","01-JUL-13","30-JUN-15","8.0000","","4.6000","","6","","1","","4","","8","","4","","01-JAN-14","31-DEC-15","5.1100","","No",""
"DALE MEDICAL CENTER","010021","AL","2017","9.0000","","01-JUL-13","30-JUN-15","9.0000","","3.5000","","N/A","5","5","","N/A","5","N/A","5","2","","01-JAN-14","31-DEC-15","4.3250","","No",""
"CHEROKEE MEDICAL CENTER","010022","AL","2017","5.0000","","01-JUL-13","30-JUN-15","5.0000","","1.0000","","N/A","5","N/A","5","N/A","5","N/A","5","1","","01-JAN-14","31-DEC-15","1.6000","","No",""
"BAPTIST MEDICAL CENTER SOUTH","010023","AL","2017","1.0000","","01-JUL-13","30-JUN-15","1.0000","","7.2000","","8","","6","","6","","10","","6","","01-JAN-14","31-DEC-15","6.2700","","No",""
"JACKSON HOSPITAL & CLINIC INC","010024","AL","2017","3.0000","","01-JUL-13","30-JUN-15","3.0000","","8.8000","","10","","9","","6","","10","","9","","01-JAN-14","31-DEC-15","7.9300","","Yes",""
"EAST ALABAMA MEDICAL CENTER","010029","AL","2017","1.0000","","01-JUL-13","30-JUN-15","1.0000","","6.2000","","10","","4","","4","","9","","4","","01-JAN-14","31-DEC-15","5.4200","","No",""
"WEDOWEE HOSPITAL","010032","AL","2017","6.0000","","01-JUL-13","30-JUN-15","6.0000","","1.0000","","N/A","5","N/A","5","N/A","5","N/A","5","1","","01-JAN-14","31-DEC-15","1.7500","","No",""
"UNIVERSITY OF ALABAMA HOSPITAL","010033","AL","2017","4.0000","","01-JUL-13","30-JUN-15","4.0000","","6.4000","","8","","6","","5","","8","","5","","01-JAN-14","31-DEC-15","6.0400","","No",""
"COMMUNITY HOSPITAL INC","010034","AL","2017","9.0000","","01-JUL-13","30-JUN-15","9.0000","","3.5000","","N/A","5","1","","N/A","5","N/A","5","6","","01-JAN-14","31-DEC-15","4.3250","","No",""
"CULLMAN REGIONAL MEDICAL CENTER","010035","AL","2017","1.0000","","01-JUL-13","30-JUN-15","1.0000","","4.0000","","1","","3","","6","","9","","1","","01-JAN-14","31-DEC-15","3.5500","","No",""
"ANDALUSIA REGIONAL HOSPITAL","010036","AL","2017","9.0000","","01-JUL-13","30-JUN-15","9.0000","","3.2500","","N/A","5","3","","1","","6","","3","","01-JAN-14","31-DEC-15","4.1125","","No",""
"STRINGFELLOW MEMORIAL HOSPITAL","010038","AL","2017","5.0000","","01-JUL-13","30-JUN-15","5.0000","","5.3333","","N/A","5","10","","3","","N/A","5","3","","01-JAN-14","31-DEC-15","5.2833","","No",""
"HUNTSVILLE HOSPITAL","010039","AL","2017","2.0000","","01-JUL-13","30-JUN-15","2.0000","","6.6000","","10","","6","","7","","6","","4","","01-JAN-14","31-DEC-15","5.9100","","No",""
"GADSDEN REGIONAL MEDICAL CENTER","010040","AL","2017","8.0000","","01-JUL-13","30-JUN-15","8.0000","","4.0000","","3","","3","","1","","8","","5","","01-JAN-14","31-DEC-15","4.6000","","No",""
"MARION REGIONAL MEDICAL CENTER","010044","AL","2017","6.0000","","01-JUL-13","30-JUN-15","6.0000","","2.0000","","N/A","5","N/A","5","N/A","5","N/A","5","2","","01-JAN-14","31-DEC-15","2.6000","","No",""
"FAYETTE MEDICAL CENTER","010045","AL","2017","6.0000","","01-JUL-13","30-JUN-15","6.0000","","10.0000","","N/A","5","N/A","5","N/A","5","N/A","5","10","","01-JAN-14","31-DEC-15","9.4000","","Yes",""
"RIVERVIEW REGIONAL MEDICAL CENTER","010046","AL","2017","2.0000","","01-JUL-13","30-JUN-15","2.0000","","5.6000","","4","","9","","2","","8","","5","","01-JAN-14","31-DEC-15","5.0600","","No",""
"GEORGIANA MEDICAL CENTER","010047","AL","2017","6.0000","","01-JUL-13","30-JUN-15","6.0000","","1.0000","","N/A","5","N/A","5","N/A","5","N/A","5","1","","01-JAN-14","31-DEC-15","1.7500","","No",""
"MEDICAL CENTER ENTERPRISE","010049","AL","2017","3.0000","","01-JUL-13","30-JUN-15","3.0000","","3.3333","","N/A","5","1","","7","","N/A","5","2","","01-JAN-14","31-DEC-15","3.2833","","No",""
"GREENE COUNTY HOSPITAL","010051","AL","2017","6.0000","","01-JUL-13","30-JUN-15","6.0000","","N/A","5","N/A","5","N/A","5","N/A","5","N/A","5","N/A","5","01-JAN-14","31-DEC-15","6.0000","","No",""
"LAKE MARTIN COMMUNITY HOSPITAL","010052","AL","2017","6.0000","","01-JUL-13","30-JUN-15","6.0000","","N/A","5","N/A","5","N/A","5","N/A","5","N/A","5","N/A","5","01-JAN-14","31-DEC-15","6.0000","","No",""
"FLOWERS HOSPITAL","010055","AL","2017","3.0000","","01-JUL-13","30-JUN-15","3.0000","","6.0000","","5","","8","","6","","6","","5","","01-JAN-14","31-DEC-15","5.5500","","No",""
"ST VINCENT'S BIRMINGHAM","010056","AL","2017","9.0000","","01-JUL-13","30-JUN-15","9.0000","","5.2000","","5","","3","","4","","8","","6","","01-JAN-14","31-DEC-15","5.7700","","No",""
"BIBB MEDICAL CENTER","010058","AL","2017","6.0000","","01-JUL-13","30-JUN-15","6.0000","","1.0000","","N/A","5","N/A","5","N/A","5","N/A","5","1","","01-JAN-14","31-DEC-15","1.7500","","No",""
"LAWRENCE MEDICAL CENTER","010059","AL","2017","6.0000","","01-JUL-13","30-JUN-15","6.0000","","8.0000","","N/A","5","N/A","5","N/A","5","N/A","5","8","","01-JAN-14","31-DEC-15","7.7000","","Yes",""
"HIGHLANDS MEDICAL CENTER","010061","AL","2017","4.0000","","01-JUL-13","30-JUN-15","4.0000","","3.2500","","N/A","5","1","","8","","1","","3","","01-JAN-14","31-DEC-15","3.3625","","No",""
"WIREGRASS MEDICAL CENTER","010062","AL","2017","6.0000","","01-JUL-13","30-JUN-15","6.0000","","3.0000","","N/A","5","N/A","5","N/A","5","N/A","5","3","","01-JAN-14","31-DEC-15","3.4500","","No",""
"RUSSELL HOSPITAL","010065","AL","2017","10.0000","","01-JUL-13","30-JUN-15","10.0000","","2.0000","","1","","1","","N/A","5","N/A","5","4","","01-JAN-14","31-DEC-15","3.2000","","No",""
