Provider Number,Hospital Name,Address,City,State,ZIP Code,County Name,Communication with Nurses Floor,Communication with Nurses Achievement Threshold,Communication with Nurses Benchmark,Communication with Nurses Baseline Rate,Communication with Nurses Performance Rate,Communication with Nurses Achievement Points,Communication with Nurses Improvement Points,Communication with Nurses Dimension Score,Communication with Doctors Floor,Communication with Doctors Achievement Threshold,Communication with Doctors Benchmark,Communication with Doctors Baseline Rate,Communication with Doctors Performance Rate,Communication with Doctors Achievement Points,Communication with Doctors Improvement Points,Communication with Doctors Dimension Score,Responsiveness of Hospital Staff Floor,Responsiveness of Hospital Staff Achievement Threshold,Responsiveness of Hospital Staff Benchmark,Responsiveness of Hospital Staff Baseline Rate,Responsiveness of Hospital Staff Performance Rate,Responsiveness of Hospital Staff Achievement Points,Responsiveness of Hospital Staff Improvement Points,Responsiveness of Hospital Staff Dimension Score,Pain Management Floor,Pain Management Achievement Threshold,Pain Management Benchmark,Pain Management Baseline Rate,Pain Management Performance Rate,Pain Management Achievement Points,Pain Management Improvement Points,Pain Management Dimension Score,Communication about Medicines Floor,Communication about Medicines Achievement Threshold,Communication about Medicines Benchmark,Communication about Medicines Baseline Rate,Communication about Medicines Performance Rate,Communication about Medicines Achievement Points,Communication about Medicines Improvement Points,Communication about Medicines Dimension Score,Cleanliness and Quietness of Hospital Environment Floor,Cleanliness and Quietness of Hospital Environment Achievement Threshold,Cleanliness and Quietness of Hospital Environment Benchmark,Cleanliness and Quietness of Hospital Environment Baseline Rate,Cleanliness and Quietness of Hospital Environment Performance Rate,Cleanliness and Quietness of Hospital Environment Achievement Points,Cleanliness and Quietness of Hospital Environment Improvement Points,Cleanliness and Quietness of Hospital Environment Dimension Score,Discharge Information Floor,Discharge Information Achievement Threshold,Discharge Information Benchmark,Discharge Information Baseline Rate,Discharge Information Performance Rate,Discharge Information Achievement Points,Discharge Information Improvement Points,Discharge Information Dimension Score,Overall Rating of Hospital Floor,Overall Rating of Hospital Achievement Threshold,Overall Rating of Hospital Benchmark,Overall Rating of Hospital Baseline Rate,Overall Rating of Hospital Performance Rate,Overall Rating of Hospital Achievement Points,Overall Rating of Hospital Improvement Points,Overall Rating of Hospital Dimension Score,HCAHPS Base Score,HCAHPS Consistency Score
"050581","LAKEWOOD REGIONAL MEDICAL CENTER","3700 E SOUTH ST","Lakewood","CA","90712","LOS ANGELES","58.14","78.19","86.61","72.86","73.49","0 out of 10","0 out of 9","0 out of 10","63.58","80.51","88.80","81.21","77.65","0 out of 10","0 out of 9","0 out of 10","37.29","65.05","80.01","62.58","60.61","0 out of 10","0 out of 9","0 out of 10","49.53","70.28","78.33","67.53","66.02","0 out of 10","0 out of 9","0 out of 10","41.42","62.88","73.36","58.97","54.15","0 out of 10","0 out of 9","0 out of 10","44.32","65.30","79.39","59.11","57.35","0 out of 10","0 out of 9","0 out of 10","64.09","85.91","91.23","82.23","83.60","0 out of 10","1 out of 9","1 out of 10","35.99","70.02","84.60","62.03","64.09","0 out of 10","0 out of 9","0 out of 10","1","11"
"150037","HANCOCK REGIONAL HOSPITAL","801 N STATE ST","Greenfield","IN","46140","HANCOCK","58.14","78.19","86.61","82.48","83.09","6 out of 10","1 out of 9","6 out of 10","63.58","80.51","88.80","83.48","82.53","3 out of 10","0 out of 9","3 out of 10","37.29","65.05","80.01","69.64","69.78","3 out of 10","0 out of 9","3 out of 10","49.53","70.28","78.33","72.10","73.16","4 out of 10","1 out of 9","4 out of 10","41.42","62.88","73.36","66.65","65.50","3 out of 10","0 out of 9","3 out of 10","44.32","65.30","79.39","70.07","75.26","7 out of 10","5 out of 9","7 out of 10","64.09","85.91","91.23","89.30","90.54","8 out of 10","6 out of 9","8 out of 10","35.99","70.02","84.60","80.96","77.48","5 out of 10","0 out of 9","5 out of 10","39","20"
"230021","LAKELAND HOSPITAL, ST JOSEPH","1234 NAPIER AVENUE","St. Joseph","MI","49085","BERRIEN","58.14","78.19","86.61","80.46","79.84","2 out of 10","0 out of 9","2 out of 10","63.58","80.51","88.80","82.08","83.02","3 out of 10","1 out of 9","3 out of 10","37.29","65.05","80.01","67.57","65.17","1 out of 10","0 out of 9","1 out of 10","49.53","70.28","78.33","71.96","70.18","0 out of 10","0 out of 9","0 out of 10","41.42","62.88","73.36","65.56","66.35","3 out of 10","1 out of 9","3 out of 10","44.32","65.30","79.39","68.28","65.20","0 out of 10","0 out of 9","0 out of 10","64.09","85.91","91.23","87.09","89.26","6 out of 10","5 out of 9","6 out of 10","35.99","70.02","84.60","74.97","73.14","2 out of 10","0 out of 9","2 out of 10","17","19"
"110198","WELLSTAR NORTH FULTON HOSPITAL","3000 HOSPITAL BOULEVARD","Roswell","GA","30076","FULTON","58.14","78.19","86.61","75.69","69.85","0 out of 10","0 out of 9","0 out of 10","63.58","80.51","88.80","78.14","74.28","0 out of 10","0 out of 9","0 out of 10","37.29","65.05","80.01","59.51","52.55","0 out of 10","0 out of 9","0 out of 10","49.53","70.28","78.33","62.82","61.30","0 out of 10","0 out of 9","0 out of 10","41.42","62.88","73.36","58.92","53.43","0 out of 10","0 out of 9","0 out of 10","44.32","65.30","79.39","59.55","52.36","0 out of 10","0 out of 9","0 out of 10","64.09","85.91","91.23","82.11","81.49","0 out of 10","0 out of 9","0 out of 10","35.99","70.02","84.60","66.21","59.47","0 out of 10","0 out of 9","0 out of 10","0","7"
"500002","PROVIDENCE ST MARY MEDICAL CENTER","401 W POPLAR ST","Walla Walla","WA","99362","WALLA WALLA","58.14","78.19","86.61","79.71","79.98","2 out of 10","0 out of 9","2 out of 10","63.58","80.51","88.80","84.74","84.03","4 out of 10","0 out of 9","4 out of 10","37.29","65.05","80.01","68.44","65.60","1 out of 10","0 out of 9","1 out of 10","49.53","70.28","78.33","73.42","70.21","0 out of 10","0 out of 9","0 out of 10","41.42","62.88","73.36","67.53","66.42","4 out of 10","0 out of 9","4 out of 10","44.32","65.30","79.39","66.16","65.71","1 out of 10","0 out of 9","1 out of 10","64.09","85.91","91.23","84.87","89.86","7 out of 10","7 out of 9","7 out of 10","35.99","70.02","84.60","74.56","74.85","3 out of 10","0 out of 9","3 out of 10","22","19"
"260227","BLACK RIVER COMMUNITY MEDICAL CENTER","217 PHYSICIANS PARK DRIVE","Poplar Bluff","MO","63901","BUTLER","58.14","78.19","86.61","91.74","89.35","10 out of 10","0 out of 9","10 out of 10","63.58","80.51","88.80","90.25","88.41","9 out of 10","0 out of 9","9 out of 10","37.29","65.05","80.01","92.30","90.42","10 out of 10","0 out of 9","10 out of 10","49.53","70.28","78.33","86.97","76.73","8 out of 10","0 out of 9","8 out of 10","41.42","62.88","73.36","75.78","70.82","7 out of 10","0 out of 9","7 out of 10","44.32","65.30","79.39","84.64","78.31","9 out of 10","0 out of 9","9 out of 10","64.09","85.91","91.23","83.08","82.26","0 out of 10","0 out of 9","0 out of 10","35.99","70.02","84.60","82.44","78.43","6 out of 10","0 out of 9","6 out of 10","59","16"
"230038","SPECTRUM HEALTH - BUTTERWORTH CAMPUS","100 MICHIGAN ST NE","Grand Rapids","MI","49503","KENT","58.14","78.19","86.61","81.30","80.61","3 out of 10","0 out of 9","3 out of 10","63.58","80.51","88.80","78.39","78.45","0 out of 10","0 out of 9","0 out of 10","37.29","65.05","80.01","64.97","69.57","3 out of 10","3 out of 9","3 out of 10","49.53","70.28","78.33","71.37","71.46","2 out of 10","0 out of 9","2 out of 10","41.42","62.88","73.36","60.99","61.49","0 out of 10","0 out of 9","0 out of 10","44.32","65.30","79.39","67.23","64.19","0 out of 10","0 out of 9","0 out of 10","64.09","85.91","91.23","88.47","88.83","5 out of 10","1 out of 9","5 out of 10","35.99","70.02","84.60","76.16","76.51","5 out of 10","0 out of 9","5 out of 10","18","17"
"180043","MEMORIAL HOSPITAL","210 MARIE LANGDON DRIVE","Manchester","KY","40962","CLAY","58.14","78.19","86.61","83.35","79.08","1 out of 10","0 out of 9","1 out of 10","63.58","80.51","88.80","79.96","80.40","0 out of 10","0 out of 9","0 out of 10","37.29","65.05","80.01","73.25","65.00","0 out of 10","0 out of 9","0 out of 10","49.53","70.28","78.33","67.25","74.47","5 out of 10","6 out of 9","6 out of 10","41.42","62.88","73.36","66.73","60.70","0 out of 10","0 out of 9","0 out of 10","44.32","65.30","79.39","69.58","72.74","5 out of 10","3 out of 9","5 out of 10","64.09","85.91","91.23","87.14","86.43","1 out of 10","0 out of 9","1 out of 10","35.99","70.02","84.60","68.39","73.05","2 out of 10","2 out of 9","2 out of 10","15","17"
"330401","ST CATHERINE OF SIENA HOSPITAL","50 ROUTE 25A","Smithtown","NY","11787","SUFFOLK","58.14","78.19","86.61","74.89","76.77","0 out of 10","1 out of 9","1 out of 10","63.58","80.51","88.80","74.54","75.05","0 out of 10","0 out of 9","0 out of 10","37.29","65.05","80.01","55.62","58.60","0 out of 10","1 out of 9","1 out of 10","49.53","70.28","78.33","66.39","64.81","0 out of 10","0 out of 9","0 out of 10","41.42","62.88","73.36","61.50","58.78","0 out of 10","0 out of 9","0 out of 10","44.32","65.30","79.39","54.49","60.03","0 out of 10","2 out of 9","2 out of 10","64.09","85.91","91.23","84.71","86.50","1 out of 10","2 out of 9","2 out of 10","35.99","70.02","84.60","59.25","62.03","0 out of 10","1 out of 9","1 out of 10","7","13"
"190255","PARK PLACE SURGICAL HOSPITAL","4811 AMBASSADOR CAFFERY PARKWAY","Lafayette","LA","70508","LAFAYETTE","58.14","78.19","86.61","92.62","92.65","10 out of 10","Not Available","10 out of 10","63.58","80.51","88.80","86.74","89.92","10 out of 10","Not Available","10 out of 10","37.29","65.05","80.01","92.17","90.80","10 out of 10","Not Available","10 out of 10","49.53","70.28","78.33","85.68","85.28","10 out of 10","Not Available","10 out of 10","41.42","62.88","73.36","84.77","82.05","10 out of 10","Not Available","10 out of 10","44.32","65.30","79.39","82.64","90.72","10 out of 10","Not Available","10 out of 10","64.09","85.91","91.23","93.77","91.78","10 out of 10","Not Available","10 out of 10","35.99","70.02","84.60","92.45","92.01","10 out of 10","Not Available","10 out of 10","80","20"
"390173","INDIANA REGIONAL MEDICAL CENTER","835 HOSPITAL ROAD","Indiana","PA","15701","INDIANA","58.14","78.19","86.61","81.22","80.71","3 out of 10","0 out of 9","3 out of 10","63.58","80.51","88.80","81.14","80.88","1 out of 10","0 out of 9","1 out of 10","37.29","65.05","80.01","66.79","65.56","1 out of 10","0 out of 9","1 out of 10","49.53","70.28","78.33","70.89","70.75","1 out of 10","0 out of 9","1 out of 10","41.42","62.88","73.36","63.56","63.14","1 out of 10","0 out of 9","1 out of 10","44.32","65.30","79.39","63.55","60.20","0 out of 10","0 out of 9","0 out of 10","64.09","85.91","91.23","89.81","90.30","8 out of 10","3 out of 9","8 out of 10","35.99","70.02","84.60","70.20","69.34","0 out of 10","0 out of 9","0 out of 10","15","15"
"330223","MASSENA MEMORIAL HOSPITAL","1 HOSPITAL DRIVE","Massena","NY","13662","ST. LAWRENCE","58.14","78.19","86.61","77.06","77.44","0 out of 10","0 out of 9","0 out of 10","63.58","80.51","88.80","79.33","80.49","0 out of 10","1 out of 9","1 out of 10","37.29","65.05","80.01","67.92","70.67","4 out of 10","2 out of 9","4 out of 10","49.53","70.28","78.33","68.28","65.16","0 out of 10","0 out of 9","0 out of 10","41.42","62.88","73.36","60.27","61.93","0 out of 10","1 out of 9","1 out of 10","44.32","65.30","79.39","64.64","63.47","0 out of 10","0 out of 9","0 out of 10","64.09","85.91","91.23","80.25","79.60","0 out of 10","0 out of 9","0 out of 10","35.99","70.02","84.60","62.42","58.36","0 out of 10","0 out of 9","0 out of 10","6","13"
"050678","ORANGE COAST MEMORIAL MEDICAL CENTER","9920 TALBERT AVENUE","Fountain Valley","CA","92708","ORANGE","58.14","78.19","86.61","74.62","77.25","0 out of 10","2 out of 9","2 out of 10","63.58","80.51","88.80","77.97","78.99","0 out of 10","0 out of 9","0 out of 10","37.29","65.05","80.01","59.81","65.78","1 out of 10","2 out of 9","2 out of 10","49.53","70.28","78.33","68.76","71.61","2 out of 10","2 out of 9","2 out of 10","41.42","62.88","73.36","60.69","63.16","1 out of 10","1 out of 9","1 out of 10","44.32","65.30","79.39","61.53","63.68","0 out of 10","1 out of 9","1 out of 10","64.09","85.91","91.23","82.71","86.39","1 out of 10","4 out of 9","4 out of 10","35.99","70.02","84.60","69.07","74.45","3 out of 10","3 out of 9","3 out of 10","15","18"
"140148","MEMORIAL MEDICAL CENTER","701 N FIRST ST","Springfield","IL","62781","SANGAMON","58.14","78.19","86.61","80.30","76.89","0 out of 10","0 out of 9","0 out of 10","63.58","80.51","88.80","81.66","79.74","0 out of 10","0 out of 9","0 out of 10","37.29","65.05","80.01","65.55","59.35","0 out of 10","0 out of 9","0 out of 10","49.53","70.28","78.33","71.96","64.72","0 out of 10","0 out of 9","0 out of 10","41.42","62.88","73.36","64.68","59.86","0 out of 10","0 out of 9","0 out of 10","44.32","65.30","79.39","61.41","58.81","0 out of 10","0 out of 9","0 out of 10","64.09","85.91","91.23","86.85","86.65","2 out of 10","0 out of 9","2 out of 10","35.99","70.02","84.60","76.01","67.19","0 out of 10","0 out of 9","0 out of 10","2","13"
"360210","GRADY MEMORIAL HOSPITAL","561 WEST CENTRAL AVENUE","Delaware","OH","43015","DELAWARE","58.14","78.19","86.61","81.77","83.37","6 out of 10","3 out of 9","6 out of 10","63.58","80.51","88.80","82.39","82.86","3 out of 10","0 out of 9","3 out of 10","37.29","65.05","80.01","67.78","70.66","4 out of 10","2 out of 9","4 out of 10","49.53","70.28","78.33","69.75","69.15","0 out of 10","0 out of 9","0 out of 10","41.42","62.88","73.36","66.97","69.17","6 out of 10","3 out of 9","6 out of 10","44.32","65.30","79.39","70.75","73.29","6 out of 10","2 out of 9","6 out of 10","64.09","85.91","91.23","89.91","90.47","8 out of 10","4 out of 9","8 out of 10","35.99","70.02","84.60","75.40","74.55","3 out of 10","0 out of 9","3 out of 10","36","18"
"100209","KENDALL REGIONAL MEDICAL CENTER","11750 BIRD RD","Miami","FL","33175","DADE","58.14","78.19","86.61","74.15","73.62","0 out of 10","0 out of 9","0 out of 10","63.58","80.51","88.80","78.30","78.99","0 out of 10","0 out of 9","0 out of 10","37.29","65.05","80.01","63.53","60.45","0 out of 10","0 out of 9","0 out of 10","49.53","70.28","78.33","69.83","69.60","0 out of 10","0 out of 9","0 out of 10","41.42","62.88","73.36","60.07","62.13","0 out of 10","1 out of 9","1 out of 10","44.32","65.30","79.39","65.09","59.32","0 out of 10","0 out of 9","0 out of 10","64.09","85.91","91.23","79.62","80.08","0 out of 10","0 out of 9","0 out of 10","35.99","70.02","84.60","61.01","60.28","0 out of 10","0 out of 9","0 out of 10","1","14"
"150166","PINNACLE HOSPITAL","9301 CONNECTICUT DR","Crown Point","IN","46307","LAKE","58.14","78.19","86.61","77.76","84.36","7 out of 10","7 out of 9","7 out of 10","63.58","80.51","88.80","80.37","88.14","9 out of 10","9 out of 9","9 out of 10","37.29","65.05","80.01","68.61","73.85","6 out of 10","4 out of 9","6 out of 10","49.53","70.28","78.33","66.52","74.68","5 out of 10","6 out of 9","6 out of 10","41.42","62.88","73.36","56.84","69.99","7 out of 10","7 out of 9","7 out of 10","44.32","65.30","79.39","71.46","78.04","9 out of 10","8 out of 9","9 out of 10","64.09","85.91","91.23","84.74","86.95","2 out of 10","3 out of 9","3 out of 10","35.99","70.02","84.60","75.34","81.63","8 out of 10","6 out of 9","8 out of 10","55","20"
"030083","ABRAZO SCOTTSDALE CAMPUS","3929 EAST BELL ROAD","Phoenix","AZ","85032","MARICOPA","58.14","78.19","86.61","73.83","72.37","0 out of 10","0 out of 9","0 out of 10","63.58","80.51","88.80","76.38","77.74","0 out of 10","1 out of 9","1 out of 10","37.29","65.05","80.01","61.53","58.25","0 out of 10","0 out of 9","0 out of 10","49.53","70.28","78.33","69.06","66.43","0 out of 10","0 out of 9","0 out of 10","41.42","62.88","73.36","56.93","55.84","0 out of 10","0 out of 9","0 out of 10","44.32","65.30","79.39","63.72","63.60","0 out of 10","0 out of 9","0 out of 10","64.09","85.91","91.23","85.30","84.08","0 out of 10","0 out of 9","0 out of 10","35.99","70.02","84.60","68.75","62.71","0 out of 10","0 out of 9","0 out of 10","1","13"
"340032","CAROMONT REGIONAL MEDICAL CENTER","2525 COURT DR","Gastonia","NC","28054","GASTON","58.14","78.19","86.61","80.50","77.93","0 out of 10","0 out of 9","0 out of 10","63.58","80.51","88.80","80.98","80.20","0 out of 10","0 out of 9","0 out of 10","37.29","65.05","80.01","69.47","65.40","1 out of 10","0 out of 9","1 out of 10","49.53","70.28","78.33","73.05","68.51","0 out of 10","0 out of 9","0 out of 10","41.42","62.88","73.36","64.67","59.33","0 out of 10","0 out of 9","0 out of 10","44.32","65.30","79.39","63.43","62.93","0 out of 10","0 out of 9","0 out of 10","64.09","85.91","91.23","90.74","88.48","5 out of 10","0 out of 9","5 out of 10","35.99","70.02","84.60","74.12","70.84","1 out of 10","0 out of 9","1 out of 10","7","16"
"350011","SANFORD MEDICAL CENTER FARGO","801 BROADWAY NORTH","Fargo","ND","58122","CASS","58.14","78.19","86.61","79.14","75.84","0 out of 10","0 out of 9","0 out of 10","63.58","80.51","88.80","77.69","76.60","0 out of 10","0 out of 9","0 out of 10","37.29","65.05","80.01","62.52","59.42","0 out of 10","0 out of 9","0 out of 10","49.53","70.28","78.33","65.96","68.23","0 out of 10","1 out of 9","1 out of 10","41.42","62.88","73.36","62.02","59.48","0 out of 10","0 out of 9","0 out of 10","44.32","65.30","79.39","62.17","57.56","0 out of 10","0 out of 9","0 out of 10","64.09","85.91","91.23","87.07","87.99","4 out of 10","2 out of 9","4 out of 10","35.99","70.02","84.60","66.76","64.15","0 out of 10","0 out of 9","0 out of 10","5","12"
