ASC_Name,Provider_ID,NPI,City,State,Zip_Code,Year,ASC_1_Measure_Rate,ASC_1_Footnote,ASC_2_Measure_Rate,ASC_2_Footnote,ASC_3_Measure_Rate,ASC_3_Footnote,ASC_4_Measure_Rate,ASC_4_Footnote,ASC_5_Measure_Rate,ASC_5_Footnote,ASC_1_5_Encounter_Start_Date,ASC_1_5_Encounter_End_Date,ASC6_SSChecklist,ASC_6_Footnote,ASC_7_Volume,ASC_7_Gastrointestinal,ASC_7_Eye,ASC_7_Skin,ASC_7_Genitourinary,ASC_7_Musculoskeletal,ASC_7_Multi_System,ASC_7_Nervous_System,ASC_7_Respiratory,ASC_7_Footnote,ASC_6_7_Encounter_Start_Date,ASC_6_7_Encounter_End_Date,ASC_8_rate,ASC_8_Footnote,ASC_8_Encounter_Date,ASC_9_rate,ASC_9_Footnote,ASC_10_rate,ASC_10_Footnote,ASC_9_10_Encounter_Start_Date,ASC_9_10_Encounter_End_Date,ASC_11_rate,ASC_11_Footnote,ASC_11_Encounter_Start_Date,ASC_11_Encounter_End_Date
Alaska Native Tribal Health Consortium,,1558570648,Anchorage,AK,99508,2015,,N/A (5),,N/A (5),,N/A (5),,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),,,,,,,,,,N/A (5),01/01/2015,12/31/2015,,N/A (5),2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
Surgery Center of Wasilla,02C0001015,1649534843,Wasilla,AK,99654,2015,0.000,,0.000,,1.418,,0.000,,,N/A (1),01/01/2015,12/31/2015,Yes,,1724,0,501,6,0,17,0,1200,0,,01/01/2015,12/31/2015,22.22,,2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
"Geneva Woods Surgical Center, Inc.",02C0001002,1699875450,Anchorage,AK,99508,2015,0.000,,2.793,,0.000,,0.000,,,N/A (5),01/01/2015,12/31/2015,Yes,,611,0,470,97,0,1,0,0,43,,01/01/2015,12/31/2015,,N/A (5),2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
"Providence Surgery Center, LLC",02C0001011,1710207998,Anchorage,AK,99508,2015,0.000,,0.000,,0.000,,0.000,,995.87,,01/01/2015,12/31/2015,Yes,,2423,0,53,67,0,1341,0,540,422,,01/01/2015,12/31/2015,51.75,,2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
Anchorage Endoscopy Center,02C0001005,1770605214,Anchorage,AK,99518,2015,0.000,,0.000,,0.000,,0.000,,,N/A (1),01/01/2015,12/31/2015,Yes,,3378,3378,0,0,0,0,0,0,0,,01/01/2015,12/31/2015,56.52,,2015/2016,100.0,,100.0,,01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
Southeast Alaska Surgery Center,02C0001010,1821327560,Juneau,AK,99801,2015,0.000,,0.000,,0.000,,0.000,,,N/A (5),01/01/2015,12/31/2015,Yes,,482,0,0,0,0,0,0,482,0,,01/01/2015,12/31/2015,45.45,,2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
"Alaska Eye Surgery and Laser Center, Inc",02C0001013,1912202896,Anchorage,AK,99501,2015,6.289,,0.000,,0.000,,0.000,,,N/A (1),01/01/2015,12/31/2015,,N/A (5),,,,,,,,,,N/A (5),01/01/2015,12/31/2015,,N/A (5),2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
Dothan Surgery Center,01C0001039,1003815242,Dothan,AL,36301,2015,0.000,,0.533,,0.000,,0.000,,978.43,,01/01/2015,12/31/2015,Yes,,13690,9613,886,116,0,1523,0,894,658,,01/01/2015,12/31/2015,64.44,,2015/2016,100.0,,100.0,,01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
South Alabama Outpatient Services,01C0001037,1013924133,Enterprise,AL,36330,2015,0.000,,0.000,,0.000,,0.686,,1000.0,,01/01/2015,12/31/2015,Yes,,3440,418,296,6,0,492,0,2101,127,,01/01/2015,12/31/2015,35.71,,2015/2016,92.31,,95.24,,01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
North River Surgical Center,01C0001029,1215926993,Tuscaloosa,AL,35406,2015,0.000,,0.000,,0.000,,0.000,,,N/A (5),01/01/2015,12/31/2015,Yes,,7240,7152,0,9,0,79,0,0,0,,01/01/2015,12/31/2015,58.82,,2015/2016,94.35,,100.0,,01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
Huntsville Endoscopy Center,01C0001025,1235178005,Huntsville,AL,35801,2015,0.000,,0.000,,0.000,,0.000,,,N/A (5),01/01/2015,12/31/2015,Yes,,3546,3546,0,0,0,0,0,0,0,,01/01/2015,12/31/2015,66.67,,2015/2016,77.97,,95.12,,01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
Eye Surgery Center of North Alabama,01C0001050,1265657258,Huntsville,AL,35801,2015,0.000,,0.000,,0.000,,0.000,,,N/A (1),01/01/2015,12/31/2015,Yes,,3333,0,3333,0,0,0,0,0,0,,01/01/2015,12/31/2015,77.78,,2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
"Gastroenterology Consultants of Tuscaloosa, Inc.",01C0001024,1275725673,Tuscaloosa,AL,35406,2015,0.000,,0.000,,0.000,,0.000,,,N/A (5),01/01/2015,12/31/2015,Yes,,1180,1180,0,0,0,0,0,0,0,,01/01/2015,12/31/2015,66.67,,2015/2016,72.92,,56.17,,01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
Outpatient Carecenter,01C0001008,1285690073,Birmingham,AL,35233,2015,0.000,,0.000,,0.000,,0.000,,994.49,,01/01/2015,12/31/2015,Yes,,6151,0,4936,0,0,1215,0,0,0,,01/01/2015,12/31/2015,74.62,,2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
Northeast Alabama Eye Surgery Center,01C0001040,1306877261,Gadsden,AL,35901,2015,0.000,,0.000,,0.000,,0.000,,,N/A (5),01/01/2015,12/31/2015,Yes,,4806,0,4806,0,0,0,0,0,0,,01/01/2015,12/31/2015,73.53,,2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
Jackson Surgery Center,01C0001053,1336375930,Montgomery,AL,36106,2015,0.000,,0.000,,0.000,,0.000,,1000.0,,01/01/2015,12/31/2015,Yes,,10642,7461,16,160,127,1912,0,40,926,,01/01/2015,12/31/2015,72.22,,2015/2016,21.93,,7.29,,01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
Southern Alabama Surgery Center,01C0001010,1346349164,Dothan,AL,36301,2015,0.000,,0.000,,0.000,,0.000,,1000.0,,01/01/2015,12/31/2015,Yes,,17762,2573,13669,1466,0,24,0,2,28,,01/01/2015,12/31/2015,50.00,,2015/2016,72.34,,28.71,,01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
The Surgery Center,01C0001035,1356321293,Oxford,AL,36203,2015,0.000,,0.000,,0.000,,1.161,,996.92,,01/01/2015,12/31/2015,Yes,,8669,1747,1396,56,145,948,5,4331,41,,01/01/2015,12/31/2015,72.09,,2015/2016,58.73,,100.0,,01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
"Madison Surgery Center, LLC",01C0001044,1356369755,Madison,AL,35758,2015,0.000,,0.000,,0.000,,0.351,,989.53,,01/01/2015,12/31/2015,Yes,,14239,7513,293,57,11,953,48,4938,426,,01/01/2015,12/31/2015,70.53,,2015/2016,100.0,,89.63,,01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
Montgomery Surgical Center,01C0001000,1376634683,Montgomery,AL,36117,2015,0.000,,0.672,,0.000,,1.345,,946.36,,01/01/2015,12/31/2015,Yes,,9341,2015,2089,47,4,3129,45,1782,230,,01/01/2015,12/31/2015,49.08,,2015/2016,28.13,,53.15,,01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
Decatur Ambulatory Surgery Center,01C0001018,1386782787,Decatur,AL,35603,2015,0.000,,0.000,,0.000,,0.402,,918.92,,01/01/2015,12/31/2015,Yes,,7474,5766,748,0,0,960,0,0,0,,01/01/2015,12/31/2015,22.73,,2015/2016,39.58,,46.88,,01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
Montgomery Eye Surgery Center,01C0001026,1457331274,Montgomery,AL,36106,2015,0.470,,0.000,,0.000,,0.000,,,N/A (1),01/01/2015,12/31/2015,Yes,,4207,0,4055,152,0,0,0,0,0,,01/01/2015,12/31/2015,92.00,,2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
"Shelby Baptist Ambulatory Surgery Center, LLC",01C0001046,1538117841,Alabaster,AL,35007,2015,0.000,,0.000,,0.000,,0.000,,996.12,,01/01/2015,12/31/2015,Yes,,10964,7295,1734,33,179,284,0,1062,377,,01/01/2015,12/31/2015,70.18,,2015/2016,100.0,,100.0,,01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
Alabama Digestive Health Endoscopy Center (Adhec),01C0001051,1588854772,Birmingham,AL,35209,2015,0.000,,0.674,,0.000,,0.000,,,N/A (1),01/01/2015,12/31/2015,Yes,,8858,8858,0,0,0,0,0,0,0,,01/01/2015,12/31/2015,87.23,,2015/2016,55.21,,71.88,,01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
"Surgery Center of Cullman, LLC",01C0001048,1669481255,Cullman,AL,35055,2015,0.000,,0.000,,0.000,,0.000,,997.36,,01/01/2015,12/31/2015,Yes,,4527,2891,739,8,2,441,51,364,31,,01/01/2015,12/31/2015,84.88,,2015/2016,19.70,,53.54,,01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
Tuscaloosa Surgical Center,01C0001017,1679544050,Tuscaloosa,AL,35406,2015,0.000,,0.000,,0.000,,0.694,,1000.0,,01/01/2015,12/31/2015,Yes,,7128,863,956,64,0,987,0,3521,737,,01/01/2015,12/31/2015,37.80,,2015/2016,49.07,,44.26,,01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
Vision Correction Center,01C0001041,1689735250,Tuscaloosa,AL,35406,2015,0.000,,0.000,,0.000,,0.000,,,N/A (5),01/01/2015,12/31/2015,Yes,,1607,0,1607,0,0,0,0,0,0,,01/01/2015,12/31/2015,69.70,,2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
Dauphin West Surgery Center,01C0001021,1700884608,Mobile,AL,36608,2015,0.000,,0.000,,0.000,,0.000,,,N/A (5),01/01/2015,12/31/2015,Yes,,3172,0,3126,46,0,0,0,0,0,,01/01/2015,12/31/2015,91.36,,2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
Surgicare of Mobile,01C0001009,1720044522,Mobile,AL,36606,2015,0.000,,0.000,,0.000,,0.000,,,N/A (5),01/01/2015,12/31/2015,Yes,,13843,8722,4271,387,0,0,0,0,463,,01/01/2015,12/31/2015,88.79,,2015/2016,74.05,,81.82,,01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
Gardendale Surgery Center,01C0001054,1730318353,Gardendale,AL,35071,2015,0.000,,0.000,,0.000,,0.000,,1000.0,,01/01/2015,12/31/2015,Yes,,2624,1940,408,0,0,156,0,120,0,,01/01/2015,12/31/2015,68.54,,2015/2016,100.0,,100.0,,01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
The Orthopaedic Center at Springhill,01C0001042,1740288679,Mobile,AL,36608,2015,0.000,,2.315,,0.000,,0.000,,989.25,,01/01/2015,12/31/2015,Yes,,7556,0,8,60,0,1469,0,6003,16,,01/01/2015,12/31/2015,65.77,,2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
Medplex Outpatient Surgery Center,01C0001020,1750499950,Birmingham,AL,35244,2015,0.000,,0.792,,0.000,,0.000,,1000.0,,01/01/2015,12/31/2015,Yes,,6826,0,0,2,0,883,0,5213,728,,01/01/2015,12/31/2015,50.00,,2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
Mobile Surgery Center,01C0001002,1760447866,Mobile,AL,36608,2015,0.000,,0.000,,0.000,,0.000,,994.20,,01/01/2015,12/31/2015,Yes,,15495,0,1216,153,0,2541,0,11585,0,,01/01/2015,12/31/2015,56.38,,2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
Birmingham Surgery Center,01C0001027,1790756237,Birmingham,AL,35209,2015,0.000,,0.000,,0.000,,0.000,,,N/A (1),01/01/2015,12/31/2015,Yes,,10328,5029,2029,0,0,3058,0,0,212,,01/01/2015,12/31/2015,67.13,,2015/2016,100.0,,100.0,,01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
The Surgery Center of Huntsville,01C0001013,1841342789,Huntsville,AL,35801,2015,0.000,,0.126,,0.126,,1.516,,973.92,,01/01/2015,12/31/2015,Yes,,26220,2901,4679,655,66,7230,0,9549,1140,,01/01/2015,12/31/2015,74.19,,2015/2016,42.71,,80.21,,01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
Bay Eye Surgery Center,01C0001045,1881618403,Fairhope,AL,36532,2015,0.000,,0.000,,0.000,,0.000,,,N/A (5),01/01/2015,12/31/2015,Yes,,2410,0,2410,0,0,0,0,0,0,,01/01/2015,12/31/2015,73.91,,2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
Outpatient Services East,01C0001014,1932298718,Birmingham,AL,35235,2015,0.000,,0.247,,0.000,,2.472,,992.46,,01/01/2015,12/31/2015,Yes,,16926,11124,1119,10,87,560,0,4003,23,,01/01/2015,12/31/2015,60.27,,2015/2016,96.00,,95.20,,01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
Gadsden Surgery Center,01C0001011,1962467951,Gadsden,AL,35901,2015,0.000,,0.000,,0.000,,0.000,,990.05,,01/01/2015,12/31/2015,Yes,,4609,918,639,18,0,945,37,1911,141,,01/01/2015,12/31/2015,75.28,,2015/2016,61.22,,50.00,,01/01/2015,12/31/2015,93.33,,01/01/2015,12/31/2015
"Surgery Center of Decatur, LP",01C0001043,1962513788,Decatur,AL,35601,2015,0.000,,0.000,,0.000,,1.274,,997.55,,01/01/2015,12/31/2015,Yes,,5598,3194,1067,16,87,615,0,449,170,,01/01/2015,12/31/2015,81.40,,2015/2016,62.22,,100.0,,01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
Florence Surgery Center,01C0001022,1972568830,Florence,AL,35630,2015,0.000,,0.000,,0.325,,0.651,,1000.0,,01/01/2015,12/31/2015,Yes,,6682,286,2345,12,0,1598,1,2394,46,,01/01/2015,12/31/2015,71.28,,2015/2016,42.86,,91.30,,01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
"St. Vincents Outpatient Surgery Services, LLC",01C0001055,1972805299,Birmingham,AL,35205,2015,1.220,,0.000,,0.000,,2.436,,995.55,,01/01/2015,12/31/2015,Yes,,1580,13,242,203,0,249,121,270,482,,01/01/2015,12/31/2015,65.75,,2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
Physicians Day Surgery Center,04C0001010,1023057916,Pine Bluff,AR,71603,2015,0.000,,0.000,,0.000,,0.000,,,N/A (5),01/01/2015,12/31/2015,Yes,,2592,0,2380,174,0,38,0,0,0,,01/01/2015,12/31/2015,73.33,,2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
Lowery Surgery Center,04C0001009,1043208283,Searcy,AR,72143,2015,0.000,,0.000,,0.000,,0.000,,,N/A (1),01/01/2015,12/31/2015,Yes,,665,0,660,5,0,0,0,0,0,,01/01/2015,12/31/2015,66.67,,2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
"Magnolia Surgery Center, LLC",04C0001087,1043565542,Magnolia,AR,71753,2015,0.000,,0.000,,0.000,,0.000,,,N/A (5),01/01/2015,12/31/2015,Yes,,906,0,906,0,0,0,0,0,0,,01/01/2015,12/31/2015,0.00,,2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
Interventuinal Surgery Institute,04C0001074,1043625221,Little Rock,AR,72204,2015,0.000,,48.409,,0.000,,0.000,,,N/A (5),01/01/2015,12/31/2015,Yes,,0,0,0,0,0,0,0,0,0,,01/01/2015,12/31/2015,50.00,,2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
Baker Eye Institute,04C0001047,1053301473,Conway,AR,72032,2015,0.000,,0.000,,0.000,,0.000,,,N/A (5),01/01/2015,12/31/2015,Yes,,2074,0,2074,0,0,0,0,0,0,,01/01/2015,12/31/2015,38.89,,2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
Arkansas Center for Surgical Excellence,04C0001086,1053685677,Hot Springs,AR,71913,2015,0.000,,0.000,,0.000,,0.000,,1000.0,,01/01/2015,12/31/2015,Yes,,557,0,508,0,0,43,0,6,0,,01/01/2015,12/31/2015,91.67,,2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
"Harrison Surgery Center, LLC",04C0001061,1063415891,Harrison,AR,72601,2015,0.000,,0.000,,0.000,,0.000,,0.00,,01/01/2015,12/31/2015,Yes,,964,0,914,50,0,0,0,0,0,,01/01/2015,12/31/2015,,N/A (5),2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
"Endoscopy Center of Arkansas, LLC",04C0001060,1063470730,Little Rock,AR,72207,2015,0.000,,0.000,,0.000,,0.000,,,N/A (1),01/01/2015,12/31/2015,Yes,,7198,7198,0,0,0,0,0,0,0,,01/01/2015,12/31/2015,100.0,,2015/2016,3.23,,14.29,,01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
"Surgery By Vold Vision, LLC",04C0001084,1073888103,Fayetteville,AR,72704,2015,0.000,,0.000,,0.000,,0.000,,,N/A (1),01/01/2015,12/31/2015,Yes,,1310,0,1310,0,0,0,0,0,0,,01/01/2015,12/31/2015,100.0,,2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
"Aoc Surgery Center, Inc.",04C0001002,1093795031,Little Rock,AR,72205,2015,0.000,,0.000,,0.000,,0.000,,,N/A (5),01/01/2015,12/31/2015,Yes,,0,0,0,0,0,0,0,0,0,,01/01/2015,12/31/2015,100.0,,2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
Orthoarkansas Surgery Center,04C0001045,1093799405,Little Rock,AR,72205,2015,0.000,,0.000,,0.000,,0.000,,929.35,,01/01/2015,12/31/2015,Yes,,9502,0,0,0,0,1822,0,7680,0,,01/01/2015,12/31/2015,92.94,,2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
"Physicians Surgery Center, LLC",04C0001058,1114906393,Blytheville,AR,72315,2015,0.000,,0.000,,0.000,,0.000,,,N/A (5),01/01/2015,12/31/2015,Yes,,869,0,863,6,0,0,0,0,0,,01/01/2015,12/31/2015,6.67,,2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
"Doctors Surgery Center, P.A.",04C0001020,1114951365,West Memphis,AR,72301,2015,0.000,,0.000,,0.000,,0.000,,,N/A (5),01/01/2015,12/31/2015,Yes,,849,0,847,2,0,0,0,0,0,,01/01/2015,12/31/2015,80.00,,2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
"Spring Creek Surgery Center, LLC",04C0001054,1134177256,Hot Springs,AR,71913,2015,0.000,,0.000,,0.000,,0.000,,,N/A (5),01/01/2015,12/31/2015,Yes,,1221,0,0,518,0,0,0,703,0,,01/01/2015,12/31/2015,,N/A (1),2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
Arkansas Renal Group Pa- Ovachita Procedure Center,04C0001088,1205266632,Hot Springs,AR,71913,2015,,N/A (5),,N/A (5),,N/A (5),,N/A (5),,N/A (5),01/01/2015,12/31/2015,Yes,,0,0,0,0,0,0,0,0,0,,01/01/2015,12/31/2015,,N/A (5),2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
"Mountain Home Surgery Center, Inc.",04C0001017,1205978780,Mountain Home,AR,72653,2015,0.000,,0.000,,0.000,,0.000,,950.82,,01/01/2015,12/31/2015,Yes,,1834,0,1123,0,0,711,0,0,0,,01/01/2015,12/31/2015,91.67,,2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
Cooper Clinic,04C0001028,1215024575,Fort Smith,AR,72903,2015,0.000,,0.000,,0.000,,0.000,,,N/A (1),01/01/2015,12/31/2015,Yes,,7558,7124,434,0,0,0,0,0,0,,01/01/2015,12/31/2015,83.50,,2015/2016,75.00,,94.79,,01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
"The Gastro-Intestinal Center, Inc.",04C0001013,1215919329,Little Rock,AR,72205,2015,0.000,,0.000,,0.000,,0.000,,,N/A (1),01/01/2015,12/31/2015,Yes,,6843,6843,0,0,0,0,0,0,0,,01/01/2015,12/31/2015,88.64,,2015/2016,90.76,,91.57,,01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
Sloan Eye Clinic/ Arkansas Surgery Center,04C0001008,1215994280,Batesville,AR,72501,2015,0.000,,0.000,,0.000,,0.000,,,N/A (5),01/01/2015,12/31/2015,Yes,,1185,0,1185,0,0,0,0,0,0,,01/01/2015,12/31/2015,23.08,,2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
Tri State Advanced Surgery Center,04C0001085,1225398480,Marion,AR,72364,2015,0.000,,0.000,,0.000,,0.000,,968.25,,01/01/2015,12/31/2015,Yes,,644,0,0,2,0,297,0,332,13,,01/01/2015,12/31/2015,51.56,,2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
