Provider Number,Hospital Name,Address,City,State,ZIP Code,County Name,PSI-90 Achievement Threshold,PSI-90 Benchmark,PSI-90 Baseline Rate,PSI-90 Performance Rate,PSI-90 Achievement Points,PSI-90 Improvement Points,PSI-90 Measure Score,HAI-1 Achievement Threshold,HAI-1 Benchmark,HAI-1 Baseline Rate,HAI-1 Performance Rate,HAI-1 Achievement Points,HAI-1 Improvement Points,HAI-1 Measure Score,HAI-2 Achievement Threshold,HAI-2 Benchmark,HAI-2 Baseline Rate,HAI-2 Performance Rate,HAI-2 Achievement Points,HAI-2 Improvement Points,HAI-2 Measure Score,Combined SSI Measure Score,HAI-3 Achievement Threshold,HAI-3 Benchmark,HAI-3 Baseline Rate,HAI-3 Performance Rate,HAI-3 Achievement Points,HAI-3 Improvement Points,HAI-3 Measure Score,HAI-4 Achievement Threshold,HAI-4 Benchmark,HAI-4 Baseline Rate,HAI-4 Performance Rate,HAI-4 Achievement Points,HAI-4 Improvement Points,HAI-4 Measure Score,HAI-5 Achievement Threshold,HAI-5 Benchmark,HAI-5 Baseline Rate,HAI-5 Performance Rate,HAI-5 Achievement Points,HAI-5 Improvement Points,HAI-5 Measure Score,HAI-6 Achievement Threshold,HAI-6 Benchmark,HAI-6 Baseline Rate,HAI-6 Performance Rate,HAI-6 Achievement Points,HAI-6 Improvement Points,HAI-6 Measure Score
"010023","BAPTIST MEDICAL CENTER SOUTH","2105 EAST SOUTH BOULEVARD","Montgomery","AL","36116","MONTGOMERY","0.777936","0.547889","0.756301","0.349384","10 out of 10","9 out of 9","10 out of 10","0.457","0.000","0.394","0.807","0 out of 10","0 out of 9","0 out of 10","0.845","0.000","0.803","0.902","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0.751","0.000","0.182","1.243","0 out of 10","0 out of 9","0 out of 10","0.698","0.000","Not Available","0.926","0 out of 10","Not Available","0 out of 10","0.799","0.000","1.915","2.343","0 out of 10","0 out of 9","0 out of 10","0.750","0.000","0.575","0.912","0 out of 10","0 out of 9","0 out of 10"
"010024","JACKSON HOSPITAL & CLINIC INC","1725 PINE STREET","Montgomery","AL","36106","MONTGOMERY","0.777936","0.547889","0.633952","0.368702","10 out of 10","9 out of 9","10 out of 10","0.457","0.000","0.713","1.456","0 out of 10","0 out of 9","0 out of 10","0.845","0.000","1.148","0.831","1 out of 10","2 out of 9","2 out of 10","1 out of 10","0.751","0.000","0.460","0.612","2 out of 10","0 out of 9","2 out of 10","0.698","0.000","0.000","2.334","0 out of 10","0 out of 9","0 out of 10","0.799","0.000","2.686","3.474","0 out of 10","0 out of 9","0 out of 10","0.750","0.000","1.167","0.949","0 out of 10","1 out of 9","1 out of 10"
"010029","EAST ALABAMA MEDICAL CENTER","2000 PEPPERELL PARKWAY","Opelika","AL","36801","LEE","0.777936","0.547889","0.780010","0.347723","10 out of 10","9 out of 9","10 out of 10","0.457","0.000","1.272","1.034","0 out of 10","1 out of 9","1 out of 10","0.845","0.000","2.400","0.343","6 out of 10","8 out of 9","8 out of 10","3 out of 10","0.751","0.000","0.217","0.370","5 out of 10","0 out of 9","5 out of 10","0.698","0.000","0.329","1.767","0 out of 10","0 out of 9","0 out of 10","0.799","0.000","0.728","0.993","0 out of 10","0 out of 9","0 out of 10","0.750","0.000","0.501","0.633","2 out of 10","0 out of 9","2 out of 10"
"010033","UNIVERSITY OF ALABAMA HOSPITAL","619 SOUTH 19TH STREET","Birmingham","AL","35249","JEFFERSON","0.777936","0.547889","0.946190","0.471004","10 out of 10","9 out of 9","10 out of 10","0.457","0.000","0.801","0.741","0 out of 10","0 out of 9","0 out of 10","0.845","0.000","1.892","0.327","6 out of 10","8 out of 9","8 out of 10","0 out of 10","0.751","0.000","0.367","0.997","0 out of 10","0 out of 9","0 out of 10","0.698","0.000","0.864","0.768","0 out of 10","1 out of 9","1 out of 10","0.799","0.000","1.644","1.262","0 out of 10","2 out of 9","2 out of 10","0.750","0.000","0.891","0.817","0 out of 10","0 out of 9","0 out of 10"
"010034","COMMUNITY HOSPITAL INC","805 FRIENDSHIP ROAD","Tallassee","AL","36078","ELMORE","0.777936","0.547889","0.706359","0.756896","1 out of 10","0 out of 9","1 out of 10","0.457","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.845","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0.751","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.698","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.799","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.750","0.000","0.773","0.869","0 out of 10","0 out of 9","0 out of 10"
"010035","CULLMAN REGIONAL MEDICAL CENTER","1912 ALABAMA HIGHWAY 157","Cullman","AL","35058","CULLMAN","0.777936","0.547889","0.697252","0.435809","10 out of 10","9 out of 9","10 out of 10","0.457","0.000","0.000","0.000","10 out of 10","0 out of 9","10 out of 10","0.845","0.000","0.333","0.254","7 out of 10","2 out of 9","7 out of 10","2 out of 10","0.751","0.000","0.466","0.613","2 out of 10","0 out of 9","2 out of 10","0.698","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.799","0.000","0.000","1.933","0 out of 10","0 out of 9","0 out of 10","0.750","0.000","0.391","0.203","7 out of 10","4 out of 9","7 out of 10"
"010036","ANDALUSIA REGIONAL HOSPITAL","849 SOUTH THREE NOTCH STREET","Andalusia","AL","36420","COVINGTON","0.777936","0.547889","0.851566","0.758364","1 out of 10","3 out of 9","3 out of 10","0.457","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.845","0.000","0.000","0.000","10 out of 10","0 out of 9","10 out of 10","Not Available","0.751","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.698","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.799","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.750","0.000","0.000","0.279","6 out of 10","0 out of 9","6 out of 10"
"010038","STRINGFELLOW MEMORIAL HOSPITAL","301 EAST 18TH ST","Anniston","AL","36207","CALHOUN","0.777936","0.547889","0.764536","0.667831","5 out of 10","4 out of 9","5 out of 10","0.457","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.845","0.000","0.972","Not Available","Not Available","Not Available","Not Available","Not Available","0.751","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.698","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.799","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.750","0.000","0.352","0.616","2 out of 10","0 out of 9","2 out of 10"
"010039","HUNTSVILLE HOSPITAL","101 SIVLEY RD","Huntsville","AL","35801","MADISON","0.777936","0.547889","0.847397","0.523588","10 out of 10","9 out of 9","10 out of 10","0.457","0.000","0.697","1.238","0 out of 10","0 out of 9","0 out of 10","0.845","0.000","0.949","0.557","4 out of 10","4 out of 9","4 out of 10","1 out of 10","0.751","0.000","0.653","1.464","0 out of 10","0 out of 9","0 out of 10","0.698","0.000","1.378","0.563","2 out of 10","5 out of 9","5 out of 10","0.799","0.000","1.314","0.578","3 out of 10","5 out of 9","5 out of 10","0.750","0.000","0.647","0.589","2 out of 10","0 out of 9","2 out of 10"
"010040","GADSDEN REGIONAL MEDICAL CENTER","1007 GOODYEAR AVENUE","Gadsden","AL","35903","ETOWAH","0.777936","0.547889","0.724102","0.603515","7 out of 10","6 out of 9","7 out of 10","0.457","0.000","0.207","0.231","5 out of 10","0 out of 9","5 out of 10","0.845","0.000","0.124","0.182","8 out of 10","0 out of 9","8 out of 10","10 out of 10","0.751","0.000","0.000","0.000","10 out of 10","0 out of 9","10 out of 10","0.698","0.000","0.000","0.000","10 out of 10","0 out of 9","10 out of 10","0.799","0.000","3.424","0.550","3 out of 10","8 out of 9","8 out of 10","0.750","0.000","0.879","0.438","4 out of 10","5 out of 9","5 out of 10"
"010044","MARION REGIONAL MEDICAL CENTER","1256 MILITARY STREET SOUTH","Hamilton","AL","35570","MARION","0.777936","0.547889","0.742266","0.557472","9 out of 10","9 out of 9","9 out of 10","0.457","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.845","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0.751","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.698","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.799","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.750","0.000","0.000","0.000","10 out of 10","0 out of 9","10 out of 10"
"010045","FAYETTE MEDICAL CENTER","1653 TEMPLE AVENUE NORTH","Fayette","AL","35555","FAYETTE","0.777936","0.547889","0.963962","0.592642","8 out of 10","8 out of 9","8 out of 10","0.457","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.845","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0.751","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.698","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.799","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.750","0.000","0.885","1.677","0 out of 10","0 out of 9","0 out of 10"
"010046","RIVERVIEW REGIONAL MEDICAL CENTER","600 SOUTH THIRD STREET","Gadsden","AL","35901","ETOWAH","0.777936","0.547889","0.655759","0.504186","10 out of 10","9 out of 9","10 out of 10","0.457","0.000","2.343","0.000","10 out of 10","9 out of 9","10 out of 10","0.845","0.000","2.311","1.746","0 out of 10","2 out of 9","2 out of 10","3 out of 10","0.751","0.000","0.000","0.541","3 out of 10","0 out of 9","3 out of 10","0.698","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.799","0.000","2.114","0.573","3 out of 10","7 out of 9","7 out of 10","0.750","0.000","1.746","0.645","2 out of 10","6 out of 9","6 out of 10"
"010047","GEORGIANA MEDICAL CENTER","515 N MIRANDA AVENUE","Georgiana","AL","36033","BUTLER","0.777936","0.547889","0.783874","0.557368","9 out of 10","9 out of 9","9 out of 10","0.457","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.845","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0.751","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.698","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.799","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.750","0.000","0.000","Not Available","Not Available","Not Available","Not Available"
"010049","MEDICAL CENTER ENTERPRISE","400 N EDWARDS STREET","Enterprise","AL","36330","COFFEE","0.777936","0.547889","0.885320","0.475789","10 out of 10","9 out of 9","10 out of 10","0.457","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.845","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0 out of 10","0.751","0.000","2.322","Not Available","Not Available","Not Available","Not Available","0.698","0.000","0.000","0.936","0 out of 10","0 out of 9","0 out of 10","0.799","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.750","0.000","0.000","0.490","4 out of 10","0 out of 9","4 out of 10"
"010052","LAKE MARTIN COMMUNITY HOSPITAL","201 MARIARDEN ROAD","Dadeville","AL","36853","TALLAPOOSA","0.777936","0.547889","0.779841","0.554064","9 out of 10","9 out of 9","9 out of 10","0.457","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.845","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0.751","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.698","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.799","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.750","0.000","0.000","Not Available","Not Available","Not Available","Not Available"
"010055","FLOWERS HOSPITAL","4370 WEST MAIN STREET","Dothan","AL","36302","HOUSTON","0.777936","0.547889","0.699860","0.482672","10 out of 10","9 out of 9","10 out of 10","0.457","0.000","0.794","0.461","0 out of 10","4 out of 9","4 out of 10","0.845","0.000","1.018","0.854","0 out of 10","1 out of 9","1 out of 10","0 out of 10","0.751","0.000","0.624","1.459","0 out of 10","0 out of 9","0 out of 10","0.698","0.000","0.000","0.831","0 out of 10","0 out of 9","0 out of 10","0.799","0.000","0.915","0.428","5 out of 10","5 out of 9","5 out of 10","0.750","0.000","0.596","0.807","0 out of 10","0 out of 9","0 out of 10"
"010056","ST VINCENT'S BIRMINGHAM","810 ST VINCENT'S DRIVE","Birmingham","AL","35205","JEFFERSON","0.777936","0.547889","0.658085","0.738388","2 out of 10","0 out of 9","2 out of 10","0.457","0.000","0.458","0.441","1 out of 10","0 out of 9","1 out of 10","0.845","0.000","0.322","0.213","7 out of 10","3 out of 9","7 out of 10","4 out of 10","0.751","0.000","1.263","0.446","4 out of 10","6 out of 9","6 out of 10","0.698","0.000","0.000","0.867","0 out of 10","0 out of 9","0 out of 10","0.799","0.000","0.677","1.500","0 out of 10","0 out of 9","0 out of 10","0.750","0.000","0.948","0.885","0 out of 10","0 out of 9","0 out of 10"
"010059","LAWRENCE MEDICAL CENTER","202 HOSPITAL STREET","Moulton","AL","35650","LAWRENCE","0.777936","0.547889","0.752575","0.546353","10 out of 10","9 out of 9","10 out of 10","0.457","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.845","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0.751","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.698","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.799","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.750","0.000","0.478","1.381","0 out of 10","0 out of 9","0 out of 10"
"010061","HIGHLANDS MEDICAL CENTER","380 WOODS COVE ROAD","Scottsboro","AL","35768","JACKSON","0.777936","0.547889","1.011526","0.521137","10 out of 10","9 out of 9","10 out of 10","0.457","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.845","0.000","1.519","0.000","10 out of 10","9 out of 9","10 out of 10","Not Available","0.751","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.698","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.799","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.750","0.000","1.481","0.285","6 out of 10","8 out of 9","8 out of 10"
"010062","WIREGRASS MEDICAL CENTER","1200 W MAPLE AVENUE","Geneva","AL","36340","GENEVA","0.777936","0.547889","0.751574","0.595358","8 out of 10","7 out of 9","8 out of 10","0.457","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.845","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0.751","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.698","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.799","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.750","0.000","0.000","0.000","10 out of 10","0 out of 9","10 out of 10"
"010069","MEDICAL CENTER BARBOUR","820 W WASHINGTON ST","Eufaula","AL","36027","BARBOUR","0.777936","0.547889","0.687397","0.490952","10 out of 10","9 out of 9","10 out of 10","0.457","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.845","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0.751","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.698","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.799","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.750","0.000","0.000","0.000","10 out of 10","0 out of 9","10 out of 10"
"010073","CLAY COUNTY HOSPITAL","83825 HIGHWAY 9    P O BOX 1270","Ashland","AL","36251","CLAY","0.777936","0.547889","0.771421","0.538198","10 out of 10","9 out of 9","10 out of 10","0.457","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.845","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0.751","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.698","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.799","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.750","0.000","0.000","0.000","10 out of 10","0 out of 9","10 out of 10"
"010078","NORTHEAST ALABAMA REGIONAL MED CENTER","400 EAST 10TH STREET","Anniston","AL","36207","CALHOUN","0.777936","0.547889","0.916484","0.761520","1 out of 10","4 out of 9","4 out of 10","0.457","0.000","1.113","0.000","10 out of 10","9 out of 9","10 out of 10","0.845","0.000","0.582","1.007","0 out of 10","0 out of 9","0 out of 10","10 out of 10","0.751","0.000","0.229","0.000","10 out of 10","9 out of 9","10 out of 10","0.698","0.000","0.000","Not Available","Not Available","Not Available","Not Available","0.799","0.000","1.153","0.787","1 out of 10","3 out of 9","3 out of 10","0.750","0.000","0.511","0.635","2 out of 10","0 out of 9","2 out of 10"
"010079","ATHENS LIMESTONE HOSPITAL","700 WEST MARKET STREET","Athens","AL","35611","LIMESTONE","0.777936","0.547889","0.704387","0.546059","10 out of 10","9 out of 9","10 out of 10","0.457","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.845","0.000","1.031","0.000","10 out of 10","9 out of 9","10 out of 10","10 out of 10","0.751","0.000","Not Available","0.000","10 out of 10","Not Available","10 out of 10","0.698","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.799","0.000","0.728","Not Available","Not Available","Not Available","Not Available","0.750","0.000","1.273","0.866","0 out of 10","3 out of 9","3 out of 10"
"010083","SOUTH BALDWIN REGIONAL MEDICAL CENTER","1613 NORTH MCKENZIE STREET","Foley","AL","36535","BALDWIN","0.777936","0.547889","0.950401","0.651526","5 out of 10","7 out of 9","7 out of 10","0.457","0.000","0.000","0.000","10 out of 10","0 out of 9","10 out of 10","0.845","0.000","0.000","0.367","6 out of 10","0 out of 9","6 out of 10","0 out of 10","0.751","0.000","Not Available","1.185","0 out of 10","Not Available","0 out of 10","0.698","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.799","0.000","0.000","0.716","1 out of 10","0 out of 9","1 out of 10","0.750","0.000","0.305","0.411","5 out of 10","0 out of 9","5 out of 10"
"010085","DECATUR MORGAN HOSPITAL-DECATUR CAMPUS","1201 7TH STREET SE","Decatur","AL","35601","MORGAN","0.777936","0.547889","0.834656","0.677654","4 out of 10","5 out of 9","5 out of 10","0.457","0.000","0.534","0.000","10 out of 10","9 out of 9","10 out of 10","0.845","0.000","0.223","0.581","3 out of 10","0 out of 9","3 out of 10","2 out of 10","0.751","0.000","0.000","1.546","0 out of 10","0 out of 9","0 out of 10","0.698","0.000","0.000","0.000","10 out of 10","0 out of 9","10 out of 10","0.799","0.000","0.482","0.373","5 out of 10","2 out of 9","5 out of 10","0.750","0.000","0.317","0.296","6 out of 10","0 out of 9","6 out of 10"
"010086","NORTHWEST MEDICAL CENTER","1530 U S HIGHWAY 43","Winfield","AL","35594","MARION","0.777936","0.547889","0.689688","0.479758","10 out of 10","9 out of 9","10 out of 10","0.457","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.845","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0.751","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.698","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.799","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.750","0.000","0.917","0.249","7 out of 10","7 out of 9","7 out of 10"
"010087","UNIVERSITY OF SOUTH ALABAMA MEDICAL CENTER","2451 FILLINGIM STREET","Mobile","AL","36617","MOBILE","0.777936","0.547889","0.905012","0.464689","10 out of 10","9 out of 9","10 out of 10","0.457","0.000","0.500","0.914","0 out of 10","0 out of 9","0 out of 10","0.845","0.000","1.813","0.497","4 out of 10","7 out of 9","7 out of 10","0 out of 10","0.751","0.000","0.000","2.379","0 out of 10","0 out of 9","0 out of 10","0.698","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.799","0.000","2.317","3.182","0 out of 10","0 out of 9","0 out of 10","0.750","0.000","0.348","0.561","3 out of 10","0 out of 9","3 out of 10"
