Provider_Number,Hospital_Name,Address,City,State,ZIP_Code,County_Name,MSPB-1 Achievement Threshold,MSPB-1 Benchmark,MSPB-1 Baseline Rate,MSPB-1 Performance Rate,MSPB-1 Achievement Points,MSPB-1 Improvement Points,MSPB-1 Measure Score
"230167","MCLAREN GREATER LANSING","401 W GREENLAWN AVE","Lansing","MI","48910","INGHAM","0.987666","0.829199","0.936800","0.937558","3 out of 10","0 out of 9","3 out of 10"
"230151","BEAUMONT HOSPITAL - FARMINGTON HILLS","28050 GRAND RIVER AVENUE","Farmington Hills","MI","48336","OAKLAND","0.987666","0.829199","1.063196","1.041716","0 out of 10","0 out of 9","0 out of 10"
"240022","SANFORD WORTHINGTON MEDICAL CENTER","1018 SIXTH AVENUE PO BOX 997","Worthington","MN","56187","NOBLES","0.987666","0.829199","0.932149","0.907013","5 out of 10","2 out of 9","5 out of 10"
"240187","HUTCHINSON HEALTH","1095 HIGHWAY 15 SOUTH","Hutchinson","MN","55350","MCLEOD","0.987666","0.829199","0.924130","0.972364","1 out of 10","0 out of 9","1 out of 10"
"240076","BUFFALO HOSPITAL","303 CATLIN ST","Buffalo","MN","55313","WRIGHT","0.987666","0.829199","0.891452","0.918325","4 out of 10","0 out of 9","4 out of 10"
"250020","WEBSTER GENERAL HOSPITAL/ SWING BED","70 MEDICAL PLAZA","Eupora","MS","39744","WEBSTER","0.987666","0.829199","0.907440","0.953527","2 out of 10","0 out of 9","2 out of 10"
"240020","CAMBRIDGE MEDICAL CENTER","701 SOUTH DELLWOOD AVENUE","Cambridge","MN","55008","ISANTI","0.987666","0.829199","0.840561","0.819212","10 out of 10","9 out of 9","10 out of 10"
"240038","UNITED HOSPITAL","333 NORTH SMITH AVENUE","Saint Paul","MN","55102","RAMSEY","0.987666","0.829199","0.950992","0.949450","3 out of 10","0 out of 9","3 out of 10"
"240207","FAIRVIEW RIDGES HOSPITAL","201 EAST NICOLLET BOULEVARD","Burnsville","MN","55337","DAKOTA","0.987666","0.829199","0.888387","0.910191","5 out of 10","0 out of 9","5 out of 10"
"260022","NORTHEAST REGIONAL MEDICAL CENTER","315 S OSTEOPATHY","Kirksville","MO","63501","ADAIR","0.987666","0.829199","0.942723","0.934816","4 out of 10","0 out of 9","4 out of 10"
"260005","SSM HEALTH ST JOSEPH HOSPITAL-ST CHARLES","300 1ST CAPITOL DR","Saint Charles","MO","63301","ST. CHARLES","0.987666","0.829199","1.014720","0.981666","1 out of 10","1 out of 9","1 out of 10"
"260137","FREEMAN HEALTH SYSTEM - FREEMAN WEST","1102 WEST 32ND STREET","Joplin","MO","64804","JASPER","0.987666","0.829199","0.939898","0.976865","1 out of 10","0 out of 9","1 out of 10"
"260210","ST ALEXIUS HOSPITAL","3933 S BROADWAY","Saint Louis","MO","63118","ST. LOUIS CITY","0.987666","0.829199","1.089463","0.983518","1 out of 10","4 out of 9","4 out of 10"
"260001","MERCY HOSPITAL JOPLIN","100 MERCY WAY","Joplin","MO","64804","JASPER","0.987666","0.829199","1.016331","0.970596","1 out of 10","2 out of 9","2 out of 10"
"260059","MERCY HOSPITAL LEBANON","100 HOSPITAL DRIVE","Lebanon","MO","65536","LACLEDE","0.987666","0.829199","0.835820","0.849330","8 out of 10","0 out of 9","8 out of 10"
"250151","ALLIANCE HEALTH CENTER","5000 HIGHWAY 39 NORTH","Meridian","MS","39301","LAUDERDALE","0.987666","0.829199","0.945925","1.043096","0 out of 10","0 out of 9","0 out of 10"
"250094","MERIT HEALTH WESLEY","5001 W HARDY ST","Hattiesburg","MS","39402","FORREST","0.987666","0.829199","0.997590","1.008301","0 out of 10","0 out of 9","0 out of 10"
"250007","MERIT HEALTH BILOXI","150 REYNOIR STREET","Biloxi","MS","39530","HARRISON","0.987666","0.829199","0.981543","0.976617","1 out of 10","0 out of 9","1 out of 10"
"250067","CLAY COUNTY MEDICAL CENTER","835 MEDICAL CENTER DR","West Point","MS","39773","CLAY","0.987666","0.829199","0.946012","0.998080","0 out of 10","0 out of 9","0 out of 10"
"280040","METHODIST HOSPITAL","8303 DODGE ST","Omaha","NE","68114","DOUGLAS","0.987666","0.829199","1.012710","1.039531","0 out of 10","0 out of 9","0 out of 10"
"260023","MERCY HOSPITAL JEFFERSON","1400 HIGHWAY 61 SOUTH","Crystal City","MO","63019","JEFFERSON","0.987666","0.829199","0.973680","0.977109","1 out of 10","0 out of 9","1 out of 10"
"270012","BENEFIS HOSPITALS INC","1101 26TH ST S","Great Falls","MT","59405","CASCADE","0.987666","0.829199","0.965027","0.981447","1 out of 10","0 out of 9","1 out of 10"
"290019","CARSON TAHOE REGIONAL MEDICAL CENTER","1600 MEDICAL PARKWAY","Carson City","NV","89703","CARSON CITY","0.987666","0.829199","0.978806","0.955868","2 out of 10","1 out of 9","2 out of 10"
"290008","NORTHEASTERN NEVADA REGIONAL HOSPITAL","2001 ERRECART BLVD","Elko","NV","89801","ELKO","0.987666","0.829199","0.841899","0.904573","5 out of 10","0 out of 9","5 out of 10"
"290045","ST ROSE DOMINICAN HOSPITALS - SIENA CAMPUS","3001 ST ROSE PARKWAY","Henderson","NV","89052","CLARK","0.987666","0.829199","1.126782","1.107985","0 out of 10","0 out of 9","0 out of 10"
"260050","SSM HEALTH ST FRANCIS HOSPITAL - MARYVILLE","2016 SOUTH MAIN ST","Maryville","MO","64468","NODAWAY","0.987666","0.829199","0.909162","0.874342","7 out of 10","4 out of 9","7 out of 10"
"430077","RAPID CITY REGIONAL HOSPITAL","353 FAIRMONT BLVD  POST OFFICE BOX 6000","Rapid City","SD","57701","PENNINGTON","0.987666","0.829199","0.974826","1.004867","0 out of 10","0 out of 9","0 out of 10"
"410010","WOMEN AND INFANTS HOSPITAL OF RHODE ISLAND","101 DUDLEY STREET","Providence","RI","02905","PROVIDENCE","0.987666","0.829199","0.968015","0.977858","1 out of 10","0 out of 9","1 out of 10"
"410011","LANDMARK MEDICAL CENTER,  INC","115 CASS AVE","Woonsocket","RI","02895","PROVIDENCE","0.987666","0.829199","1.005671","0.973375","1 out of 10","1 out of 9","1 out of 10"
"420080","HILTON HEAD REGIONAL MEDICAL CENTER","25 HOSPITAL CENTER BLVD","Hilton Head Island","SC","29925","BEAUFORT","0.987666","0.829199","1.014831","0.965333","2 out of 10","2 out of 9","2 out of 10"
"420015","BAPTIST EASLEY HOSPITAL","PO BOX 2129","Easley","SC","29641","PICKENS","0.987666","0.829199","0.988188","0.991301","0 out of 10","0 out of 9","0 out of 10"
"420073","LEXINGTON MEDICAL CENTER","2720 SUNSET BLVD","West Columbia","SC","29169","LEXINGTON","0.987666","0.829199","1.002447","0.968918","2 out of 10","1 out of 9","2 out of 10"
"420002","PIEDMONT MEDICAL CENTER","222 S HERLONG AVE","Rock Hill","SC","29730","YORK","0.987666","0.829199","1.061310","1.037234","0 out of 10","1 out of 9","1 out of 10"
"450508","MEMORIAL HOSPITAL","1204 MOUND ST","Nacogdoches","TX","75961","NACOGDOCHES","0.987666","0.829199","1.157823","1.128030","0 out of 10","0 out of 9","0 out of 10"
"390093","CLARION HOSPITAL","ONE HOSPITAL DRIVE","Clarion","PA","16214","CLARION","0.987666","0.829199","1.017094","1.025596","0 out of 10","0 out of 9","0 out of 10"
"390217","EXCELA HEALTH FRICK HOSPITAL","508 SOUTH CHURCH STREET","Mount Pleasant","PA","15666","WESTMORELAND","0.987666","0.829199","1.018400","1.086965","0 out of 10","0 out of 9","0 out of 10"
"390027","TEMPLE UNIVERSITY HOSPITAL","3401 NORTH BROAD STREET","Philadelphia","PA","19140","PHILADELPHIA","0.987666","0.829199","1.003303","0.984711","1 out of 10","1 out of 9","1 out of 10"
"390046","YORK HOSPITAL","1001 SOUTH GEORGE STREET","York","PA","17403","YORK","0.987666","0.829199","1.040100","1.021124","0 out of 10","0 out of 9","0 out of 10"
"390119","MOSES TAYLOR HOSPITAL","700 QUINCY AVENUE","Scranton","PA","18510","LACKAWANNA","0.987666","0.829199","1.169406","1.159052","0 out of 10","0 out of 9","0 out of 10"
"390035","ST LUKE'S QUAKERTOWN HOSPITAL","1021 PARK AVENUE","Quakertown","PA","18951","BUCKS","0.987666","0.829199","0.959312","0.955525","2 out of 10","0 out of 9","2 out of 10"
"390050","ALLEGHENY GENERAL HOSPITAL","320 EAST NORTH AVENUE","Pittsburgh","PA","15212","ALLEGHENY","0.987666","0.829199","1.054162","1.051245","0 out of 10","0 out of 9","0 out of 10"
"390067","PINNACLE HEALTH HOSPITALS","409 SOUTH SECOND STREET","Harrisburg","PA","17105","DAUPHIN","0.987666","0.829199","1.043557","1.002684","0 out of 10","1 out of 9","1 out of 10"
"390044","READING HOSPITAL","SIXTH AVENUE AND SPRUCE ST","West Reading","PA","19611","BERKS","0.987666","0.829199","1.030672","1.007790","0 out of 10","1 out of 9","1 out of 10"
"390032","ALLEGHENY VALLEY HOSPITAL","1301 CARLISLE ST","Natrona","PA","15065","ALLEGHENY","0.987666","0.829199","1.151823","1.137131","0 out of 10","0 out of 9","0 out of 10"
"390031","SCHUYLKILL MEDICAL CENTER - EAST NORWEGIAN STREET","700 EAST NORWEGIAN STREET","Pottsville","PA","17901","SCHUYLKILL","0.987666","0.829199","1.068943","1.096897","0 out of 10","0 out of 9","0 out of 10"
"390201","POCONO MEDICAL CENTER","206 EAST BROWN STREET","East Stroudsburg","PA","18301","MONROE","0.987666","0.829199","1.037502","0.990864","0 out of 10","2 out of 9","2 out of 10"
"390162","EASTON HOSPITAL","250 SOUTH 21ST STREET","Easton","PA","18042","NORTHAMPTON","0.987666","0.829199","1.019674","1.002629","0 out of 10","0 out of 9","0 out of 10"
"390072","BERWICK HOSPITAL CENTER","701 EAST 16TH STREET","Berwick","PA","18603","COLUMBIA","0.987666","0.829199","1.015640","1.095805","0 out of 10","0 out of 9","0 out of 10"
"390066","GOOD SAMARITAN HOSPITAL","FOURTH AND WALNUT STREETS","Lebanon","PA","17042","LEBANON","0.987666","0.829199","1.011302","1.012168","0 out of 10","0 out of 9","0 out of 10"
"390052","CLEARFIELD HOSPITAL","809 TURNPIKE AVE","Clearfield","PA","16830","CLEARFIELD","0.987666","0.829199","1.058403","1.037755","0 out of 10","0 out of 9","0 out of 10"
"390156","MERCY FITZGERALD HOSPITAL","LANSDOWNE & BAILY RDS","Darby","PA","19023","DELAWARE","0.987666","0.829199","1.092765","1.026800","0 out of 10","2 out of 9","2 out of 10"
"390133","LEHIGH VALLEY HOSPITAL","1200 SOUTH CEDAR CREST BOULVARD","Allentown","PA","18105","LEHIGH","0.987666","0.829199","0.994358","1.006678","0 out of 10","0 out of 9","0 out of 10"
"380022","SAMARITAN ALBANY GENERAL HOSPITAL","1046 6TH AVENUE SW","Albany","OR","97321","LINN","0.987666","0.829199","0.833112","0.842043","9 out of 10","0 out of 9","9 out of 10"
"380047","ST CHARLES MEDICAL CENTER - BEND","2500 NE NEFF ROAD","Bend","OR","97701","DESCHUTES","0.987666","0.829199","0.925143","0.915469","5 out of 10","1 out of 9","5 out of 10"
"390125","WAYNE MEMORIAL HOSPITAL","601 PARK STREET","Honesdale","PA","18431","WAYNE","0.987666","0.829199","1.016665","1.008132","0 out of 10","0 out of 9","0 out of 10"
"390160","CANONSBURG GENERAL HOSPITAL","100 MEDICAL BOULEVARD","Canonsburg","PA","15317","WASHINGTON","0.987666","0.829199","0.989575","1.065709","0 out of 10","0 out of 9","0 out of 10"
"390139","MAIN LINE HOSPITAL BRYN MAWR CAMPUS","130 SOUTH BRYN MAWR AVE","Bryn Mawr","PA","19010","DELAWARE","0.987666","0.829199","1.026014","1.037533","0 out of 10","0 out of 9","0 out of 10"
"390203","DOYLESTOWN HOSPITAL","595 WEST STATE ST","Doylestown","PA","18901","BUCKS","0.987666","0.829199","0.986123","0.971475","1 out of 10","0 out of 9","1 out of 10"
"370032","ALLIANCEHEALTH DEACONESS","5501 NORTH PORTLAND AVENUE","Oklahoma City","OK","73112","OKLAHOMA","0.987666","0.829199","1.055898","1.084985","0 out of 10","0 out of 9","0 out of 10"
"370172","CHOCTAW NATION HEALTH SERVICES AUTHORITY","1 CHOCTAW WAY","Talihina","OK","74571","LATIMER","0.987666","0.829199","0.676413","0.741095","10 out of 10","0 out of 9","10 out of 10"
"370106","INTEGRIS SOUTHWEST MEDICAL CENTER","4401 SOUTH WESTERN AVENUE","Oklahoma City","OK","73109","OKLAHOMA","0.987666","0.829199","1.040861","1.044154","0 out of 10","0 out of 9","0 out of 10"
"370149","ST ANTHONY SHAWNEE HOSPITAL","1102 W MACARTHUR","Shawnee","OK","74801","POTTAWATOMIE","0.987666","0.829199","0.946674","0.960864","2 out of 10","0 out of 9","2 out of 10"
"370047","MERCY HOSPITAL ARDMORE, INC","1011 FOURTEENTH AVENUE, NORTHWEST","Ardmore","OK","73401","CARTER","0.987666","0.829199","0.949967","1.000760","0 out of 10","0 out of 9","0 out of 10"
"380027","MERCY MEDICAL CENTER","2700 NW STEWART PARKWAY","Roseburg","OR","97470","DOUGLAS","0.987666","0.829199","0.846198","0.864842","7 out of 10","0 out of 9","7 out of 10"
"380005","ASANTE ASHLAND COMMUNITY HOSPITAL","280 MAPLE STREET","Ashland","OR","97520","JACKSON","0.987666","0.829199","0.923697","0.878662","7 out of 10","4 out of 9","7 out of 10"
"380009","OHSU HOSPITAL AND CLINICS","3181 SW SAM JACKSON PARK ROAD","Portland","OR","97239","MULTNOMAH","0.987666","0.829199","0.957900","0.992783","0 out of 10","0 out of 9","0 out of 10"
"360245","GLENBEIGH HEALTH SOURCES","2863 STATE ROUTE 45","Rock Creek","OH","44084","ASHTABULA","0.987666","0.829199","0.820063","0.799463","10 out of 10","9 out of 9","10 out of 10"
"360107","BELLEVUE HOSPITAL","1400 WEST MAIN STREET","Bellevue","OH","44811","SANDUSKY","0.987666","0.829199","1.051926","1.044603","0 out of 10","0 out of 9","0 out of 10"
"370173","CLAREMORE INDIAN HOSPITAL","101 SOUTH MOORE AVE","Claremore","OK","74017","ROGERS","0.987666","0.829199","0.842748","0.752509","10 out of 10","9 out of 9","10 out of 10"
"370156","PAULS VALLEY HOSPITAL AUTHORITY","100 VALLEY DRIVE","Pauls Valley","OK","73075","GARVIN","0.987666","0.829199","0.842191","0.843425","9 out of 10","0 out of 9","9 out of 10"
"370006","ALLIANCEHEALTH PONCA CITY","1900 NORTH 14TH STREET","Ponca City","OK","74601","KAY","0.987666","0.829199","0.891857","0.957940","2 out of 10","0 out of 9","2 out of 10"
"360147","MARIETTA MEMORIAL HOSPITAL","401 MATTHEW STREET","Marietta","OH","45750","WASHINGTON","0.987666","0.829199","1.001199","0.989806","0 out of 10","0 out of 9","0 out of 10"
"360133","GRANDVIEW HOSPITAL & MEDICAL CENTER","405 GRAND AVENUE","Dayton","OH","45405","MONTGOMERY","0.987666","0.829199","1.006741","1.018353","0 out of 10","0 out of 9","0 out of 10"
"360070","MERCY MEDICAL CENTER","1320 MERCY DRIVE NW","Canton","OH","44708","STARK","0.987666","0.829199","1.071308","1.031481","0 out of 10","1 out of 9","1 out of 10"
"360065","FISHER-TITUS HOSPITAL","272 BENEDICT AVENUE","Norwalk","OH","44857","HURON","0.987666","0.829199","0.982902","0.922283","4 out of 10","3 out of 9","4 out of 10"
"360218","LICKING MEMORIAL HOSPITAL","1320 WEST MAIN STREET","Newark","OH","43055","LICKING","0.987666","0.829199","0.979452","0.969819","2 out of 10","0 out of 9","2 out of 10"
"360144","SOUTH POINTE HOSPITAL","20000 HARVARD ROAD","Warrensville Heights","OH","44122","CUYAHOGA","0.987666","0.829199","1.043052","1.021733","0 out of 10","0 out of 9","0 out of 10"
"360075","UHHS RICHMOND HEIGHTS HOSPITAL","27100 CHARDON ROAD","Bedford","OH","44146","CUYAHOGA","0.987666","0.829199","1.103942","1.011117","0 out of 10","3 out of 9","3 out of 10"
"350070","ESSENTIA HEALTH-FARGO","3000 32ND AVE SOUTH","Fargo","ND","58104","CASS","0.987666","0.829199","0.960639","0.948648","3 out of 10","0 out of 9","3 out of 10"
"360185","SALEM REGIONAL MEDICAL CENTER","1995 EAST STATE STREET","Salem","OH","44460","COLUMBIANA","0.987666","0.829199","1.058065","1.051276","0 out of 10","0 out of 9","0 out of 10"
"360096","EAST LIVERPOOL CITY HOSPITAL","425 WEST 5TH STREET","East Liverpool","OH","43920","COLUMBIANA","0.987666","0.829199","1.085045","1.028564","0 out of 10","2 out of 9","2 out of 10"
"360170","BERGER HOSPITAL","600 NORTH PICKAWAY STREET","Circleville","OH","43113","PICKAWAY","0.987666","0.829199","0.992189","1.016089","0 out of 10","0 out of 9","0 out of 10"
"360179","BETHESDA NORTH","10500 MONTGOMERY ROAD","Cincinnati","OH","45242","HAMILTON","0.987666","0.829199","1.015122","0.991564","0 out of 10","1 out of 9","1 out of 10"
"360145","UNIVERSITY HOSPITALS - ELYRIA MEDICAL CENTER","630 EAST RIVER STREET","Elyria","OH","44035","LORAIN","0.987666","0.829199","1.022285","1.013657","0 out of 10","0 out of 9","0 out of 10"
"360054","HOLZER MEDICAL CENTER","100 JACKSON PIKE","Gallipolis","OH","45631","GALLIA","0.987666","0.829199","1.081903","1.066903","0 out of 10","0 out of 9","0 out of 10"
"340037","CAROLINAS HEALTHCARE SYSTEM KINGS MOUNTAIN","706 W KING ST","Kings Mountain","NC","28086","CLEVELAND","0.987666","0.829199","0.956269","0.912692","5 out of 10","3 out of 9","5 out of 10"
"340123","RANDOLPH HOSPITAL","364 WHITE OAK STREET","Asheboro","NC","27203","RANDOLPH","0.987666","0.829199","0.964099","0.927957","4 out of 10","2 out of 9","4 out of 10"
"340090","JOHNSTON HEALTH","509 BRIGHT LEAF BLVD","Smithfield","NC","27577","JOHNSTON","0.987666","0.829199","0.948082","0.955991","2 out of 10","0 out of 9","2 out of 10"
"340107","VIDANT EDGECOMBE HOSPITAL","111 HOSPITAL DR","Tarboro","NC","27886","EDGECOMBE","0.987666","0.829199","0.957790","0.931038","4 out of 10","2 out of 9","4 out of 10"
"340041","CALDWELL MEMORIAL HOSPITAL","321 MULBERRY ST SW","Lenoir","NC","28645","CALDWELL","0.987666","0.829199","1.032985","1.046675","0 out of 10","0 out of 9","0 out of 10"
"340119","CAROLINAS HEALTHCARE SYSTEM STANLY","301 YADKIN ST","Albemarle","NC","28001","STANLY","0.987666","0.829199","0.913641","0.969259","2 out of 10","0 out of 9","2 out of 10"
"350006","TRINITY HOSPITALS","407 3RD ST SE","Minot","ND","58701","WARD","0.987666","0.829199","0.970958","0.981772","1 out of 10","0 out of 9","1 out of 10"
"330233","BROOKDALE HOSPITAL MEDICAL CENTER","1 BROOKDALE PLAZA","Brooklyn","NY","11212","KINGS","0.987666","0.829199","0.993860","1.021936","0 out of 10","0 out of 9","0 out of 10"
"330079","ADIRONDACK MEDICAL CENTER","2233 STATE ROUTE 86","Saranac Lake","NY","12983","FRANKLIN","0.987666","0.829199","0.905942","0.879519","7 out of 10","3 out of 9","7 out of 10"
"340151","HALIFAX REGIONAL MEDICAL CENTER INC","250 SMITH CHURCH RD","Roanoke Rapids","NC","27870","HALIFAX","0.987666","0.829199","0.959558","0.956722","2 out of 10","0 out of 9","2 out of 10"
"330285","STRONG MEMORIAL HOSPITAL","601 ELMWOOD AVE","Rochester","NY","14642","MONROE","0.987666","0.829199","0.909950","0.932760","4 out of 10","0 out of 9","4 out of 10"
"330304","WHITE PLAINS HOSPITAL CENTER","41 EAST POST R0AD","White Plains","NY","10601","WESTCHESTER","0.987666","0.829199","1.046302","1.055910","0 out of 10","0 out of 9","0 out of 10"
"330102","KENMORE MERCY HOSPITAL","2950 ELMWOOD AVENUE","Kenmore","NY","14217","ERIE","0.987666","0.829199","1.000320","0.990440","0 out of 10","0 out of 9","0 out of 10"
"330107","PECONIC BAY MEDICAL CENTER","1300 ROANOKE AVENUE","Riverhead","NY","11901","SUFFOLK","0.987666","0.829199","0.990827","1.027680","0 out of 10","0 out of 9","0 out of 10"
"330059","MONTEFIORE MEDICAL CENTER","111 EAST 210TH STREET","Bronx","NY","10467","BRONX","0.987666","0.829199","0.969591","0.961462","2 out of 10","0 out of 9","2 out of 10"
"330340","SOUTHAMPTON HOSPITAL","240 MEETING HOUSE LANE","Southampton","NY","11968","SUFFOLK","0.987666","0.829199","0.947604","0.928195","4 out of 10","1 out of 9","4 out of 10"
"330074","F F THOMPSON HOSPITAL","350 PARRISH STREET","Canandaigua","NY","14424","ONTARIO","0.987666","0.829199","0.871881","0.872702","7 out of 10","0 out of 9","7 out of 10"
"330332","ST JOSEPH HOSPITAL","4295 HEMPSTEAD TURNPIKE","Bethpage","NY","11714","NASSAU","0.987666","0.829199","1.108823","1.088688","0 out of 10","0 out of 9","0 out of 10"
"330268","COBLESKILL REGIONAL HOSPITAL","178 GRANDVIEW DRIVE","Cobleskill","NY","12043","SCHOHARIE","0.987666","0.829199","0.866414","0.866761","7 out of 10","0 out of 9","7 out of 10"
"330307","CAYUGA MEDICAL CENTER AT ITHACA","101 DATES DRIVE","Ithaca","NY","14850","TOMPKINS","0.987666","0.829199","0.888965","0.897730","6 out of 10","0 out of 9","6 out of 10"
"330393","UNIVERSITY HOSPITAL ( STONY BROOK )","HEALTH SCIENCES CENTER SUNY","Stony Brook","NY","11794","SUFFOLK","0.987666","0.829199","0.981879","0.983226","1 out of 10","0 out of 9","1 out of 10"
"330279","MERCY HOSPITAL OF BUFFALO","565 ABBOTT ROAD","Buffalo","NY","14220","ERIE","0.987666","0.829199","0.987594","0.997414","0 out of 10","0 out of 9","0 out of 10"
"330115","ONEIDA HEALTHCARE","321 GENESEE STREET","Oneida","NY","13421","MADISON","0.987666","0.829199","0.934874","0.899664","5 out of 10","3 out of 9","5 out of 10"
"330151","ST JAMES MERCY HOSPITAL","411 CANISTEO STREET","Hornell","NY","14843","STEUBEN","0.987666","0.829199","0.838492","0.836635","9 out of 10","1 out of 9","9 out of 10"
"330057","ST PETER'S HOSPITAL","315 SOUTH MANNING BOULEVARD","Albany","NY","12208","ALBANY","0.987666","0.829199","0.941738","0.940523","3 out of 10","0 out of 9","3 out of 10"
"310074","JERSEY CITY MEDICAL CENTER","355 GRAND STREET","Jersey City","NJ","07302","HUDSON","0.987666","0.829199","1.101343","1.077189","0 out of 10","0 out of 9","0 out of 10"
"310012","VALLEY HOSPITAL","223 N VAN DIEN AVENUE","Ridgewood","NJ","07450","BERGEN","0.987666","0.829199","1.095857","1.089668","0 out of 10","0 out of 9","0 out of 10"
"310005","HUNTERDON MEDICAL CENTER","2100 WESCOTT DRIVE","Flemington","NJ","08822","HUNTERDON","0.987666","0.829199","1.025857","1.033101","0 out of 10","0 out of 9","0 out of 10"
"320004","GERALD CHAMPION REGIONAL MEDICAL CENTER","2669 NORTH SCENIC DRIVE","Alamogordo","NM","88310","OTERO","0.987666","0.829199","0.860147","0.980368","1 out of 10","0 out of 9","1 out of 10"
"320016","GILA REGIONAL MEDICAL CENTER","1313 E 32ND ST","Silver City","NM","88061","GRANT","0.987666","0.829199","0.914339","0.920644","4 out of 10","0 out of 9","4 out of 10"
"330245","ST ELIZABETH MEDICAL CENTER","2209 GENESEE STREET","Utica","NY","13501","ONEIDA","0.987666","0.829199","0.987275","1.012190","0 out of 10","0 out of 9","0 out of 10"
"330184","MONTEFIORE NEW ROCHELLE HOSPITAL","16 GUION PLACE","New Rochelle","NY","10802","WESTCHESTER","0.987666","0.829199","1.024795","0.999850","0 out of 10","1 out of 9","1 out of 10"
