Provider_ID,Hospital_Name,Measure_ID,Gastrointestinal,Eye,Nervous System,Musculoskeletal,Skin,Genitourinary,Cardiovascular,Respiratory,Other,Footnote,Start_Date,End_Date
"040051","DREW MEMORIAL HOSPITAL","OP-26","336","339","0","2","0","41","0","0","13","","01/01/2015","12/31/2015"
"040055","SPARKS REGIONAL MEDICAL CENTER","OP-26","6947","38","292","462","3743","535","1891","171","51","","01/01/2015","12/31/2015"
"040062","MERCY HOSPITAL FORT SMITH","OP-26","2575","268","6420","1356","1554","668","3636","43","45","","01/01/2015","12/31/2015"
"040067","MAGNOLIA HOSPITAL","OP-26","202","450","19","122","14","0","10","0","4","","01/01/2015","12/31/2015"
"040069","GREAT RIVER MEDICAL CENTER","OP-26","117","0","662","71","506","75","10","0","3","","01/01/2015","12/31/2015"
"040071","JEFFERSON REGIONAL MEDICAL CENTER","OP-26","230","0","65","100","43","163","211","2","10","","01/01/2015","12/31/2015"
"040072","BAPTIST HEALTH MEDICAL CENTER-STUTTGART","OP-26","315","0","43","51","5","79","87","0","0","","01/01/2015","12/31/2015"
"040074","NORTH METRO MEDICAL CENTER","OP-26","8","0","0","2","0","3","0","0","0","","01/01/2015","12/31/2015"
"040076","BAPTIST HEALTH MEDICAL CENTER-HOT SPRINGS COUNTY","OP-26","268","0","5","2","4","32","150","0","0","","01/01/2015","12/31/2015"
"040078","NATIONAL PARK MEDICAL CENTER","OP-26","1086","0","161","397","141","157","1836","52","45","","01/01/2015","12/31/2015"
"040084","SALINE MEMORIAL HOSPITAL","OP-26","1790","9","292","490","1191","106","391","9","7","","01/01/2015","12/31/2015"
"040085","HELENA REGIONAL MEDICAL CENTER","OP-26","167","21","20","25","53","148","5","0","2","","01/01/2015","12/31/2015"
"040088","MEDICAL CENTER SOUTH ARKANSAS","OP-26","625","1","366","172","1314","298","152","48","22","","01/01/2015","12/31/2015"
"040114","BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK","OP-26","1332","680","819","813","876","1637","4041","441","564","","01/01/2015","12/31/2015"
