Provider Number,Hospital Name,Address,City,State,ZIP Code,County Name,MORT-30-AMI Achievement Threshold,MORT-30-AMI Benchmark,MORT-30-AMI Baseline Rate,MORT-30-AMI Performance Rate,MORT-30-AMI Achievement Points,MORT-30-AMI Improvement Points,MORT-30-AMI Measure Score,MORT-30-HF Achievement Threshold,MORT-30-HF Benchmark,MORT-30-HF Baseline Rate,MORT-30-HF Performance Rate,MORT-30-HF Achievement Points,MORT-30-HF Improvement Points,MORT-30-HF Measure Score,MORT-30-PN Achievement Threshold,MORT-30-PN Benchmark,MORT-30-PN Baseline Rate,MORT-30-PN Performance Rate,MORT-30-PN Achievement Points,MORT-30-PN Improvement Points,MORT-30-PN Measure Score
"010033","UNIVERSITY OF ALABAMA HOSPITAL","619 SOUTH 19TH STREET","Birmingham","AL","35249","JEFFERSON","0.851458","0.871669","0.843499","0.876392","10 out of 10","9 out of 9","10 out of 10","0.881794","0.903985","0.879806","0.902512","9 out of 10","9 out of 9","9 out of 10","0.882986","0.908124","0.874760","0.887609","2 out of 10","3 out of 9","3 out of 10"
"010034","COMMUNITY HOSPITAL INC","805 FRIENDSHIP ROAD","Tallassee","AL","36078","ELMORE","0.851458","0.871669","0.850216","0.866041","Not Available","Not Available","Not Available","0.881794","0.903985","0.885778","0.896830","7 out of 10","6 out of 9","7 out of 10","0.882986","0.908124","0.888529","0.909430","10 out of 10","9 out of 9","10 out of 10"
"010035","CULLMAN REGIONAL MEDICAL CENTER","1912 ALABAMA HIGHWAY 157","Cullman","AL","35058","CULLMAN","0.851458","0.871669","0.849555","0.848995","0 out of 10","0 out of 9","0 out of 10","0.881794","0.903985","0.869468","0.879688","0 out of 10","2 out of 9","2 out of 10","0.882986","0.908124","0.893285","0.883978","1 out of 10","0 out of 9","1 out of 10"
"010036","ANDALUSIA REGIONAL HOSPITAL","849 SOUTH THREE NOTCH STREET","Andalusia","AL","36420","COVINGTON","0.851458","0.871669","0.852158","0.856037","Not Available","Not Available","Not Available","0.881794","0.903985","0.873759","0.886379","2 out of 10","4 out of 9","4 out of 10","0.882986","0.908124","0.872278","0.895760","5 out of 10","6 out of 9","6 out of 10"
"010038","STRINGFELLOW MEMORIAL HOSPITAL","301 EAST 18TH ST","Anniston","AL","36207","CALHOUN","0.851458","0.871669","0.830460","0.867869","8 out of 10","9 out of 9","9 out of 10","0.881794","0.903985","0.886605","0.875811","0 out of 10","0 out of 9","0 out of 10","0.882986","0.908124","0.874824","0.897872","6 out of 10","6 out of 9","6 out of 10"
"010039","HUNTSVILLE HOSPITAL","101 SIVLEY RD","Huntsville","AL","35801","MADISON","0.851458","0.871669","0.843321","0.868894","8 out of 10","9 out of 9","9 out of 10","0.881794","0.903985","0.872869","0.885438","2 out of 10","4 out of 9","4 out of 10","0.882986","0.908124","0.866309","0.881271","0 out of 10","3 out of 9","3 out of 10"
"010040","GADSDEN REGIONAL MEDICAL CENTER","1007 GOODYEAR AVENUE","Gadsden","AL","35903","ETOWAH","0.851458","0.871669","0.827701","0.855440","2 out of 10","6 out of 9","6 out of 10","0.881794","0.903985","0.888693","0.865607","0 out of 10","0 out of 9","0 out of 10","0.882986","0.908124","0.834821","0.880507","0 out of 10","6 out of 9","6 out of 10"
"010044","MARION REGIONAL MEDICAL CENTER","1256 MILITARY STREET SOUTH","Hamilton","AL","35570","MARION","0.851458","0.871669","0.845538","0.860154","Not Available","Not Available","Not Available","0.881794","0.903985","0.879750","0.891622","Not Available","Not Available","Not Available","0.882986","0.908124","0.910548","0.906833","9 out of 10","0 out of 9","9 out of 10"
"010045","FAYETTE MEDICAL CENTER","1653 TEMPLE AVENUE NORTH","Fayette","AL","35555","FAYETTE","0.851458","0.871669","0.845540","0.863386","Not Available","Not Available","Not Available","0.881794","0.903985","0.887263","0.898049","7 out of 10","6 out of 9","7 out of 10","0.882986","0.908124","0.870081","0.891495","4 out of 10","5 out of 9","5 out of 10"
"010046","RIVERVIEW REGIONAL MEDICAL CENTER","600 SOUTH THIRD STREET","Gadsden","AL","35901","ETOWAH","0.851458","0.871669","0.846656","0.857993","3 out of 10","4 out of 9","4 out of 10","0.881794","0.903985","0.886907","0.884974","2 out of 10","0 out of 9","2 out of 10","0.882986","0.908124","0.868584","0.895043","5 out of 10","6 out of 9","6 out of 10"
"010047","GEORGIANA MEDICAL CENTER","515 N MIRANDA AVENUE","Georgiana","AL","36033","BUTLER","0.851458","0.871669","0.845999","0.868608","Not Available","Not Available","Not Available","0.881794","0.903985","0.862667","0.878932","Not Available","Not Available","Not Available","0.882986","0.908124","0.865747","0.892013","4 out of 10","6 out of 9","6 out of 10"
"010049","MEDICAL CENTER ENTERPRISE","400 N EDWARDS STREET","Enterprise","AL","36330","COFFEE","0.851458","0.871669","0.844358","0.858388","Not Available","Not Available","Not Available","0.881794","0.903985","0.861471","0.866935","0 out of 10","1 out of 9","1 out of 10","0.882986","0.908124","0.875395","0.873662","0 out of 10","0 out of 9","0 out of 10"
"010052","LAKE MARTIN COMMUNITY HOSPITAL","201 MARIARDEN ROAD","Dadeville","AL","36853","TALLAPOOSA","0.851458","0.871669","0.854665","0.861227","Not Available","Not Available","Not Available","0.881794","0.903985","0.889777","0.882962","Not Available","Not Available","Not Available","0.882986","0.908124","0.898816","0.906995","9 out of 10","8 out of 9","9 out of 10"
"010055","FLOWERS HOSPITAL","4370 WEST MAIN STREET","Dothan","AL","36302","HOUSTON","0.851458","0.871669","0.868906","0.845769","0 out of 10","0 out of 9","0 out of 10","0.881794","0.903985","0.865624","0.882999","1 out of 10","4 out of 9","4 out of 10","0.882986","0.908124","0.894064","0.894228","5 out of 10","0 out of 9","5 out of 10"
"010056","ST VINCENT'S BIRMINGHAM","810 ST VINCENT'S DRIVE","Birmingham","AL","35205","JEFFERSON","0.851458","0.871669","0.850435","0.854007","2 out of 10","1 out of 9","2 out of 10","0.881794","0.903985","0.874996","0.883961","1 out of 10","3 out of 9","3 out of 10","0.882986","0.908124","0.849431","0.908928","10 out of 10","9 out of 9","10 out of 10"
"010059","LAWRENCE MEDICAL CENTER","202 HOSPITAL STREET","Moulton","AL","35650","LAWRENCE","0.851458","0.871669","0.848053","0.857994","Not Available","Not Available","Not Available","0.881794","0.903985","0.888742","0.882722","1 out of 10","0 out of 9","1 out of 10","0.882986","0.908124","0.901701","0.902468","7 out of 10","1 out of 9","7 out of 10"
"010061","HIGHLANDS MEDICAL CENTER","380 WOODS COVE ROAD","Scottsboro","AL","35768","JACKSON","0.851458","0.871669","0.855962","0.863779","Not Available","Not Available","Not Available","0.881794","0.903985","0.876066","0.877516","0 out of 10","0 out of 9","0 out of 10","0.882986","0.908124","0.859891","0.882708","0 out of 10","4 out of 9","4 out of 10"
"010062","WIREGRASS MEDICAL CENTER","1200 W MAPLE AVENUE","Geneva","AL","36340","GENEVA","0.851458","0.871669","0.844940","0.863563","Not Available","Not Available","Not Available","0.881794","0.903985","0.883491","0.866822","0 out of 10","0 out of 9","0 out of 10","0.882986","0.908124","0.854351","0.879685","0 out of 10","4 out of 9","4 out of 10"
"010069","MEDICAL CENTER BARBOUR","820 W WASHINGTON ST","Eufaula","AL","36027","BARBOUR","0.851458","0.871669","0.849877","0.851218","Not Available","Not Available","Not Available","0.881794","0.903985","0.873784","0.886183","2 out of 10","4 out of 9","4 out of 10","0.882986","0.908124","0.859893","0.877735","0 out of 10","3 out of 9","3 out of 10"
"010073","CLAY COUNTY HOSPITAL","83825 HIGHWAY 9    P O BOX 1270","Ashland","AL","36251","CLAY","0.851458","0.871669","0.851277","0.860577","Not Available","Not Available","Not Available","0.881794","0.903985","0.863379","0.872128","0 out of 10","2 out of 9","2 out of 10","0.882986","0.908124","0.860900","0.869170","0 out of 10","1 out of 9","1 out of 10"
"010078","NORTHEAST ALABAMA REGIONAL MED CENTER","400 EAST 10TH STREET","Anniston","AL","36207","CALHOUN","0.851458","0.871669","0.840288","0.873488","10 out of 10","9 out of 9","10 out of 10","0.881794","0.903985","0.885663","0.866171","0 out of 10","0 out of 9","0 out of 10","0.882986","0.908124","0.860677","0.883212","1 out of 10","4 out of 9","4 out of 10"
"010079","ATHENS LIMESTONE HOSPITAL","700 WEST MARKET STREET","Athens","AL","35611","LIMESTONE","0.851458","0.871669","0.846458","0.860655","Not Available","Not Available","Not Available","0.881794","0.903985","0.884841","0.889180","3 out of 10","2 out of 9","3 out of 10","0.882986","0.908124","0.885488","0.866067","0 out of 10","0 out of 9","0 out of 10"
"010083","SOUTH BALDWIN REGIONAL MEDICAL CENTER","1613 NORTH MCKENZIE STREET","Foley","AL","36535","BALDWIN","0.851458","0.871669","0.838578","0.855760","2 out of 10","5 out of 9","5 out of 10","0.881794","0.903985","0.868687","0.886520","2 out of 10","5 out of 9","5 out of 10","0.882986","0.908124","0.885505","0.906549","9 out of 10","9 out of 9","9 out of 10"
"010085","DECATUR MORGAN HOSPITAL-DECATUR CAMPUS","1201 7TH STREET SE","Decatur","AL","35601","MORGAN","0.851458","0.871669","0.850482","0.857099","3 out of 10","3 out of 9","3 out of 10","0.881794","0.903985","0.867331","0.883341","1 out of 10","4 out of 9","4 out of 10","0.882986","0.908124","0.873198","0.868211","0 out of 10","0 out of 9","0 out of 10"
"010086","NORTHWEST MEDICAL CENTER","1530 U S HIGHWAY 43","Winfield","AL","35594","MARION","0.851458","0.871669","0.851948","0.861226","Not Available","Not Available","Not Available","0.881794","0.903985","0.874881","0.880017","0 out of 10","1 out of 9","1 out of 10","0.882986","0.908124","0.876855","0.893387","4 out of 10","5 out of 9","5 out of 10"
"010087","UNIVERSITY OF SOUTH ALABAMA MEDICAL CENTER","2451 FILLINGIM STREET","Mobile","AL","36617","MOBILE","0.851458","0.871669","0.853329","0.860771","Not Available","Not Available","Not Available","0.881794","0.903985","0.871645","0.880142","Not Available","Not Available","Not Available","0.882986","0.908124","0.884370","0.891834","Not Available","Not Available","Not Available"
"010089","WALKER BAPTIST MEDICAL CENTER","3400 HIGHWAY 78 EAST","Jasper","AL","35502","WALKER","0.851458","0.871669","0.857141","0.866337","7 out of 10","6 out of 9","7 out of 10","0.881794","0.903985","0.888333","0.871751","0 out of 10","0 out of 9","0 out of 10","0.882986","0.908124","0.897223","0.871738","0 out of 10","0 out of 9","0 out of 10"
"010090","PROVIDENCE HOSPITAL","6801 AIRPORT BOULEVARD","Mobile","AL","36608","MOBILE","0.851458","0.871669","0.836674","0.850462","0 out of 10","3 out of 9","3 out of 10","0.881794","0.903985","0.862007","0.839120","0 out of 10","0 out of 9","0 out of 10","0.882986","0.908124","0.891253","0.882452","0 out of 10","0 out of 9","0 out of 10"
"010091","GROVE HILL MEMORIAL HOSPITAL","295 JACKSON HWY S","Grove Hill","AL","36451","CLARKE","0.851458","0.871669","0.849351","0.866082","Not Available","Not Available","Not Available","0.881794","0.903985","0.886601","0.887546","3 out of 10","0 out of 9","3 out of 10","0.882986","0.908124","0.891915","0.885986","2 out of 10","0 out of 9","2 out of 10"
"010092","D C H REGIONAL MEDICAL CENTER","809 UNIVERSITY BOULEVARD EAST","Tuscaloosa","AL","35401","TUSCALOOSA","0.851458","0.871669","0.852731","0.838391","0 out of 10","0 out of 9","0 out of 10","0.881794","0.903985","0.869300","0.879751","0 out of 10","3 out of 9","3 out of 10","0.882986","0.908124","0.876012","0.875112","0 out of 10","0 out of 9","0 out of 10"
"010097","ELMORE COMMUNITY HOSPITAL","500 HOSPITAL DRIVE","Wetumpka","AL","36092","ELMORE","0.851458","0.871669","0.855604","0.862878","Not Available","Not Available","Not Available","0.881794","0.903985","0.890241","0.888928","Not Available","Not Available","Not Available","0.882986","0.908124","0.896276","0.889718","3 out of 10","0 out of 9","3 out of 10"
"010099","D W MCMILLAN MEMORIAL HOSPITAL","1301 BELLEVILLE AVENUE","Brewton","AL","36426","ESCAMBIA","0.851458","0.871669","0.846414","0.849029","Not Available","Not Available","Not Available","0.881794","0.903985","0.875492","0.880475","0 out of 10","1 out of 9","1 out of 10","0.882986","0.908124","0.867596","0.848362","0 out of 10","0 out of 9","0 out of 10"
"010100","THOMAS HOSPITAL","750 MORPHY AVENUE","Fairhope","AL","36532","BALDWIN","0.851458","0.871669","0.824606","0.857627","3 out of 10","7 out of 9","7 out of 10","0.881794","0.903985","0.877661","0.879273","0 out of 10","0 out of 9","0 out of 10","0.882986","0.908124","0.867729","0.876778","0 out of 10","2 out of 9","2 out of 10"
"010101","CITIZENS BAPTIST MEDICAL CENTER","604 STONE AVENUE","Talladega","AL","35160","TALLADEGA","0.851458","0.871669","0.838856","0.865686","Not Available","Not Available","Not Available","0.881794","0.903985","0.869554","0.875439","0 out of 10","1 out of 9","1 out of 10","0.882986","0.908124","0.896350","0.862087","0 out of 10","0 out of 9","0 out of 10"
"010103","BAPTIST MEDICAL CENTER-PRINCETON","701 PRINCETON AVENUE SOUTHWEST","Birmingham","AL","35211","JEFFERSON","0.851458","0.871669","0.839183","0.840548","0 out of 10","0 out of 9","0 out of 10","0.881794","0.903985","0.869062","0.889204","4 out of 10","5 out of 9","5 out of 10","0.882986","0.908124","0.858708","0.838541","0 out of 10","0 out of 9","0 out of 10"
"010104","GRANDVIEW MEDICAL CENTER","3690 GRANDVIEW PARKWAY","Birmingham","AL","35243","JEFFERSON","0.851458","0.871669","0.849130","0.852134","1 out of 10","1 out of 9","1 out of 10","0.881794","0.903985","0.865835","0.888894","3 out of 10","6 out of 9","6 out of 10","0.882986","0.908124","0.849542","0.878160","0 out of 10","4 out of 9","4 out of 10"
"010108","PRATTVILLE BAPTIST HOSPITAL","124 S MEMORIAL DR","Prattville","AL","36067","AUTAUGA","0.851458","0.871669","0.860475","0.863492","Not Available","Not Available","Not Available","0.881794","0.903985","0.887680","0.903884","9 out of 10","9 out of 9","9 out of 10","0.882986","0.908124","0.876479","0.875861","0 out of 10","0 out of 9","0 out of 10"
"010112","BRYAN W. WHITFIELD MEMORIAL HOSPITAL","105 HIGHWAY 80 EAST","Demopolis","AL","36732","MARENGO","0.851458","0.871669","0.837042","0.863007","Not Available","Not Available","Not Available","0.881794","0.903985","0.897125","0.875186","0 out of 10","0 out of 9","0 out of 10","0.882986","0.908124","0.900504","0.877359","0 out of 10","0 out of 9","0 out of 10"
"010113","MOBILE INFIRMARY MEDICAL CENTER","5 MOBILE INFIRMARY CIRCLE","Mobile","AL","36607","MOBILE","0.851458","0.871669","0.837578","0.849328","0 out of 10","3 out of 9","3 out of 10","0.881794","0.903985","0.886118","0.882520","1 out of 10","0 out of 9","1 out of 10","0.882986","0.908124","0.860627","0.881935","0 out of 10","4 out of 9","4 out of 10"
"010114","MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM","995 9TH AVENUE SOUTHWEST","Bessemer","AL","35022","JEFFERSON","0.851458","0.871669","0.866114","0.864935","7 out of 10","0 out of 9","7 out of 10","0.881794","0.903985","0.885252","0.890361","4 out of 10","2 out of 9","4 out of 10","0.882986","0.908124","0.884265","0.887660","2 out of 10","1 out of 9","2 out of 10"
"010118","VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS","1015 MEDICAL CENTER PARKWAY","Selma","AL","36701","DALLAS","0.851458","0.871669","0.859791","0.855268","2 out of 10","0 out of 9","2 out of 10","0.881794","0.903985","0.893470","0.892190","5 out of 10","0 out of 9","5 out of 10","0.882986","0.908124","0.878072","0.881665","0 out of 10","1 out of 9","1 out of 10"
"010120","MONROE COUNTY HOSPITAL","2016 SOUTH ALABAMA AVENUE, BOX 886","Monroeville","AL","36460","MONROE","0.851458","0.871669","0.851685","0.861649","Not Available","Not Available","Not Available","0.881794","0.903985","0.878810","0.883108","1 out of 10","1 out of 9","1 out of 10","0.882986","0.908124","0.853518","0.837045","0 out of 10","0 out of 9","0 out of 10"
"010125","LAKELAND COMMUNITY HOSPITAL","42024 HIGHWAY 195 E","Haleyville","AL","35565","WINSTON","0.851458","0.871669","0.851116","0.850761","Not Available","Not Available","Not Available","0.881794","0.903985","0.875855","0.878619","0 out of 10","0 out of 9","0 out of 10","0.882986","0.908124","0.878209","0.901513","7 out of 10","7 out of 9","7 out of 10"
"010126","TROY REGIONAL MEDICAL CENTER","1330 HIGHWAY 231 SOUTH","Troy","AL","36081","PIKE","0.851458","0.871669","0.846747","0.858038","Not Available","Not Available","Not Available","0.881794","0.903985","0.886577","0.876537","0 out of 10","0 out of 9","0 out of 10","0.882986","0.908124","0.874654","0.873730","0 out of 10","0 out of 9","0 out of 10"
"010129","NORTH BALDWIN INFIRMARY","1815 HAND AVENUE","Bay Minette","AL","36507","BALDWIN","0.851458","0.871669","0.852322","0.862393","Not Available","Not Available","Not Available","0.881794","0.903985","0.885012","0.868906","0 out of 10","Not Available","0 out of 10","0.882986","0.908124","0.864452","0.849148","0 out of 10","0 out of 9","0 out of 10"
"010130","ST VINCENT'S ST CLAIR","7063 VETERANS PARKWAY","Pell City","AL","35125","SAINT CLAIR","0.851458","0.871669","0.841294","0.864342","Not Available","Not Available","Not Available","0.881794","0.903985","0.882908","0.885973","2 out of 10","1 out of 9","2 out of 10","0.882986","0.908124","0.878314","0.895829","5 out of 10","5 out of 9","5 out of 10"
"010131","CRESTWOOD MEDICAL CENTER","ONE HOSPITAL DR SE","Huntsville","AL","35801","MADISON","0.851458","0.871669","0.858001","0.867794","8 out of 10","7 out of 9","8 out of 10","0.881794","0.903985","0.867205","0.867608","0 out of 10","0 out of 9","0 out of 10","0.882986","0.908124","0.879650","0.865677","0 out of 10","0 out of 9","0 out of 10"
"010139","BROOKWOOD MEDICAL CENTER","2010 BROOKWOOD MEDICAL CENTER DRIVE","Birmingham","AL","35209","JEFFERSON","0.851458","0.871669","0.846428","0.881513","10 out of 10","9 out of 9","10 out of 10","0.881794","0.903985","0.876665","0.862288","0 out of 10","0 out of 9","0 out of 10","0.882986","0.908124","0.869586","0.879438","0 out of 10","2 out of 9","2 out of 10"
"010144","SPRINGHILL MEMORIAL HOSPITAL","3719 DAUPHIN STREET","Mobile","AL","36608","MOBILE","0.851458","0.871669","0.853194","0.861653","5 out of 10","4 out of 9","5 out of 10","0.881794","0.903985","0.874859","0.894090","5 out of 10","6 out of 9","6 out of 10","0.882986","0.908124","0.860925","0.893512","4 out of 10","6 out of 9","6 out of 10"
"010146","RMC JACKSONVILLE","1701 SOUTH PELHAM ROAD","Jacksonville","AL","36265","CALHOUN","0.851458","0.871669","0.845751","0.856797","Not Available","Not Available","Not Available","0.881794","0.903985","0.857772","0.880500","Not Available","Not Available","Not Available","0.882986","0.908124","0.879840","0.886558","2 out of 10","2 out of 9","2 out of 10"
"010148","EVERGREEN MEDICAL CENTER","101 CRESTVIEW AVENUE","Evergreen","AL","36401","CONECUH","0.851458","0.871669","0.852632","0.868674","Not Available","Not Available","Not Available","0.881794","0.903985","0.888477","0.869882","0 out of 10","0 out of 9","0 out of 10","0.882986","0.908124","0.887065","0.894255","5 out of 10","3 out of 9","5 out of 10"
"010149","BAPTIST MEDICAL CENTER EAST","400 TAYLOR ROAD","Montgomery","AL","36117","MONTGOMERY","0.851458","0.871669","0.869644","0.873775","10 out of 10","9 out of 9","10 out of 10","0.881794","0.903985","0.884803","0.884256","1 out of 10","0 out of 9","1 out of 10","0.882986","0.908124","0.894946","0.899282","6 out of 10","3 out of 9","6 out of 10"
"010150","L V STABLER MEMORIAL HOSPITAL","29 L V STABLER DRIVE","Greenville","AL","36037","BUTLER","0.851458","0.871669","0.851323","0.858517","Not Available","Not Available","Not Available","0.881794","0.903985","0.888889","0.882425","1 out of 10","0 out of 9","1 out of 10","0.882986","0.908124","0.872368","0.891628","4 out of 10","5 out of 9","5 out of 10"
"010157","SHOALS HOSPITAL","201 WEST AVALON AVENUE","Muscle Shoals","AL","35661","COLBERT","0.851458","0.871669","0.851760","0.858410","Not Available","Not Available","Not Available","0.881794","0.903985","0.873217","0.881309","0 out of 10","2 out of 9","2 out of 10","0.882986","0.908124","0.888993","0.894913","5 out of 10","3 out of 9","5 out of 10"
"010158","RUSSELLVILLE HOSPITAL","15155 HIGHWAY 43","Russellville","AL","35653","FRANKLIN","0.851458","0.871669","0.857779","0.859902","Not Available","Not Available","Not Available","0.881794","0.903985","0.872934","0.878596","0 out of 10","1 out of 9","1 out of 10","0.882986","0.908124","0.846442","0.869820","0 out of 10","3 out of 9","3 out of 10"
"010164","COOSA VALLEY MEDICAL CENTER","315 W HICKORY ST","Sylacauga","AL","35150","TALLADEGA","0.851458","0.871669","0.850153","0.863159","6 out of 10","6 out of 9","6 out of 10","0.881794","0.903985","0.870781","0.870357","0 out of 10","0 out of 9","0 out of 10","0.882986","0.908124","0.884986","0.892866","4 out of 10","3 out of 9","4 out of 10"
"010168","JACK HUGHSTON MEMORIAL HOSPITAL","4401 RIVER CHASE DRIVE","Phenix City","AL","36867","RUSSELL","0.851458","0.871669","0.845171","0.863000","Not Available","Not Available","Not Available","0.881794","0.903985","0.884709","0.877998","Not Available","Not Available","Not Available","0.882986","0.908124","0.871965","0.887569","Not Available","Not Available","Not Available"
"010169","ATMORE COMMUNITY HOSPITAL","401 MEDICAL PARK DRIVE","Atmore","AL","36502","ESCAMBIA","0.851458","0.871669","0.854623","0.861804","Not Available","Not Available","Not Available","0.881794","0.903985","0.885381","0.891350","4 out of 10","3 out of 9","4 out of 10","0.882986","0.908124","0.880271","0.902098","7 out of 10","7 out of 9","7 out of 10"
"020001","PROVIDENCE ALASKA MEDICAL CENTER","3200 PROVIDENCE DRIVE","Anchorage","AK","99508","ANCHORAGE","0.851458","0.871669","0.859791","0.858686","4 out of 10","0 out of 9","4 out of 10","0.881794","0.903985","0.845848","0.857705","0 out of 10","2 out of 9","2 out of 10","0.882986","0.908124","0.880234","0.876765","0 out of 10","0 out of 9","0 out of 10"
"020006","MAT-SU REGIONAL MEDICAL CENTER","2500 SOUTH WOODWORTH LOOP","Palmer","AK","99645","MATANUSKA-SUSITNA","0.851458","0.871669","0.836169","0.859258","4 out of 10","6 out of 9","6 out of 10","0.881794","0.903985","0.862056","0.868799","0 out of 10","1 out of 9","1 out of 10","0.882986","0.908124","0.896500","0.898611","6 out of 10","1 out of 9","6 out of 10"
"020008","BARTLETT REGIONAL HOSPITAL","3260 HOSPITAL DR","Juneau","AK","99801","JUNEAU","0.851458","0.871669","0.855556","0.865520","Not Available","Not Available","Not Available","0.881794","0.903985","0.871637","0.877353","0 out of 10","1 out of 9","1 out of 10","0.882986","0.908124","0.887775","0.837228","0 out of 10","0 out of 9","0 out of 10"
