"State","Measure Name","Measure ID","Number of Hospitals Worse","Number of Hospitals Same","Number of Hospitals Better","Number of Hospitals Too Few","Footnote","Measure Start Date","Measure End Date"
"PR","Serious complications","PSI_90_SAFETY","Not Available","Not Available","Not Available","Not Available","5 - Results are not available for this reporting period.","07/01/2013","06/30/2015"
"RI","Serious complications","PSI_90_SAFETY","1","10","0","Not Available","","07/01/2013","06/30/2015"
"SC","Serious complications","PSI_90_SAFETY","4","48","4","Not Available","","07/01/2013","06/30/2015"
"SD","Serious complications","PSI_90_SAFETY","0","23","0","Not Available","","07/01/2013","06/30/2015"
"TN","Serious complications","PSI_90_SAFETY","2","93","4","Not Available","","07/01/2013","06/30/2015"
"TX","Serious complications","PSI_90_SAFETY","8","306","14","Not Available","","07/01/2013","06/30/2015"
"UT","Serious complications","PSI_90_SAFETY","4","30","0","Not Available","","07/01/2013","06/30/2015"
"VA","Serious complications","PSI_90_SAFETY","4","69","5","Not Available","","07/01/2013","06/30/2015"
"VI","Serious complications","PSI_90_SAFETY","Not Available","Not Available","Not Available","Not Available","5 - Results are not available for this reporting period.","07/01/2013","06/30/2015"
"VT","Serious complications","PSI_90_SAFETY","0","6","0","Not Available","","07/01/2013","06/30/2015"
"WA","Serious complications","PSI_90_SAFETY","3","45","1","Not Available","","07/01/2013","06/30/2015"
"WI","Serious complications","PSI_90_SAFETY","4","60","1","Not Available","","07/01/2013","06/30/2015"
"WV","Serious complications","PSI_90_SAFETY","0","29","0","Not Available","","07/01/2013","06/30/2015"
"WY","Serious complications","PSI_90_SAFETY","0","11","0","Not Available","","07/01/2013","06/30/2015"
"AK","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","0","9","0","0","","07/01/2013","06/30/2015"
"AL","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","1","85","0","0","","07/01/2013","06/30/2015"
"AR","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","1","44","0","0","","07/01/2013","06/30/2015"
"AS","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","Not Available","Not Available","Not Available","Not Available","5 - Results are not available for this reporting period.","07/01/2013","06/30/2015"
"AZ","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","2","59","0","1","","07/01/2013","06/30/2015"
"CA","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","2","299","0","1","","07/01/2013","06/30/2015"
"CO","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","0","46","0","1","","07/01/2013","06/30/2015"
"CT","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","1","29","0","1","","07/01/2013","06/30/2015"
"DC","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","0","7","0","0","","07/01/2013","06/30/2015"
"DE","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","0","6","0","0","","07/01/2013","06/30/2015"
"FL","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","1","170","0","2","","07/01/2013","06/30/2015"
"GA","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","2","102","0","1","","07/01/2013","06/30/2015"
"GU","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","Not Available","Not Available","Not Available","Not Available","5 - Results are not available for this reporting period.","07/01/2013","06/30/2015"
"HI","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","0","12","0","0","","07/01/2013","06/30/2015"
"IA","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","0","34","0","1","","07/01/2013","06/30/2015"
"ID","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","0","13","0","1","","07/01/2013","06/30/2015"
"IL","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","0","126","1","0","","07/01/2013","06/30/2015"
"IN","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","0","91","0","0","","07/01/2013","06/30/2015"
"KS","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","1","51","0","1","","07/01/2013","06/30/2015"
"KY","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","0","65","0","0","","07/01/2013","06/30/2015"
"LA","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","1","95","0","3","","07/01/2013","06/30/2015"
"MA","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","0","60","1","0","","07/01/2013","06/30/2015"
"MD","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","Not Available","Not Available","Not Available","Not Available","4 - Data suppressed by CMS for one or more quarters.","07/01/2013","06/30/2015"
"ME","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","1","19","0","0","","07/01/2013","06/30/2015"
"MI","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","0","96","0","0","","07/01/2013","06/30/2015"
"MN","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","0","51","0","0","","07/01/2013","06/30/2015"
"MO","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","1","76","0","0","","07/01/2013","06/30/2015"
"MP","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","Not Available","Not Available","Not Available","Not Available","5 - Results are not available for this reporting period.","07/01/2013","06/30/2015"
"MS","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","0","62","0","3","","07/01/2013","06/30/2015"
"MT","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","0","13","0","0","","07/01/2013","06/30/2015"
"NC","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","2","84","0","1","","07/01/2013","06/30/2015"
"ND","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","1","6","0","1","","07/01/2013","06/30/2015"
"NE","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","2","24","0","1","","07/01/2013","06/30/2015"
"NH","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","0","13","0","0","","07/01/2013","06/30/2015"
"NJ","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","0","63","1","0","","07/01/2013","06/30/2015"
"NM","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","0","31","0","1","","07/01/2013","06/30/2015"
"NV","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","1","22","0","1","","07/01/2013","06/30/2015"
"NY","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","1","153","0","1","","07/01/2013","06/30/2015"
"OH","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","1","130","0","1","","07/01/2013","06/30/2015"
"OK","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","1","88","0","2","","07/01/2013","06/30/2015"
"OR","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","0","34","0","0","","07/01/2013","06/30/2015"
"PA","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","0","152","0","1","","07/01/2013","06/30/2015"
"PR","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","Not Available","Not Available","Not Available","Not Available","5 - Results are not available for this reporting period.","07/01/2013","06/30/2015"
"RI","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","0","11","0","0","","07/01/2013","06/30/2015"
"SC","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","0","56","0","0","","07/01/2013","06/30/2015"
"SD","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","0","21","0","2","","07/01/2013","06/30/2015"
"TN","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","0","99","0","0","","07/01/2013","06/30/2015"
"TX","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","2","317","0","9","","07/01/2013","06/30/2015"
"UT","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","0","32","0","2","","07/01/2013","06/30/2015"
"VA","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","0","75","0","3","","07/01/2013","06/30/2015"
"VI","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","Not Available","Not Available","Not Available","Not Available","5 - Results are not available for this reporting period.","07/01/2013","06/30/2015"
"VT","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","0","6","0","0","","07/01/2013","06/30/2015"
"WA","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","1","47","0","0","","07/01/2013","06/30/2015"
"WI","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","2","63","0","0","","07/01/2013","06/30/2015"
"WV","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","0","29","0","0","","07/01/2013","06/30/2015"
"WY","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","0","11","0","0","","07/01/2013","06/30/2015"
"AK","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","0","7","0","1","","07/01/2013","06/30/2015"
"AL","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","1","58","3","14","","07/01/2013","06/30/2015"
"AR","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","0","37","6","1","","07/01/2013","06/30/2015"
"AS","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","Not Available","Not Available","Not Available","Not Available","5 - Results are not available for this reporting period.","07/01/2013","06/30/2015"
"AZ","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","1","51","6","2","","07/01/2013","06/30/2015"
"CA","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","8","271","11","3","","07/01/2013","06/30/2015"
"CO","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","1","43","1","0","","07/01/2013","06/30/2015"
"CT","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","7","21","0","0","","07/01/2013","06/30/2015"
"DC","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","4","3","0","0","","07/01/2013","06/30/2015"
"DE","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","1","5","0","0","","07/01/2013","06/30/2015"
"FL","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","8","149","8","3","","07/01/2013","06/30/2015"
"GA","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","7","86","1","6","","07/01/2013","06/30/2015"
"GU","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","Not Available","Not Available","Not Available","Not Available","5 - Results are not available for this reporting period.","07/01/2013","06/30/2015"
"HI","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","1","11","0","0","","07/01/2013","06/30/2015"
"IA","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","0","31","3","1","","07/01/2013","06/30/2015"
"ID","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","0","12","1","1","","07/01/2013","06/30/2015"
"IL","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","15","107","1","3","","07/01/2013","06/30/2015"
"IN","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","1","77","9","1","","07/01/2013","06/30/2015"
"KS","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","1","43","4","4","","07/01/2013","06/30/2015"
"KY","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","1","56","5","2","","07/01/2013","06/30/2015"
"LA","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","3","76","2","8","","07/01/2013","06/30/2015"
"MA","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","4","52","2","1","","07/01/2013","06/30/2015"
"MD","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","Not Available","Not Available","Not Available","Not Available","4 - Data suppressed by CMS for one or more quarters.","07/01/2013","06/30/2015"
"ME","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","0","20","0","0","","07/01/2013","06/30/2015"
"MI","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","14","73","6","0","","07/01/2013","06/30/2015"
"MN","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","0","47","2","1","","07/01/2013","06/30/2015"
"MO","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","3","63","4","1","","07/01/2013","06/30/2015"
"MP","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","Not Available","Not Available","Not Available","Not Available","5 - Results are not available for this reporting period.","07/01/2013","06/30/2015"
"MS","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","2","39","1","9","","07/01/2013","06/30/2015"
"MT","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","0","11","1","1","","07/01/2013","06/30/2015"
"NC","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","2","80","1","1","","07/01/2013","06/30/2015"
"ND","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","0","5","1","0","","07/01/2013","06/30/2015"
"NE","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","1","21","2","1","","07/01/2013","06/30/2015"
"NH","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","1","11","1","0","","07/01/2013","06/30/2015"
"NJ","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","14","49","1","0","","07/01/2013","06/30/2015"
"NM","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","0","25","0","2","","07/01/2013","06/30/2015"
"NV","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","4","16","1","0","","07/01/2013","06/30/2015"
"NY","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","20","126","0","3","","07/01/2013","06/30/2015"
"OH","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","9","116","3","1","","07/01/2013","06/30/2015"
"OK","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","2","58","4","20","","07/01/2013","06/30/2015"
"OR","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","3","28","2","1","","07/01/2013","06/30/2015"
"PA","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","12","136","0","2","","07/01/2013","06/30/2015"
"PR","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","Not Available","Not Available","Not Available","Not Available","5 - Results are not available for this reporting period.","07/01/2013","06/30/2015"
"RI","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","0","11","0","0","","07/01/2013","06/30/2015"
"SC","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","1","50","2","2","","07/01/2013","06/30/2015"
"SD","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","0","18","0","2","","07/01/2013","06/30/2015"
"TN","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","3","72","4","8","","07/01/2013","06/30/2015"
"TX","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","9","244","13","27","","07/01/2013","06/30/2015"
"UT","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","1","28","1","2","","07/01/2013","06/30/2015"
"VA","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","6","59","5","1","","07/01/2013","06/30/2015"
"VI","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","Not Available","Not Available","Not Available","Not Available","5 - Results are not available for this reporting period.","07/01/2013","06/30/2015"
"VT","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","0","6","0","0","","07/01/2013","06/30/2015"
"WA","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","1","43","3","1","","07/01/2013","06/30/2015"
"WI","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","1","63","1","0","","07/01/2013","06/30/2015"
"WV","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","1","26","0","2","","07/01/2013","06/30/2015"
"WY","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","0","11","0","0","","07/01/2013","06/30/2015"
"AK","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","7","0","1","","07/01/2013","06/30/2015"
"AL","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","50","0","17","","07/01/2013","06/30/2015"
"AR","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","30","0","12","","07/01/2013","06/30/2015"
"AS","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","Not Available","Not Available","Not Available","Not Available","5 - Results are not available for this reporting period.","07/01/2013","06/30/2015"
"AZ","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","49","0","6","","07/01/2013","06/30/2015"
"CA","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","234","0","52","","07/01/2013","06/30/2015"
"CO","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","39","0","6","","07/01/2013","06/30/2015"
