Hospital Name,Provider Number,State,Measure Name,Number of Discharges,Footnote,Excess Readmission Ratio,Predicted Readmission Rate,Expected Readmission Rate,Number of Readmissions,Start Date,End Date
"MIZELL MEMORIAL HOSPITAL","010007","AL","READM-30-HIP-KNEE-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"MIZELL MEMORIAL HOSPITAL","010007","AL","READM-30-PN-HRRP","200"," ","1.0116","14.2141","14.0510","29","01-JUL-12","30-JUN-15"
"CRENSHAW COMMUNITY HOSPITAL","010008","AL","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"CRENSHAW COMMUNITY HOSPITAL","010008","AL","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"CRENSHAW COMMUNITY HOSPITAL","010008","AL","READM-30-COPD-HRRP","Not Available"," ","0.9620","15.7724","16.3947","Too Few to Report","01-JUL-12","30-JUN-15"
"CRENSHAW COMMUNITY HOSPITAL","010008","AL","READM-30-HF-HRRP","Not Available"," ","1.0559","19.2152","18.1984","Too Few to Report","01-JUL-12","30-JUN-15"
"CRENSHAW COMMUNITY HOSPITAL","010008","AL","READM-30-HIP-KNEE-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"CRENSHAW COMMUNITY HOSPITAL","010008","AL","READM-30-PN-HRRP","Not Available"," ","0.9349","12.7210","13.6069","Too Few to Report","01-JUL-12","30-JUN-15"
"ST VINCENT'S EAST","010011","AL","READM-30-AMI-HRRP","277"," ","1.0611","16.0942","15.1673","48","01-JUL-12","30-JUN-15"
"ST VINCENT'S EAST","010011","AL","READM-30-CABG-HRRP","128"," ","1.0542","14.1747","13.4464","20","01-JUL-12","30-JUN-15"
"ST VINCENT'S EAST","010011","AL","READM-30-COPD-HRRP","280"," ","0.9713","18.5420","19.0898","50","01-JUL-12","30-JUN-15"
"ST VINCENT'S EAST","010011","AL","READM-30-HF-HRRP","386"," ","0.8962","19.3386","21.5774","68","01-JUL-12","30-JUN-15"
"ST VINCENT'S EAST","010011","AL","READM-30-HIP-KNEE-HRRP","281"," ","1.1338","5.1758","4.5650","17","01-JUL-12","30-JUN-15"
"ST VINCENT'S EAST","010011","AL","READM-30-PN-HRRP","617"," ","0.9793","16.0565","16.3951","98","01-JUL-12","30-JUN-15"
"DEKALB REGIONAL MEDICAL CENTER","010012","AL","READM-30-AMI-HRRP","130"," ","0.9497","14.5701","15.3426","16","01-JUL-12","30-JUN-15"
"DEKALB REGIONAL MEDICAL CENTER","010012","AL","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"DEKALB REGIONAL MEDICAL CENTER","010012","AL","READM-30-COPD-HRRP","212"," ","0.9634","15.7316","16.3285","31","01-JUL-12","30-JUN-15"
"DEKALB REGIONAL MEDICAL CENTER","010012","AL","READM-30-HF-HRRP","183"," ","1.0718","20.6785","19.2942","42","01-JUL-12","30-JUN-15"
"DEKALB REGIONAL MEDICAL CENTER","010012","AL","READM-30-HIP-KNEE-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"DEKALB REGIONAL MEDICAL CENTER","010012","AL","READM-30-PN-HRRP","301"," ","1.1339","17.1411","15.1175","58","01-JUL-12","30-JUN-15"
"SHELBY BAPTIST MEDICAL CENTER","010016","AL","READM-30-AMI-HRRP","210"," ","1.0659","15.4033","14.4505","36","01-JUL-12","30-JUN-15"
"SHELBY BAPTIST MEDICAL CENTER","010016","AL","READM-30-CABG-HRRP","56"," ","1.1098","14.9106","13.4355","12","01-JUL-12","30-JUN-15"
"SHELBY BAPTIST MEDICAL CENTER","010016","AL","READM-30-COPD-HRRP","295"," ","0.8979","16.9503","18.8780","43","01-JUL-12","30-JUN-15"
"SHELBY BAPTIST MEDICAL CENTER","010016","AL","READM-30-HF-HRRP","450"," ","0.9841","21.9988","22.3537","98","01-JUL-12","30-JUN-15"
"SHELBY BAPTIST MEDICAL CENTER","010016","AL","READM-30-HIP-KNEE-HRRP","188"," ","1.0941","4.9173","4.4943","11","01-JUL-12","30-JUN-15"
"SHELBY BAPTIST MEDICAL CENTER","010016","AL","READM-30-PN-HRRP","465"," ","0.9968","17.0247","17.0789","79","01-JUL-12","30-JUN-15"
"CALLAHAN EYE HOSPITAL","010018","AL","READM-30-AMI-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"CALLAHAN EYE HOSPITAL","010018","AL","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"CALLAHAN EYE HOSPITAL","010018","AL","READM-30-COPD-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"CALLAHAN EYE HOSPITAL","010018","AL","READM-30-HF-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"CALLAHAN EYE HOSPITAL","010018","AL","READM-30-HIP-KNEE-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"CALLAHAN EYE HOSPITAL","010018","AL","READM-30-PN-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"HELEN KELLER MEMORIAL HOSPITAL","010019","AL","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"HELEN KELLER MEMORIAL HOSPITAL","010019","AL","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"HELEN KELLER MEMORIAL HOSPITAL","010019","AL","READM-30-COPD-HRRP","492"," ","1.1553","20.0374","17.3440","108","01-JUL-12","30-JUN-15"
"HELEN KELLER MEMORIAL HOSPITAL","010019","AL","READM-30-HF-HRRP","395"," ","1.0225","21.1765","20.7111","85","01-JUL-12","30-JUN-15"
"HELEN KELLER MEMORIAL HOSPITAL","010019","AL","READM-30-HIP-KNEE-HRRP","386"," ","0.8969","3.6518","4.0716","12","01-JUL-12","30-JUN-15"
"HELEN KELLER MEMORIAL HOSPITAL","010019","AL","READM-30-PN-HRRP","512"," ","1.0674","16.7346","15.6776","89","01-JUL-12","30-JUN-15"
"DALE MEDICAL CENTER","010021","AL","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"DALE MEDICAL CENTER","010021","AL","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"DALE MEDICAL CENTER","010021","AL","READM-30-COPD-HRRP","137"," ","0.9984","19.7874","19.8197","27","01-JUL-12","30-JUN-15"
"DALE MEDICAL CENTER","010021","AL","READM-30-HF-HRRP","101"," ","0.9686","20.7402","21.4124","19","01-JUL-12","30-JUN-15"
"DALE MEDICAL CENTER","010021","AL","READM-30-HIP-KNEE-HRRP","Not Available"," ","1.1144","5.8521","5.2515","Too Few to Report","01-JUL-12","30-JUN-15"
"DALE MEDICAL CENTER","010021","AL","READM-30-PN-HRRP","170"," ","0.9591","15.9605","16.6408","25","01-JUL-12","30-JUN-15"
"CHEROKEE MEDICAL CENTER","010022","AL","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"CHEROKEE MEDICAL CENTER","010022","AL","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"CHEROKEE MEDICAL CENTER","010022","AL","READM-30-COPD-HRRP","85"," ","0.9607","17.1491","17.8512","12","01-JUL-12","30-JUN-15"
"CHEROKEE MEDICAL CENTER","010022","AL","READM-30-HF-HRRP","Not Available"," ","0.9699","21.2696","21.9288","Too Few to Report","01-JUL-12","30-JUN-15"
"CHEROKEE MEDICAL CENTER","010022","AL","READM-30-HIP-KNEE-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"CHEROKEE MEDICAL CENTER","010022","AL","READM-30-PN-HRRP","121"," ","0.8993","14.3374","15.9428","12","01-JUL-12","30-JUN-15"
"BAPTIST MEDICAL CENTER SOUTH","010023","AL","READM-30-AMI-HRRP","382"," ","1.0884","17.5449","16.1203","72","01-JUL-12","30-JUN-15"
"BAPTIST MEDICAL CENTER SOUTH","010023","AL","READM-30-CABG-HRRP","159"," ","1.0936","14.3778","13.1474","26","01-JUL-12","30-JUN-15"
"BAPTIST MEDICAL CENTER SOUTH","010023","AL","READM-30-COPD-HRRP","264"," ","0.9784","19.4923","19.9234","50","01-JUL-12","30-JUN-15"
"BAPTIST MEDICAL CENTER SOUTH","010023","AL","READM-30-HF-HRRP","556"," ","1.0667","23.5551","22.0820","135","01-JUL-12","30-JUN-15"
"BAPTIST MEDICAL CENTER SOUTH","010023","AL","READM-30-HIP-KNEE-HRRP","490"," ","1.0368","4.5506","4.3891","23","01-JUL-12","30-JUN-15"
"BAPTIST MEDICAL CENTER SOUTH","010023","AL","READM-30-PN-HRRP","269"," ","1.0846","18.8647","17.3926","55","01-JUL-12","30-JUN-15"
"JACKSON HOSPITAL & CLINIC INC","010024","AL","READM-30-AMI-HRRP","280"," ","1.0767","18.0898","16.8014","55","01-JUL-12","30-JUN-15"
"JACKSON HOSPITAL & CLINIC INC","010024","AL","READM-30-CABG-HRRP","201"," ","0.9801","13.7835","14.0628","27","01-JUL-12","30-JUN-15"
"JACKSON HOSPITAL & CLINIC INC","010024","AL","READM-30-COPD-HRRP","429"," ","0.8619","16.7124","19.3902","62","01-JUL-12","30-JUN-15"
"JACKSON HOSPITAL & CLINIC INC","010024","AL","READM-30-HF-HRRP","586"," ","0.8653","18.7222","21.6365","101","01-JUL-12","30-JUN-15"
"JACKSON HOSPITAL & CLINIC INC","010024","AL","READM-30-HIP-KNEE-HRRP","367"," ","1.0829","4.4844","4.1409","18","01-JUL-12","30-JUN-15"
"JACKSON HOSPITAL & CLINIC INC","010024","AL","READM-30-PN-HRRP","596"," ","0.9887","16.8771","17.0703","100","01-JUL-12","30-JUN-15"
"EAST ALABAMA MEDICAL CENTER","010029","AL","READM-30-AMI-HRRP","277"," ","1.0013","14.4144","14.3961","40","01-JUL-12","30-JUN-15"
"EAST ALABAMA MEDICAL CENTER","010029","AL","READM-30-CABG-HRRP","152"," ","0.8755","11.5447","13.1861","13","01-JUL-12","30-JUN-15"
"EAST ALABAMA MEDICAL CENTER","010029","AL","READM-30-COPD-HRRP","492"," ","0.9653","18.1516","18.8047","87","01-JUL-12","30-JUN-15"
"EAST ALABAMA MEDICAL CENTER","010029","AL","READM-30-HF-HRRP","741"," ","1.0639","21.8919","20.5777","166","01-JUL-12","30-JUN-15"
"EAST ALABAMA MEDICAL CENTER","010029","AL","READM-30-HIP-KNEE-HRRP","676"," ","1.3205","5.7023","4.3182","44","01-JUL-12","30-JUN-15"
"EAST ALABAMA MEDICAL CENTER","010029","AL","READM-30-PN-HRRP","619"," ","0.9232","14.7046","15.9287","87","01-JUL-12","30-JUN-15"
"WEDOWEE HOSPITAL","010032","AL","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"WEDOWEE HOSPITAL","010032","AL","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"WEDOWEE HOSPITAL","010032","AL","READM-30-COPD-HRRP","Not Available"," ","0.9336","16.7585","17.9504","Too Few to Report","01-JUL-12","30-JUN-15"
"WEDOWEE HOSPITAL","010032","AL","READM-30-HF-HRRP","Not Available"," ","0.9854","21.3636","21.6800","Too Few to Report","01-JUL-12","30-JUN-15"
"WEDOWEE HOSPITAL","010032","AL","READM-30-HIP-KNEE-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"WEDOWEE HOSPITAL","010032","AL","READM-30-PN-HRRP","Not Available"," ","0.9539","14.7344","15.4471","Too Few to Report","01-JUL-12","30-JUN-15"
"UNIVERSITY OF ALABAMA HOSPITAL","010033","AL","READM-30-AMI-HRRP","441"," ","1.0810","18.2266","16.8615","85","01-JUL-12","30-JUN-15"
"UNIVERSITY OF ALABAMA HOSPITAL","010033","AL","READM-30-CABG-HRRP","253"," ","0.9778","14.1486","14.4700","35","01-JUL-12","30-JUN-15"
"UNIVERSITY OF ALABAMA HOSPITAL","010033","AL","READM-30-COPD-HRRP","302"," ","0.9991","20.2180","20.2355","61","01-JUL-12","30-JUN-15"
"UNIVERSITY OF ALABAMA HOSPITAL","010033","AL","READM-30-HF-HRRP","680"," ","1.0857","24.5301","22.5942","172","01-JUL-12","30-JUN-15"
"UNIVERSITY OF ALABAMA HOSPITAL","010033","AL","READM-30-HIP-KNEE-HRRP","338"," ","1.2627","6.3121","4.9987","26","01-JUL-12","30-JUN-15"
"UNIVERSITY OF ALABAMA HOSPITAL","010033","AL","READM-30-PN-HRRP","736"," ","1.0855","18.8439","17.3596","143","01-JUL-12","30-JUN-15"
"COMMUNITY HOSPITAL INC","010034","AL","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"COMMUNITY HOSPITAL INC","010034","AL","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"COMMUNITY HOSPITAL INC","010034","AL","READM-30-COPD-HRRP","99"," ","1.0069","19.7432","19.6075","20","01-JUL-12","30-JUN-15"
"COMMUNITY HOSPITAL INC","010034","AL","READM-30-HF-HRRP","115"," ","0.9876","21.5357","21.8062","24","01-JUL-12","30-JUN-15"
"COMMUNITY HOSPITAL INC","010034","AL","READM-30-HIP-KNEE-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"COMMUNITY HOSPITAL INC","010034","AL","READM-30-PN-HRRP","160"," ","0.9249","14.3115","15.4739","19","01-JUL-12","30-JUN-15"
"CULLMAN REGIONAL MEDICAL CENTER","010035","AL","READM-30-AMI-HRRP","98"," ","0.9602","14.6251","15.2319","12","01-JUL-12","30-JUN-15"
"CULLMAN REGIONAL MEDICAL CENTER","010035","AL","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"CULLMAN REGIONAL MEDICAL CENTER","010035","AL","READM-30-COPD-HRRP","320"," ","0.9946","18.5484","18.6490","59","01-JUL-12","30-JUN-15"
"CULLMAN REGIONAL MEDICAL CENTER","010035","AL","READM-30-HF-HRRP","556"," ","1.0371","21.7209","20.9430","123","01-JUL-12","30-JUN-15"
"CULLMAN REGIONAL MEDICAL CENTER","010035","AL","READM-30-HIP-KNEE-HRRP","361"," ","1.0110","4.6497","4.5990","17","01-JUL-12","30-JUN-15"
"CULLMAN REGIONAL MEDICAL CENTER","010035","AL","READM-30-PN-HRRP","706"," ","0.9690","15.6649","16.1666","109","01-JUL-12","30-JUN-15"
"ANDALUSIA REGIONAL HOSPITAL","010036","AL","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"ANDALUSIA REGIONAL HOSPITAL","010036","AL","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"ANDALUSIA REGIONAL HOSPITAL","010036","AL","READM-30-COPD-HRRP","239"," ","0.9936","19.0063","19.1289","45","01-JUL-12","30-JUN-15"
"ANDALUSIA REGIONAL HOSPITAL","010036","AL","READM-30-HF-HRRP","189"," ","1.0728","22.5771","21.0451","47","01-JUL-12","30-JUN-15"
"ANDALUSIA REGIONAL HOSPITAL","010036","AL","READM-30-HIP-KNEE-HRRP","Not Available"," ","0.8509","4.3132","5.0688","Too Few to Report","01-JUL-12","30-JUN-15"
"ANDALUSIA REGIONAL HOSPITAL","010036","AL","READM-30-PN-HRRP","346"," ","1.0069","16.0850","15.9755","56","01-JUL-12","30-JUN-15"
"STRINGFELLOW MEMORIAL HOSPITAL","010038","AL","READM-30-AMI-HRRP","74"," ","1.0603","19.5255","18.4152","18","01-JUL-12","30-JUN-15"
"STRINGFELLOW MEMORIAL HOSPITAL","010038","AL","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"STRINGFELLOW MEMORIAL HOSPITAL","010038","AL","READM-30-COPD-HRRP","293"," ","1.0205","17.9814","17.6195","54","01-JUL-12","30-JUN-15"
"STRINGFELLOW MEMORIAL HOSPITAL","010038","AL","READM-30-HF-HRRP","177"," ","1.1004","24.2821","22.0670","49","01-JUL-12","30-JUN-15"
"STRINGFELLOW MEMORIAL HOSPITAL","010038","AL","READM-30-HIP-KNEE-HRRP","Not Available"," ","1.0267","5.0414","4.9105","Too Few to Report","01-JUL-12","30-JUN-15"
"STRINGFELLOW MEMORIAL HOSPITAL","010038","AL","READM-30-PN-HRRP","225"," ","1.0344","17.0094","16.4437","40","01-JUL-12","30-JUN-15"
"HUNTSVILLE HOSPITAL","010039","AL","READM-30-AMI-HRRP","1195"," ","0.9717","14.5305","14.9530","172","01-JUL-12","30-JUN-15"
"HUNTSVILLE HOSPITAL","010039","AL","READM-30-CABG-HRRP","565"," ","0.9574","12.8350","13.4066","71","01-JUL-12","30-JUN-15"
"HUNTSVILLE HOSPITAL","010039","AL","READM-30-COPD-HRRP","1146"," ","0.9660","18.1729","18.8118","206","01-JUL-12","30-JUN-15"
"HUNTSVILLE HOSPITAL","010039","AL","READM-30-HF-HRRP","1779"," ","0.9815","21.7622","22.1713","386","01-JUL-12","30-JUN-15"
"HUNTSVILLE HOSPITAL","010039","AL","READM-30-HIP-KNEE-HRRP","1821"," ","1.0581","4.7170","4.4580","87","01-JUL-12","30-JUN-15"
"HUNTSVILLE HOSPITAL","010039","AL","READM-30-PN-HRRP","1823"," ","1.0103","17.7435","17.5623","324","01-JUL-12","30-JUN-15"
"GADSDEN REGIONAL MEDICAL CENTER","010040","AL","READM-30-AMI-HRRP","198"," ","1.0243","14.9632","14.6077","31","01-JUL-12","30-JUN-15"
"GADSDEN REGIONAL MEDICAL CENTER","010040","AL","READM-30-CABG-HRRP","122"," ","1.1238","14.6937","13.0750","22","01-JUL-12","30-JUN-15"
"GADSDEN REGIONAL MEDICAL CENTER","010040","AL","READM-30-COPD-HRRP","518"," ","0.9911","19.4200","19.5945","100","01-JUL-12","30-JUN-15"
"GADSDEN REGIONAL MEDICAL CENTER","010040","AL","READM-30-HF-HRRP","559"," ","0.9586","21.2178","22.1345","116","01-JUL-12","30-JUN-15"
"GADSDEN REGIONAL MEDICAL CENTER","010040","AL","READM-30-HIP-KNEE-HRRP","350"," ","1.5118","7.0890","4.6890","33","01-JUL-12","30-JUN-15"
"GADSDEN REGIONAL MEDICAL CENTER","010040","AL","READM-30-PN-HRRP","788"," ","1.0531","18.0587","17.1473","145","01-JUL-12","30-JUN-15"
"MARION REGIONAL MEDICAL CENTER","010044","AL","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"MARION REGIONAL MEDICAL CENTER","010044","AL","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"MARION REGIONAL MEDICAL CENTER","010044","AL","READM-30-COPD-HRRP","Not Available"," ","0.9542","16.4237","17.2124","Too Few to Report","01-JUL-12","30-JUN-15"
"MARION REGIONAL MEDICAL CENTER","010044","AL","READM-30-HF-HRRP","Not Available"," ","0.9441","18.5587","19.6572","Too Few to Report","01-JUL-12","30-JUN-15"
"MARION REGIONAL MEDICAL CENTER","010044","AL","READM-30-HIP-KNEE-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"MARION REGIONAL MEDICAL CENTER","010044","AL","READM-30-PN-HRRP","173"," ","0.8891","13.1623","14.8035","17","01-JUL-12","30-JUN-15"
"FAYETTE MEDICAL CENTER","010045","AL","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"FAYETTE MEDICAL CENTER","010045","AL","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"FAYETTE MEDICAL CENTER","010045","AL","READM-30-COPD-HRRP","168"," ","1.0909","20.3734","18.6764","40","01-JUL-12","30-JUN-15"
"FAYETTE MEDICAL CENTER","010045","AL","READM-30-HF-HRRP","106"," ","1.0134","22.8057","22.5052","25","01-JUL-12","30-JUN-15"
"FAYETTE MEDICAL CENTER","010045","AL","READM-30-HIP-KNEE-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"FAYETTE MEDICAL CENTER","010045","AL","READM-30-PN-HRRP","191"," ","1.1511","19.1965","16.6771","44","01-JUL-12","30-JUN-15"
"RIVERVIEW REGIONAL MEDICAL CENTER","010046","AL","READM-30-AMI-HRRP","71"," ","1.0728","17.9102","16.6951","17","01-JUL-12","30-JUN-15"
"RIVERVIEW REGIONAL MEDICAL CENTER","010046","AL","READM-30-CABG-HRRP","Not Available"," ","0.9916","14.3102","14.4315","Too Few to Report","01-JUL-12","30-JUN-15"
"RIVERVIEW REGIONAL MEDICAL CENTER","010046","AL","READM-30-COPD-HRRP","344"," ","1.0741","20.1332","18.7446","74","01-JUL-12","30-JUN-15"
"RIVERVIEW REGIONAL MEDICAL CENTER","010046","AL","READM-30-HF-HRRP","330"," ","1.0182","23.2920","22.8763","78","01-JUL-12","30-JUN-15"
"RIVERVIEW REGIONAL MEDICAL CENTER","010046","AL","READM-30-HIP-KNEE-HRRP","Not Available"," ","1.0534","5.0183","4.7639","Too Few to Report","01-JUL-12","30-JUN-15"
"RIVERVIEW REGIONAL MEDICAL CENTER","010046","AL","READM-30-PN-HRRP","367"," ","1.0250","17.9053","17.4685","67","01-JUL-12","30-JUN-15"
"GEORGIANA MEDICAL CENTER","010047","AL","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"GEORGIANA MEDICAL CENTER","010047","AL","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"GEORGIANA MEDICAL CENTER","010047","AL","READM-30-COPD-HRRP","Not Available"," ","1.0013","15.9922","15.9707","Too Few to Report","01-JUL-12","30-JUN-15"
"GEORGIANA MEDICAL CENTER","010047","AL","READM-30-HF-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"GEORGIANA MEDICAL CENTER","010047","AL","READM-30-HIP-KNEE-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"GEORGIANA MEDICAL CENTER","010047","AL","READM-30-PN-HRRP","135"," ","1.0595","15.6393","14.7605","24","01-JUL-12","30-JUN-15"
"MEDICAL CENTER ENTERPRISE","010049","AL","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"MEDICAL CENTER ENTERPRISE","010049","AL","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"MEDICAL CENTER ENTERPRISE","010049","AL","READM-30-COPD-HRRP","257"," ","1.0685","17.4275","16.3096","49","01-JUL-12","30-JUN-15"
"MEDICAL CENTER ENTERPRISE","010049","AL","READM-30-HF-HRRP","124"," ","1.0280","20.4345","19.8779","27","01-JUL-12","30-JUN-15"
