Provider_Number,Hospital_Name,Address,City,State,ZIP_Code,County_Name,IMM-2 Achievement Threshold,IMM-2 Benchmark,IMM-2 Baseline Rate,IMM-2 Performance Rate,IMM-2 Achievement Points,IMM-2 Improvement Points,IMM-2 Measure Score,IMM-2 Preventive Condition/Procedure Score
"440137","TENNOVA HEALTHCARE-SHELBYVILLE","2835 HWY 231 N","Shelbyville","TN","37160","BEDFORD","0.951607","0.997739","1.000000","0.957377","2 out of 10","0 out of 9","2 out of 10","2"
"330115","ONEIDA HEALTHCARE","321 GENESEE STREET","Oneida","NY","13421","MADISON","0.951607","0.997739","0.962457","0.978261","6 out of 10","4 out of 9","6 out of 10","6"
"240207","FAIRVIEW RIDGES HOSPITAL","201 EAST NICOLLET BOULEVARD","Burnsville","MN","55337","DAKOTA","0.951607","0.997739","0.915811","0.957317","2 out of 10","5 out of 9","5 out of 10","5"
"170176","OVERLAND PARK REG MED CTR","10500 QUIVIRA ROAD","Overland Park","KS","66215","JOHNSON","0.951607","0.997739","0.997938","1.000000","10 out of 10","9 out of 9","10 out of 10","10"
"340090","JOHNSTON HEALTH","509 BRIGHT LEAF BLVD","Smithfield","NC","27577","JOHNSTON","0.951607","0.997739","0.975000","0.987830","8 out of 10","5 out of 9","8 out of 10","8"
"100055","FLORIDA HOSPITAL NORTH PINELLAS","1395 S PINELLAS AVE","Tarpon Springs","FL","34689","PINELLAS","0.951607","0.997739","0.991632","1.000000","10 out of 10","9 out of 9","10 out of 10","10"
"050625","CEDARS-SINAI MEDICAL CENTER","8700 BEVERLY BLVD","Los Angeles","CA","90048","LOS ANGELES","0.951607","0.997739","0.940385","0.916357","0 out of 10","0 out of 9","0 out of 10","0"
"050407","CHINESE HOSPITAL","845 JACKSON ST","San Francisco","CA","94133","SAN FRANCISCO","0.951607","0.997739","0.887681","0.867347","0 out of 10","0 out of 9","0 out of 10","0"
"180053","FLEMING COUNTY HOSPITAL","55 FOUNDATION DRIVE","Flemingsburg","KY","41041","FLEMING","0.951607","0.997739","0.989051","0.988722","8 out of 10","0 out of 9","8 out of 10","8"
"070024","WILLIAM W BACKUS HOSPITAL","326 WASHINGTON ST","Norwich","CT","06360","NEW LONDON","0.951607","0.997739","0.949183","0.981273","6 out of 10","6 out of 9","6 out of 10","6"
"110153","PERRY HOSPITAL","1120 MORNINGSIDE DR","Perry","GA","31069","HOUSTON","0.951607","0.997739","0.968310","0.934932","0 out of 10","0 out of 9","0 out of 10","0"
"050396","SANTA BARBARA COTTAGE HOSPITAL","400 WEST PUEBLO","Santa Barbara","CA","93105","SANTA BARBARA","0.951607","0.997739","0.796642","0.984848","7 out of 10","9 out of 9","9 out of 10","9"
"100234","WEST PALM HOSPITAL","2201 45TH ST","West Palm Beach","FL","33407","PALM BEACH","0.951607","0.997739","0.998236","0.996466","9 out of 10","0 out of 9","9 out of 10","9"
"440189","TENNOVA HEALTHCARE-REGIONAL JACKSON","367 HOSPITAL BLVD","Jackson","TN","38305","MADISON","0.951607","0.997739","1.000000","0.928437","0 out of 10","0 out of 9","0 out of 10","0"
"110076","DEKALB MEDICAL CENTER","2701 N DECATUR ROAD","Decatur","GA","30033","DE KALB","0.951607","0.997739","0.950719","0.954741","1 out of 10","0 out of 9","1 out of 10","1"
"050457","ST MARY'S MEDICAL CENTER","450 STANYAN ST","San Francisco","CA","94117","SAN FRANCISCO","0.951607","0.997739","0.979730","0.992347","8 out of 10","7 out of 9","8 out of 10","8"
"250151","ALLIANCE HEALTH CENTER","5000 HIGHWAY 39 NORTH","Meridian","MS","39301","LAUDERDALE","0.951607","0.997739","0.787037","0.000000","0 out of 10","0 out of 9","0 out of 10","0"
"230105","MCLAREN - NORTHERN MICHIGAN","416 CONNABLE AVE","Petoskey","MI","49770","EMMET","0.951607","0.997739","0.880623","0.965232","3 out of 10","7 out of 9","7 out of 10","7"
"250094","MERIT HEALTH WESLEY","5001 W HARDY ST","Hattiesburg","MS","39402","FORREST","0.951607","0.997739","0.992537","0.996234","9 out of 10","7 out of 9","9 out of 10","9"
"160124","LAKES REGIONAL HEALTHCARE","2301 HIGHWAY 71","Spirit Lake","IA","51360","DICKINSON","0.951607","0.997739","0.939163","0.955556","1 out of 10","2 out of 9","2 out of 10","2"
"040022","NORTHWEST MEDICAL CENTER-SPRINGDALE","609 WEST MAPLE AVENUE","Springdale","AR","72764","WASHINGTON","0.951607","0.997739","0.983080","0.998069","10 out of 10","9 out of 9","10 out of 10","10"
"450869","DOCTORS HOSPITAL AT RENAISSANCE","5501 SOUTH MCCOLL","Edinburg","TX","78539","HIDALGO","0.951607","0.997739","0.975610","0.972689","5 out of 10","0 out of 9","5 out of 10","5"
"420073","LEXINGTON MEDICAL CENTER","2720 SUNSET BLVD","West Columbia","SC","29169","LEXINGTON","0.951607","0.997739","0.831663","0.904573","0 out of 10","4 out of 9","4 out of 10","4"
"150088","ST VINCENT ANDERSON REGIONAL HOSPITAL INC","2015 JACKSON ST","Anderson","IN","46016","MADISON","0.951607","0.997739","0.822262","0.962963","3 out of 10","8 out of 9","8 out of 10","8"
"190004","THIBODAUX REGIONAL MEDICAL CENTER","602 N ACADIA ROAD","Thibodaux","LA","70301","LAFOURCHE","0.951607","0.997739","0.957821","0.957169","2 out of 10","0 out of 9","2 out of 10","2"
"260023","MERCY HOSPITAL JEFFERSON","1400 HIGHWAY 61 SOUTH","Crystal City","MO","63019","JEFFERSON","0.951607","0.997739","0.948673","0.967450","4 out of 10","3 out of 9","4 out of 10","4"
"280040","METHODIST HOSPITAL","8303 DODGE ST","Omaha","NE","68114","DOUGLAS","0.951607","0.997739","0.832061","0.891003","0 out of 10","3 out of 9","3 out of 10","3"
"380009","OHSU HOSPITAL AND CLINICS","3181 SW SAM JACKSON PARK ROAD","Portland","OR","97239","MULTNOMAH","0.951607","0.997739","0.885553","0.909270","0 out of 10","2 out of 9","2 out of 10","2"
"240076","BUFFALO HOSPITAL","303 CATLIN ST","Buffalo","MN","55313","WRIGHT","0.951607","0.997739","0.991525","0.976285","5 out of 10","0 out of 9","5 out of 10","5"
"180012","HARDIN MEMORIAL HOSPITAL","913 NORTH DIXIE AVENUE","Elizabethtown","KY","42701","HARDIN","0.951607","0.997739","0.902584","0.854717","0 out of 10","0 out of 9","0 out of 10","0"
"510023","WEIRTON MEDICAL CENTER","601 COLLIERS WAY","Weirton","WV","26062","HANCOCK","0.951607","0.997739","0.940741","0.870968","0 out of 10","0 out of 9","0 out of 10","0"
"450774","TOPS SURGICAL SPECIALTY HOSPITAL","17080 RED OAK DRIVE","Houston","TX","77090","HARRIS","0.951607","0.997739","0.961783","0.945161","0 out of 10","0 out of 9","0 out of 10","0"
"100230","MEMORIAL HOSPITAL PEMBROKE","7800 SHERIDAN ST","Pembroke Pines","FL","33024","BROWARD","0.951607","0.997739","1.000000","1.000000","10 out of 10","0 out of 9","10 out of 10","10"
"100217","SEBASTIAN RIVER MEDICAL CENTER","13695 US HWY 1","Sebastian","FL","32978","INDIAN RIVER","0.951607","0.997739","1.000000","1.000000","10 out of 10","0 out of 9","10 out of 10","10"
"230066","MERCY HEALTH MUSKEGON","1700 CLINTON STREET","Muskegon","MI","49442","MUSKEGON","0.951607","0.997739","0.871245","0.968689","4 out of 10","7 out of 9","7 out of 10","7"
"450851","BAYLOR HEART AND VASCULAR HOSPITAL","621 NORTH HALL STREET","Dallas","TX","75226","DALLAS","0.951607","0.997739","0.993056","1.000000","10 out of 10","9 out of 9","10 out of 10","10"
"060076","STERLING REGIONAL MEDCENTER","615 FAIRHURST ST","Sterling","CO","80751","LOGAN","0.951607","0.997739","0.968000","0.985455","7 out of 10","5 out of 9","7 out of 10","7"
"390072","BERWICK HOSPITAL CENTER","701 EAST 16TH STREET","Berwick","PA","18603","COLUMBIA","0.951607","0.997739","1.000000","0.996575","9 out of 10","0 out of 9","9 out of 10","9"
"100231","WEST FLORIDA HOSPITAL","8383 N DAVIS HWY","Pensacola","FL","32514","ESCAMBIA","0.951607","0.997739","0.979233","0.998366","10 out of 10","9 out of 9","10 out of 10","10"
"260050","SSM HEALTH ST FRANCIS HOSPITAL - MARYVILLE","2016 SOUTH MAIN ST","Maryville","MO","64468","NODAWAY","0.951607","0.997739","0.977833","0.993072","9 out of 10","7 out of 9","9 out of 10","9"
"390321","SURGICAL SPECIALTY CENTER AT COORDINATED HEALTH","1503 CEDAR CREST BOULEVARD","Allentown","PA","18104","LEHIGH","0.951607","0.997739","0.550000","0.810631","0 out of 10","5 out of 9","5 out of 10","5"
"140211","DELNOR COMMUNITY HOSPITAL","300 RANDALL RD","Geneva","IL","60134","KANE","0.951607","0.997739","0.981964","0.960861","2 out of 10","0 out of 9","2 out of 10","2"
"360352","SURGICAL HOSPITAL AT SOUTHWOODS","7630 SOUTHERN BLVD","Youngstown","OH","44512","MAHONING","0.951607","0.997739","0.992410","0.994700","9 out of 10","4 out of 9","9 out of 10","9"
"440131","BAPTIST MEMORIAL HOSPITAL TIPTON","1995 HIGHWAY 51 S","Covington","TN","38019","TIPTON","0.951607","0.997739","0.940239","0.992248","8 out of 10","9 out of 9","9 out of 10","9"
"330307","CAYUGA MEDICAL CENTER AT ITHACA","101 DATES DRIVE","Ithaca","NY","14850","TOMPKINS","0.951607","0.997739","0.963563","0.919075","0 out of 10","0 out of 9","0 out of 10","0"
"490116","LEWISGALE HOSPITAL PULASKI","2400 LEE HIGHWAY","Pulaski","VA","24301","PULASKI","0.951607","0.997739","1.000000","1.000000","10 out of 10","0 out of 9","10 out of 10","10"
"190236","WILLIS KNIGHTON BOSSIER HEALTH CENTER","2400 HOSPITAL DR","Bossier City","LA","71111","BOSSIER","0.951607","0.997739","0.978205","0.983752","7 out of 10","2 out of 9","7 out of 10","7"
"140150","UNIVERSITY OF ILLINOIS HOSPITAL","1740 WEST TAYLOR ST SUITE 1400","Chicago","IL","60612","COOK","0.951607","0.997739","0.967742","0.979167","6 out of 10","3 out of 9","6 out of 10","6"
"050296","HAZEL HAWKINS MEMORIAL HOSPITAL","911 SUNSET DRIVE","Hollister","CA","95023","SAN BENITO","0.951607","0.997739","0.875421","0.949833","0 out of 10","6 out of 9","6 out of 10","6"
"030064","BANNER-UNIVERSITY MEDICAL CENTER TUCSON CAMPUS","1501 NORTH CAMPBELL AVENUE","Tucson","AZ","85724","PIMA","0.951607","0.997739","0.793893","0.703214","0 out of 10","0 out of 9","0 out of 10","0"
"370149","ST ANTHONY SHAWNEE HOSPITAL","1102 W MACARTHUR","Shawnee","OK","74801","POTTAWATOMIE","0.951607","0.997739","0.986143","0.965000","3 out of 10","0 out of 9","3 out of 10","3"
"070025","HARTFORD HOSPITAL","80 SEYMOUR STREET","Hartford","CT","06102","HARTFORD","0.951607","0.997739","0.866310","0.888307","0 out of 10","1 out of 9","1 out of 10","1"
"150035","PORTER REGIONAL HOSPITAL","85 EAST US HWY 6","Valparaiso","IN","46383","PORTER","0.951607","0.997739","0.984026","0.996448","9 out of 10","9 out of 9","9 out of 10","9"
"130065","MOUNTAIN VIEW HOSPITAL","2325 CORONADO STREET","Idaho Falls","ID","83404","BONNEVILLE","0.951607","0.997739","1.000000","1.000000","10 out of 10","0 out of 9","10 out of 10","10"
"100269","PALMS WEST HOSPITAL","13001 SOUTHERN BLVD","Loxahatchee","FL","33470","PALM BEACH","0.951607","0.997739","0.986254","0.998270","10 out of 10","9 out of 9","10 out of 10","10"
"230141","MCLAREN FLINT","401 S BALLENGER HIGHWAY","Flint","MI","48532","GENESEE","0.951607","0.997739","0.940870","0.929412","0 out of 10","0 out of 9","0 out of 10","0"
"490059","BON SECOURS ST MARYS HOSPITAL","5801 BREMO RD","Richmond","VA","23226","HENRICO","0.951607","0.997739","0.970588","0.991228","8 out of 10","7 out of 9","8 out of 10","8"
"120022","STRAUB CLINIC AND HOSPITAL","888 SO KING STREET","Honolulu","HI","96813","HONOLULU","0.951607","0.997739","0.956822","0.906643","0 out of 10","0 out of 9","0 out of 10","0"
"050454","UCSF MEDICAL CENTER","505 PARNASSUS AVE, BOX 0296","San Francisco","CA","94143","SAN FRANCISCO","0.951607","0.997739","0.735238","0.968504","4 out of 10","8 out of 9","8 out of 10","8"
"260059","MERCY HOSPITAL LEBANON","100 HOSPITAL DRIVE","Lebanon","MO","65536","LACLEDE","0.951607","0.997739","0.874510","0.968627","4 out of 10","7 out of 9","7 out of 10","7"
"140015","BLESSING HOSPITAL","BROADWAY AT 11TH STREET","Quincy ","IL","62301","ADAMS","0.951607","0.997739","0.891107","0.979853","6 out of 10","8 out of 9","8 out of 10","8"
"060032","ROSE MEDICAL CENTER","4567 E 9TH AVENUE","Denver","CO","80220","DENVER","0.951607","0.997739","0.988189","0.994000","9 out of 10","6 out of 9","9 out of 10","9"
"360147","MARIETTA MEMORIAL HOSPITAL","401 MATTHEW STREET","Marietta","OH","45750","WASHINGTON","0.951607","0.997739","0.990826","0.982425","7 out of 10","0 out of 9","7 out of 10","7"
"180078","PAUL B HALL REGIONAL MEDICAL CENTER","625 JAMES S TRIMBLE BOULEVARD","Paintsville","KY","41240","JOHNSON","0.951607","0.997739","0.985366","1.000000","10 out of 10","9 out of 9","10 out of 10","10"
"450875","QUAIL CREEK SURGICAL HOSPITAL","6819 PLUM CREEK","Amarillo","TX","79124","POTTER","0.951607","0.997739","0.986486","0.990794","8 out of 10","3 out of 9","8 out of 10","8"
"330074","F F THOMPSON HOSPITAL","350 PARRISH STREET","Canandaigua","NY","14424","ONTARIO","0.951607","0.997739","0.967742","0.983299","7 out of 10","5 out of 9","7 out of 10","7"
"520193","AURORA BAYCARE MEDICAL CTR","2845 GREENBRIER RD","Green Bay","WI","54313","BROWN","0.951607","0.997739","0.951754","0.961616","2 out of 10","2 out of 9","2 out of 10","2"
"070008","JOHNSON MEMORIAL HOSPITAL","201 CHESTNUT HILL ROAD","Stafford Springs","CT","06076","TOLLAND","0.951607","0.997739","0.959459","0.954397","1 out of 10","0 out of 9","1 out of 10","1"
"310074","JERSEY CITY MEDICAL CENTER","355 GRAND STREET","Jersey City","NJ","07302","HUDSON","0.951607","0.997739","0.997890","0.972495","5 out of 10","0 out of 9","5 out of 10","5"
"310070","SAINT PETER'S UNIVERSITY HOSPITAL","254 EASTON AVE","New Brunswick","NJ","08901","MIDDLESEX","0.951607","0.997739","0.989083","0.997890","10 out of 10","9 out of 9","10 out of 10","10"
"100090","FLAGLER HOSPITAL","400 HEALTH PARK BLVD","Saint Augustine","FL","32086","ST. JOHNS","0.951607","0.997739","0.963668","0.975248","5 out of 10","3 out of 9","5 out of 10","5"
"360075","UHHS RICHMOND HEIGHTS HOSPITAL","27100 CHARDON ROAD","Bedford","OH","44146","CUYAHOGA","0.951607","0.997739","0.986555","0.977816","6 out of 10","0 out of 9","6 out of 10","6"
"450508","MEMORIAL HOSPITAL","1204 MOUND ST","Nacogdoches","TX","75961","NACOGDOCHES","0.951607","0.997739","0.875312","0.929612","0 out of 10","4 out of 9","4 out of 10","4"
"050503","SCRIPPS MEMORIAL HOSPITAL - ENCINITAS","354 SANTA FE DRIVE","Encinitas","CA","92024","SAN DIEGO","0.951607","0.997739","0.963415","0.974308","5 out of 10","3 out of 9","5 out of 10","5"
"060028","SAINT JOSEPH HOSPITAL","1375 EAST 19TH AVE","Denver","CO","80218","DENVER","0.951607","0.997739","0.921053","0.952381","1 out of 10","4 out of 9","4 out of 10","4"
"250167","METHODIST HEALTHCARE - OLIVE BRANCH HOSPITAL","4250 BETHEL ROAD","Olive Branch","MS","38654","DE SOTO","0.951607","0.997739","Not Available","0.977273","6 out of 10","Not Available","6 out of 10","6"
"340123","RANDOLPH HOSPITAL","364 WHITE OAK STREET","Asheboro","NC","27203","RANDOLPH","0.951607","0.997739","0.909266","0.979960","6 out of 10","7 out of 9","7 out of 10","7"
"240022","SANFORD WORTHINGTON MEDICAL CENTER","1018 SIXTH AVENUE PO BOX 997","Worthington","MN","56187","NOBLES","0.951607","0.997739","0.928144","0.963563","3 out of 10","5 out of 9","5 out of 10","5"
"100012","LEE MEMORIAL HOSPITAL","2776 CLEVELAND AVE","Fort Myers","FL","33901","LEE","0.951607","0.997739","0.790654","0.945591","0 out of 10","7 out of 9","7 out of 10","7"
"310002","NEWARK BETH ISRAEL MEDICAL CENTER","201 LYONS AVE","Newark","NJ","07112","ESSEX","0.951607","0.997739","0.841683","0.959596","2 out of 10","7 out of 9","7 out of 10","7"
"670047","SIERRA PROVIDENCE EAST MEDICAL CENTER","3280 JOE BATTLE BLVD","El Paso","TX","79938","EL PASO","0.951607","0.997739","0.992593","0.953445","1 out of 10","0 out of 9","1 out of 10","1"
"200018","AROOSTOOK MEDICAL CENTER","PO BOX 151","Presque Isle","ME","04769","AROOSTOOK","0.951607","0.997739","0.985455","0.956044","1 out of 10","0 out of 9","1 out of 10","1"
"470011","BRATTLEBORO MEMORIAL HOSPITAL","17 BELMONT AVE","Brattleboro","VT","05301","WINDHAM","0.951607","0.997739","0.960784","0.914397","0 out of 10","0 out of 9","0 out of 10","0"
"330057","ST PETER'S HOSPITAL","315 SOUTH MANNING BOULEVARD","Albany","NY","12208","ALBANY","0.951607","0.997739","0.876289","0.948718","0 out of 10","5 out of 9","5 out of 10","5"
"520139","AURORA WEST ALLIS MEDICAL CENTER","8901 W LINCOLN AVE","West Allis","WI","53227","MILWAUKEE","0.951607","0.997739","0.993182","0.984615","7 out of 10","0 out of 9","7 out of 10","7"
"380022","SAMARITAN ALBANY GENERAL HOSPITAL","1046 6TH AVENUE SW","Albany","OR","97321","LINN","0.951607","0.997739","0.861842","0.940141","0 out of 10","5 out of 9","5 out of 10","5"
"510071","BLUEFIELD REGIONAL MEDICAL CENTER","500 CHERRY ST","Bluefield","WV","24701","MERCER","0.951607","0.997739","0.971602","0.994751","9 out of 10","8 out of 9","9 out of 10","9"
"330279","MERCY HOSPITAL OF BUFFALO","565 ABBOTT ROAD","Buffalo","NY","14220","ERIE","0.951607","0.997739","0.983240","0.957486","2 out of 10","0 out of 9","2 out of 10","2"
"140095","SAINT ANTHONY HOSPITAL","2875 WEST 19TH STREET","Chicago","IL","60623","COOK","0.951607","0.997739","0.993562","0.997768","10 out of 10","9 out of 9","10 out of 10","10"
"440132","HENRY COUNTY MEDICAL CENTER","301 TYSON AV","Paris","TN","38242","HENRY","0.951607","0.997739","0.948571","0.967213","4 out of 10","3 out of 9","4 out of 10","4"
"220110","BRIGHAM AND WOMEN'S HOSPITAL","75 FRANCIS STREET","Boston","MA","02115","SUFFOLK","0.951607","0.997739","0.907598","0.896970","0 out of 10","0 out of 9","0 out of 10","0"
"150045","DEKALB HEALTH","1316 E SEVENTH ST","Auburn","IN","46706","DE KALB","0.951607","0.997739","1.000000","0.996429","9 out of 10","0 out of 9","9 out of 10","9"
"050677","KAISER FOUNDATION HOSPITAL - WOODLAND HILLS","5601 DE SOTO","Woodland Hills","CA","91367","LOS ANGELES","0.951607","0.997739","0.974560","0.978331","6 out of 10","1 out of 9","6 out of 10","6"
"440059","COOKEVILLE REGIONAL MEDICAL CENTER","1 MEDICAL CENTER BOULEVARD","Cookeville","TN","38501","PUTNAM","0.951607","0.997739","0.814126","0.906250","0 out of 10","5 out of 9","5 out of 10","5"
"330059","MONTEFIORE MEDICAL CENTER","111 EAST 210TH STREET","Bronx","NY","10467","BRONX","0.951607","0.997739","0.360000","0.587140","0 out of 10","3 out of 9","3 out of 10","3"
"410010","WOMEN AND INFANTS HOSPITAL OF RHODE ISLAND","101 DUDLEY STREET","Providence","RI","02905","PROVIDENCE","0.951607","0.997739","0.913433","0.968750","4 out of 10","6 out of 9","6 out of 10","6"
"360070","MERCY MEDICAL CENTER","1320 MERCY DRIVE NW","Canton","OH","44708","STARK","0.951607","0.997739","0.940217","0.931579","0 out of 10","0 out of 9","0 out of 10","0"
"110187","CHESTATEE REGIONAL HOSPITAL","227 MOUNTAIN DR","Dahlonega","GA","30533","LUMPKIN","0.951607","0.997739","0.957958","0.924837","0 out of 10","0 out of 9","0 out of 10","0"
"140291","ADVOCATE GOOD SHEPHERD HOSPITAL","450 WEST HIGHWAY 22","Barrington","IL","60010","LAKE","0.951607","0.997739","0.968254","0.979964","6 out of 10","3 out of 9","6 out of 10","6"
"290046","SPRING VALLEY HOSPITAL MEDICAL CENTER","5400 SOUTH RAINBOW BLVD","Las Vegas","NV","89118","CLARK","0.951607","0.997739","0.897436","0.957717","2 out of 10","6 out of 9","6 out of 10","6"
"520095","SAUK PRAIRIE HOSPITAL","260 26TH STREET","Prairie Du Sac","WI","53578","SAUK","0.951607","0.997739","0.963235","0.985507","7 out of 10","6 out of 9","7 out of 10","7"
"140115","THOREK MEMORIAL HOSPITAL","850 W IRVING PARK RD","Chicago","IL","60613","COOK","0.951607","0.997739","0.946512","0.857477","0 out of 10","0 out of 9","0 out of 10","0"
"280130","CHI HEALTH LAKESIDE","16901 LAKESIDE HILLS CT","Omaha","NE","68130","DOUGLAS","0.951607","0.997739","0.986891","0.981584","6 out of 10","0 out of 9","6 out of 10","6"
"110039","TRINITY HOSPITAL OF AUGUSTA","2260 WRIGHTSBORO RD","Augusta","GA","30904","RICHMOND","0.951607","0.997739","1.000000","0.994832","9 out of 10","0 out of 9","9 out of 10","9"
"050498","SUTTER AUBURN FAITH HOSPITAL","11815 EDUCATION STREET","Auburn","CA","95602","PLACER","0.951607","0.997739","0.976064","0.987952","8 out of 10","5 out of 9","8 out of 10","8"
"330304","WHITE PLAINS HOSPITAL CENTER","41 EAST POST R0AD","White Plains","NY","10601","WESTCHESTER","0.951607","0.997739","0.992593","0.998127","10 out of 10","9 out of 9","10 out of 10","10"
"070035","HOSPITAL OF CENTRAL CONNECTICUT, THE","100 GRAND STREET","New Britain","CT","06050","HARTFORD","0.951607","0.997739","0.983240","0.975379","5 out of 10","0 out of 9","5 out of 10","5"
"260022","NORTHEAST REGIONAL MEDICAL CENTER","315 S OSTEOPATHY","Kirksville","MO","63501","ADAIR","0.951607","0.997739","1.000000","0.996154","9 out of 10","0 out of 9","9 out of 10","9"
"440010","WAYNE MEDICAL CENTER","103 J V MANGUBAT DR","Waynesboro","TN","38485","WAYNE","0.951607","0.997739","0.923387","0.991150","8 out of 10","9 out of 9","9 out of 10","9"
"440035","TENNOVA HEALTHCARE-CLARKSVILLE","651 DUNLOP LANE","Clarksville","TN","37040","MONTGOMERY","0.951607","0.997739","0.992687","0.990385","8 out of 10","0 out of 9","8 out of 10","8"
"440053","SAINT THOMAS RUTHERFORD HOSPITAL","1700 MEDICAL CENTER PARKWAY","Murfreesboro","TN","37129","RUTHERFORD","0.951607","0.997739","0.903042","0.943074","0 out of 10","4 out of 9","4 out of 10","4"
"450064","TEXAS HEALTH ARLINGTON MEMORIAL HOSPITAL","800 W RANDOL MILL RD","Arlington","TX","76012","TARRANT","0.951607","0.997739","0.988710","0.998505","10 out of 10","9 out of 9","10 out of 10","10"
"290045","ST ROSE DOMINICAN HOSPITALS - SIENA CAMPUS","3001 ST ROSE PARKWAY","Henderson","NV","89052","CLARK","0.951607","0.997739","0.968442","0.981405","6 out of 10","4 out of 9","6 out of 10","6"
"010090","PROVIDENCE HOSPITAL","6801 AIRPORT BOULEVARD","Mobile","AL","36608","MOBILE","0.951607","0.997739","0.990689","0.987132","7 out of 10","0 out of 9","7 out of 10","7"
"520066","MERCY HEALTH SYSTEM CORP","1000 MINERAL POINT AVE","Janesville","WI","53547","ROCK","0.951607","0.997739","0.963149","0.943522","0 out of 10","0 out of 9","0 out of 10","0"
"050197","SEQUOIA HOSPITAL","170 ALAMEDA DE LAS PULGAS","Redwood City","CA","94062","SAN MATEO","0.951607","0.997739","0.969450","0.985169","7 out of 10","5 out of 9","7 out of 10","7"
