"State","Condition","Measure Name","Measure ID","Score","Footnote","Measure Start Date","Measure End Date"
"IN","Heart Attack or Chest Pain","Median Time to Fibrinolysis","OP_1","30","","04/01/2015","03/31/2016"
"KS","Heart Attack or Chest Pain","Median Time to Fibrinolysis","OP_1","43","","04/01/2015","03/31/2016"
"KY","Heart Attack or Chest Pain","Median Time to Fibrinolysis","OP_1","25","","04/01/2015","03/31/2016"
"LA","Heart Attack or Chest Pain","Median Time to Fibrinolysis","OP_1","30","","04/01/2015","03/31/2016"
"MA","Heart Attack or Chest Pain","Median Time to Fibrinolysis","OP_1","24","","04/01/2015","03/31/2016"
"MD","Heart Attack or Chest Pain","Median Time to Fibrinolysis","OP_1","24","","04/01/2015","03/31/2016"
"ME","Heart Attack or Chest Pain","Median Time to Fibrinolysis","OP_1","21","","04/01/2015","03/31/2016"
"MI","Heart Attack or Chest Pain","Median Time to Fibrinolysis","OP_1","25","","04/01/2015","03/31/2016"
"MN","Heart Attack or Chest Pain","Median Time to Fibrinolysis","OP_1","30","","04/01/2015","03/31/2016"
"MO","Heart Attack or Chest Pain","Median Time to Fibrinolysis","OP_1","32","","04/01/2015","03/31/2016"
"MP","Heart Attack or Chest Pain","Median Time to Fibrinolysis","OP_1","Not Available","5 - Results are not available for this reporting period.","04/01/2015","03/31/2016"
"MS","Heart Attack or Chest Pain","Median Time to Fibrinolysis","OP_1","32","","04/01/2015","03/31/2016"
"MT","Heart Attack or Chest Pain","Median Time to Fibrinolysis","OP_1","31","","04/01/2015","03/31/2016"
"NC","Heart Attack or Chest Pain","Median Time to Fibrinolysis","OP_1","28","","04/01/2015","03/31/2016"
"ND","Heart Attack or Chest Pain","Median Time to Fibrinolysis","OP_1","46","","04/01/2015","03/31/2016"
"NE","Heart Attack or Chest Pain","Median Time to Fibrinolysis","OP_1","36","","04/01/2015","03/31/2016"
"NH","Heart Attack or Chest Pain","Median Time to Fibrinolysis","OP_1","24","","04/01/2015","03/31/2016"
"NJ","Heart Attack or Chest Pain","Median Time to Fibrinolysis","OP_1","25","","04/01/2015","03/31/2016"
"NM","Heart Attack or Chest Pain","Median Time to Fibrinolysis","OP_1","27","","04/01/2015","03/31/2016"
"NV","Heart Attack or Chest Pain","Median Time to Fibrinolysis","OP_1","30","","04/01/2015","03/31/2016"
"NY","Heart Attack or Chest Pain","Median Time to Fibrinolysis","OP_1","28","","04/01/2015","03/31/2016"
"OH","Heart Attack or Chest Pain","Median Time to Fibrinolysis","OP_1","34","","04/01/2015","03/31/2016"
"OK","Heart Attack or Chest Pain","Median Time to Fibrinolysis","OP_1","30","","04/01/2015","03/31/2016"
"OR","Heart Attack or Chest Pain","Median Time to Fibrinolysis","OP_1","30","","04/01/2015","03/31/2016"
"PA","Heart Attack or Chest Pain","Median Time to Fibrinolysis","OP_1","31","","04/01/2015","03/31/2016"
"PR","Heart Attack or Chest Pain","Median Time to Fibrinolysis","OP_1","32","","04/01/2015","03/31/2016"
"RI","Heart Attack or Chest Pain","Median Time to Fibrinolysis","OP_1","Not Available","5 - Results are not available for this reporting period.","04/01/2015","03/31/2016"
"SC","Heart Attack or Chest Pain","Median Time to Fibrinolysis","OP_1","30","","04/01/2015","03/31/2016"
"SD","Heart Attack or Chest Pain","Median Time to Fibrinolysis","OP_1","29","","04/01/2015","03/31/2016"
"TN","Heart Attack or Chest Pain","Median Time to Fibrinolysis","OP_1","23","","04/01/2015","03/31/2016"
"TX","Heart Attack or Chest Pain","Median Time to Fibrinolysis","OP_1","33","","04/01/2015","03/31/2016"
"UT","Heart Attack or Chest Pain","Median Time to Fibrinolysis","OP_1","28","","04/01/2015","03/31/2016"
"VA","Heart Attack or Chest Pain","Median Time to Fibrinolysis","OP_1","24","","04/01/2015","03/31/2016"
"VI","Heart Attack or Chest Pain","Median Time to Fibrinolysis","OP_1","Not Available","5 - Results are not available for this reporting period.","04/01/2015","03/31/2016"
"VT","Heart Attack or Chest Pain","Median Time to Fibrinolysis","OP_1","33","","04/01/2015","03/31/2016"
"WA","Heart Attack or Chest Pain","Median Time to Fibrinolysis","OP_1","31","","04/01/2015","03/31/2016"
"WI","Heart Attack or Chest Pain","Median Time to Fibrinolysis","OP_1","27","","04/01/2015","03/31/2016"
"WV","Heart Attack or Chest Pain","Median Time to Fibrinolysis","OP_1","25","","04/01/2015","03/31/2016"
"WY","Heart Attack or Chest Pain","Median Time to Fibrinolysis","OP_1","27","","04/01/2015","03/31/2016"
"AK","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","97","","04/01/2015","03/31/2016"
"AL","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","65","","04/01/2015","03/31/2016"
"AR","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","58","","04/01/2015","03/31/2016"
"AS","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","Not Available","5 - Results are not available for this reporting period.","04/01/2015","03/31/2016"
"AZ","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","61","","04/01/2015","03/31/2016"
"CA","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","71","","04/01/2015","03/31/2016"
"CO","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","58","","04/01/2015","03/31/2016"
"CT","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","61","","04/01/2015","03/31/2016"
"DC","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","78","","04/01/2015","03/31/2016"
"DE","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","70","","04/01/2015","03/31/2016"
"FL","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","56","","04/01/2015","03/31/2016"
"GA","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","64","","04/01/2015","03/31/2016"
"GU","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","Not Available","5 - Results are not available for this reporting period.","04/01/2015","03/31/2016"
"HI","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","250","","04/01/2015","03/31/2016"
"IA","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","65","","04/01/2015","03/31/2016"
"ID","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","62","","04/01/2015","03/31/2016"
"IL","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","52","","04/01/2015","03/31/2016"
"IN","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","40","","04/01/2015","03/31/2016"
"KS","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","75","","04/01/2015","03/31/2016"
"KY","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","55","","04/01/2015","03/31/2016"
"LA","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","70","","04/01/2015","03/31/2016"
"MA","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","57","","04/01/2015","03/31/2016"
"MD","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","63","","04/01/2015","03/31/2016"
"ME","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","42","","04/01/2015","03/31/2016"
"MI","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","51","","04/01/2015","03/31/2016"
"MN","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","51","","04/01/2015","03/31/2016"
"MO","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","60","","04/01/2015","03/31/2016"
"MP","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","Not Available","5 - Results are not available for this reporting period.","04/01/2015","03/31/2016"
"MS","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","76","","04/01/2015","03/31/2016"
"MT","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","92","","04/01/2015","03/31/2016"
"NC","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","45","","04/01/2015","03/31/2016"
"ND","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","111","","04/01/2015","03/31/2016"
"NE","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","73","","04/01/2015","03/31/2016"
"NH","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","65","","04/01/2015","03/31/2016"
"NJ","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","73","","04/01/2015","03/31/2016"
"NM","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","86","","04/01/2015","03/31/2016"
"NV","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","51","","04/01/2015","03/31/2016"
"NY","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","74","","04/01/2015","03/31/2016"
"OH","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","59","","04/01/2015","03/31/2016"
"OK","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","63","","04/01/2015","03/31/2016"
"OR","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","54","","04/01/2015","03/31/2016"
"PA","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","64","","04/01/2015","03/31/2016"
"PR","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","Not Available","5 - Results are not available for this reporting period.","04/01/2015","03/31/2016"
"RI","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","70","","04/01/2015","03/31/2016"
"SC","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","53","","04/01/2015","03/31/2016"
"SD","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","56","","04/01/2015","03/31/2016"
"TN","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","54","","04/01/2015","03/31/2016"
"TX","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","63","","04/01/2015","03/31/2016"
"UT","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","38","","04/01/2015","03/31/2016"
"VA","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","55","","04/01/2015","03/31/2016"
"VI","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","Not Available","5 - Results are not available for this reporting period.","04/01/2015","03/31/2016"
"VT","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","38","","04/01/2015","03/31/2016"
"WA","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","57","","04/01/2015","03/31/2016"
"WI","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","48","","04/01/2015","03/31/2016"
"WV","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","76","","04/01/2015","03/31/2016"
"WY","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","203","","04/01/2015","03/31/2016"
"AK","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","8","","04/01/2015","03/31/2016"
"AL","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","7","","04/01/2015","03/31/2016"
"AR","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","7","","04/01/2015","03/31/2016"
"AS","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","Not Available","5 - Results are not available for this reporting period.","04/01/2015","03/31/2016"
"AZ","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","7","","04/01/2015","03/31/2016"
"CA","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","9","","04/01/2015","03/31/2016"
"CO","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","7","","04/01/2015","03/31/2016"
"CT","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","7","","04/01/2015","03/31/2016"
"DC","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","17","","04/01/2015","03/31/2016"
"DE","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","8","","04/01/2015","03/31/2016"
"FL","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","7","","04/01/2015","03/31/2016"
"GA","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","8","","04/01/2015","03/31/2016"
"GU","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","Not Available","5 - Results are not available for this reporting period.","04/01/2015","03/31/2016"
"HI","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","7","","04/01/2015","03/31/2016"
"IA","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","7","","04/01/2015","03/31/2016"
"ID","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","9","","04/01/2015","03/31/2016"
"IL","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","7","","04/01/2015","03/31/2016"
"IN","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","5","","04/01/2015","03/31/2016"
"KS","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","9","","04/01/2015","03/31/2016"
"KY","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","6","","04/01/2015","03/31/2016"
"LA","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","10","","04/01/2015","03/31/2016"
"MA","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","8","","04/01/2015","03/31/2016"
"MD","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","10","","04/01/2015","03/31/2016"
"ME","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","7","","04/01/2015","03/31/2016"
"MI","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","7","","04/01/2015","03/31/2016"
"MN","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","8","","04/01/2015","03/31/2016"
"MO","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","7","","04/01/2015","03/31/2016"
"MP","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","Not Available","5 - Results are not available for this reporting period.","04/01/2015","03/31/2016"
"MS","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","8","","04/01/2015","03/31/2016"
"MT","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","9","","04/01/2015","03/31/2016"
"NC","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","7","","04/01/2015","03/31/2016"
"ND","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","7","","04/01/2015","03/31/2016"
"NE","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","7","","04/01/2015","03/31/2016"
"NH","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","8","","04/01/2015","03/31/2016"
"NJ","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","7","","04/01/2015","03/31/2016"
"NM","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","8","","04/01/2015","03/31/2016"
"NV","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","8","","04/01/2015","03/31/2016"
"NY","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","10","","04/01/2015","03/31/2016"
"OH","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","7","","04/01/2015","03/31/2016"
"OK","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","7","","04/01/2015","03/31/2016"
"OR","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","8","","04/01/2015","03/31/2016"
"PA","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","8","","04/01/2015","03/31/2016"
"PR","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","17","","04/01/2015","03/31/2016"
"RI","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","8","","04/01/2015","03/31/2016"
"SC","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","6","","04/01/2015","03/31/2016"
"SD","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","6","","04/01/2015","03/31/2016"
"TN","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","6","","04/01/2015","03/31/2016"
"TX","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","7","","04/01/2015","03/31/2016"
"UT","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","7","","04/01/2015","03/31/2016"
"VA","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","6","","04/01/2015","03/31/2016"
"VI","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","Not Available","5 - Results are not available for this reporting period.","04/01/2015","03/31/2016"
"VT","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","7","","04/01/2015","03/31/2016"
"WA","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","9","","04/01/2015","03/31/2016"
"WI","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","7","","04/01/2015","03/31/2016"
"WV","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","8","","04/01/2015","03/31/2016"
"WY","Heart Attack or Chest Pain","Average (median) number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","7","","04/01/2015","03/31/2016"
"AK","Heart Attack or Chest Pain","Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival Higher percentages are better","OP_2","55","","04/01/2015","03/31/2016"
"AL","Heart Attack or Chest Pain","Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival Higher percentages are better","OP_2","75","","04/01/2015","03/31/2016"
"AR","Heart Attack or Chest Pain","Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival Higher percentages are better","OP_2","41","","04/01/2015","03/31/2016"
"AS","Heart Attack or Chest Pain","Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival Higher percentages are better","OP_2","Not Available","5 - Results are not available for this reporting period.","04/01/2015","03/31/2016"
